Date,Checkouts
2023-01-01,142
2023-01-02,155
2023-01-03,160
2023-01-04,170
2023-01-05,180
2023-01-06,190
2023-01-07,200
2023-01-08,210
2023-01-09,220
2023-01-10,230
2023-01-11,240
2023-01-12,250
2023-01-13,260
2023-01-14,270
2023-01-15,280
2023-01-16,290
2023-01-17,300
2023-01-18,310
2023-01-19,320
2023-01-20,330
2023-01-21,140
2023-01-22,150
2023-01-23,160
2023-01-24,170
2023-01-25,180
2023-01-26,190
2023-01-27,200
2023-01-28,210
2023-01-29,220
2023-01-30,230
2023-01-31,240
2023-02-01,175
2023-02-02,165
2023-02-03,155
2023-02-04,145
2023-02-05,135
2023-02-06,125
2023-02-07,115
2023-02-08,105
2023-02-09,95
2023-02-10,85
2023-02-11,75
2023-02-12,65
2023-02-13,55
2023-02-14,45
2023-02-15,35
2023-02-16,25
2023-02-17,15
2023-02-18,10
2023-02-19,20
2023-02-20,30
2023-02-21,40
2023-02-22,50
2023-02-23,60
