Month,Checkouts
January,1520
February,1483
March,1625
April,1703
May,1532
June,1380
July,1412
August,1573
September,1675
October,1800
November,1750
December,1600
January,1490
February,1560
March,1655
April,1725
May,1598
June,1345
July,1390
August,1502
September,1609
October,1789
November,1823
December,1650
January,1540
February,1500
March,1695
April,1804
May,1583
June,1402
July,1450
August,1558
September,1710
October,1850
November,1790
December,1732
January,1510
February,1589
March,1634
April,1754
May,1522
June,1378
July,1428
August,1598
September,1662
October,1820
November,1762
December,1685
January,1550
February,1490
March,1700
April,1748
May,1539
June,1412
July,1436
August,1590
September,1655
October,1833
November,1800
December,1720
January,1525
February,1475
March,1680
April,1760
May,1550
June,1395
July,1415
August,1580
September,1690
October,1810
November,1740
December,1615
