Month,Average Temperature
January,5
January,6
January,7
February,6
February,7
February,8
March,10
March,11
March,12
April,15
April,16
April,17
May,20
May,21
May,22
June,25
June,26
June,27
July,30
July,31
July,32
August,28
August,29
August,30
September,24
September,25
September,26
October,20
October,21
October,22
November,10
November,11
November,12
December,5
December,6
December,7
January,4
February,5
March,8
April,12
May,16
June,20
July,25
August,27
September,22
October,18
November,8
December,4
