Month,New York,Los Angeles,Chicago,Houston,Phoenix,Philadelphia,San Antonio
January,10000,12000,9000,11000,13000,10500,11500
February,11000,12500,9500,11500,13500,11000,12000
March,11500,13000,10000,12000,14000,11500,12500
April,12000,13500,10500,12500,14500,12000,13000
May,13000,14000,11000,13000,15000,12500,13500
June,14000,14500,12000,13500,15500,13000,14000
July,14500,15000,12500,14000,16000,13500,14500
August,15000,15500,13000,14500,16500,14000,15000
September,15500,16000,13500,15000,17000,14500,15500
October,16000,16500,14000,15500,17500,15000,16000
November,16500,17000,14500,16000,18000,15500,16500
December,17000,17500,15000,16500,18500,16000,17000
