Year,CO2 Emissions,Renewable Energy,Deforestation,Waste Generation,Water Consumption
2000,5,10,15,20,8
2001,6,12,16,22,9
2002,7,14,18,24,10
2003,8,16,20,26,11
2004,9,18,22,28,12
2005,10,20,24,30,13
2006,11,22,26,32,14
2007,12,24,28,34,15
2008,13,26,30,36,16
2009,14,28,32,38,17
2010,15,30,34,40,18
2011,16,32,36,42,19
2012,17,34,38,44,20
2013,18,36,40,46,21
2014,19,38,42,48,22
2015,20,40,44,50,23
2016,21,42,46,52,24
2017,22,44,48,54,25
2018,23,46,50,56,26
2019,24,48,52,58,27
2020,25,50,54,60,28
2021,26,52,56,62,29
