Month,New York,Los Angeles,Chicago,Houston,Phoenix,Philadelphia,San Antonio,Miami
January,3.0,3.1,1.5,3.5,0.8,2.9,2.1,2.5
February,2.8,3.4,1.7,3.1,0.7,2.6,2.4,2.7
March,3.5,2.9,2.4,3.7,0.6,3.3,2.7,2.9
April,3.8,0.8,3.5,3.2,0.2,3.1,2.4,3.5
May,3.5,0.3,3.7,4.4,0.1,3.4,3.6,5.9
June,3.9,0.1,4.1,5.9,0.0,3.3,4.2,8.6
July,4.6,0.0,4.4,3.6,0.4,4.2,2.6,6.3
August,3.9,0.1,4.3,3.9,1.1,3.8,3.3,7.5
September,3.7,0.3,3.2,4.2,0.8,3.4,3.8,8.1
October,3.8,0.6,2.9,4.5,0.7,3.6,4.1,6.2
November,3.3,1.1,2.7,4.0,0.5,3.0,3.3,3.6
December,3.6,2.4,2.3,3.6,0.9,3.2,2.9,2.8
