Month,Year,Revenue
January,2020,30000
February,2020,40000
March,2020,25000
April,2020,60000
May,2020,35000
June,2020,50000
July,2020,70000
August,2020,55000
September,2020,45000
October,2020,40000
November,2020,30000
December,2020,25000
January,2021,52000
February,2021,38000
March,2021,46000
April,2021,68000
May,2021,59000
June,2021,32000
July,2021,78000
August,2021,61000
September,2021,72000
October,2021,51000
November,2021,43000
December,2021,37000
January,2022,54000
February,2022,42000
March,2022,47000
April,2022,69000
May,2022,60000
June,2022,35000
July,2022,81000
August,2022,63000
September,2022,74000
October,2022,52000
November,2022,45000
December,2022,39000
