Month,Year,Steps
January,2020,8000
February,2020,9000
March,2020,7500
April,2020,10000
May,2020,8500
June,2020,9500
July,2020,11000
August,2020,10500
September,2020,9000
October,2020,9500
November,2020,8000
December,2020,7500
January,2021,10200
February,2021,8800
March,2021,9400
April,2021,11500
May,2021,10800
June,2021,8600
July,2021,12000
August,2021,10300
September,2021,11400
October,2021,9500
November,2021,8700
December,2021,8300
January,2022,10400
February,2022,9200
March,2022,9700
April,2022,11600
May,2022,10900
June,2022,8700
July,2022,12300
August,2022,10500
September,2022,11800
October,2022,9600
November,2022,8800
December,2022,8400
