Month,HeartRate,BloodPressure,Cholesterol,SleepHours,ExerciseMinutes,CaloriesBurned,Steps
January,70,120,200,7.0,30,2000,10000
February,72,118,195,7.5,35,2100,10500
March,75,115,190,8.0,40,2200,11000
April,73,117,185,7.8,38,2150,10800
May,70,120,180,7.5,35,2100,10500
June,68,122,175,7.2,32,2050,10200
July,66,125,170,7.0,30,2000,10000
August,65,128,165,6.8,28,1950,9800
September,67,123,160,7.1,31,2030,10100
October,69,121,155,7.3,33,2080,10400
November,71,119,150,7.5,35,2100,10500
December,73,118,145,7.8,38,2150,10800
