Year,Sleep,Exercise,Stress,Happiness,Mental Health
2000,7.5,2.5,6.0,7.0,5.0
2001,7.6,2.6,6.1,7.1,5.1
2002,7.7,2.7,6.2,7.2,5.2
2003,7.8,2.8,6.3,7.3,5.3
2004,7.9,2.9,6.4,7.4,5.4
2005,8.0,3.0,6.5,7.5,5.5
2006,8.1,3.1,6.6,7.6,5.6
2007,8.2,3.2,6.7,7.7,5.7
2008,8.3,3.3,6.8,7.8,5.8
2009,8.4,3.4,6.9,7.9,5.9
2010,8.5,3.5,7.0,8.0,6.0
2011,8.6,3.6,7.1,8.1,6.1
2012,8.7,3.7,7.2,8.2,6.2
2013,8.8,3.8,7.3,8.3,6.3
2014,8.9,3.9,7.4,8.4,6.4
2015,9.0,4.0,7.5,8.5,6.5
2016,9.1,4.1,7.6,8.6,6.6
2017,9.2,4.2,7.7,8.7,6.7
2018,9.3,4.3,7.8,8.8,6.8
2019,9.4,4.4,7.9,8.9,6.9
2020,9.5,4.5,8.0,9.0,7.0
