Month,Year,Sales
January,2020,3000
February,2020,4000
March,2020,2000
April,2020,6000
May,2020,3000
June,2020,5000
July,2020,7000
August,2020,5000
September,2020,4000
October,2020,4000
November,2020,3000
December,2020,2000
January,2021,5000
February,2021,3000
March,2021,4000
April,2021,7000
May,2021,6000
June,2021,3000
July,2021,8000
August,2021,6000
September,2021,7000
October,2021,5000
November,2021,4000
December,2021,3000
January,2022,4500
February,2022,3500
March,2022,4200
April,2022,6800
May,2022,6200
June,2022,3100
July,2022,7900
August,2022,6100
September,2022,7200
October,2022,5100
November,2022,4300
December,2022,3100
