Year,Technology,Healthcare,Finance,Real Estate,Manufacturing
2000,500,700,900,400,800
2001,600,800,1000,450,850
2002,700,900,1100,500,900
2003,800,1000,1200,550,950
2004,900,1100,1300,600,1000
2005,1000,1200,1400,650,1050
2006,1100,1300,1500,700,1100
2007,1200,1400,1600,750,1150
2008,1300,1500,1700,800,1200
2009,1400,1600,1800,850,1250
2010,1500,1700,1900,900,1300
2011,1600,1800,2000,950,1350
2012,1700,1900,2100,1000,1400
2013,1800,2000,2200,1050,1450
2014,1900,2100,2300,1100,1500
2015,2000,2200,2400,1150,1550
2016,2100,2300,2500,1200,1600
2017,2200,2400,2600,1250,1650
2018,2300,2500,2700,1300,1700
