Month,Average Study Hours
January,50
January,52
January,51
February,53
February,54
February,52
March,60
March,61
March,59
April,65
April,66
April,64
May,70
May,71
May,69
June,75
June,76
June,74
July,80
July,81
July,79
August,82
August,83
August,81
September,78
September,79
September,77
October,70
October,71
October,69
November,65
November,66
November,64
December,60
December,61
December,59
January,53
February,56
March,62
April,67
May,72
June,77
July,81
August,84
September,76
October,71
November,66
December,61
