dataTime,total_active,total_confirmed,total_death,total_recovered,total_tests
2020-02-25T14:30:00,2.0,2,0,0.0,218
2020-02-27T17:15:00,3.0,3,0,0.0,447
2020-02-28T16:30:00,6.0,6,0,0.0,763
2020-03-02T18:00:00,18.0,18,0,0.0,2683
2020-03-03T16:00:00,24.0,24,0,0.0,2683
2020-03-04T18:00:00,29.0,29,0,0.0,3138
2020-03-05T15:00:00,41.0,41,0,0.0,3711
2020-03-06T15:00:00,55.0,55,0,0.0,4000
2020-03-07T15:00:00,79.0,79,0,0.0,4308
2020-03-09T15:00:00,129.0,131,0,2.0,4734
2020-03-10T15:00:00,178.0,182,0,4.0,5026
2020-03-11T15:00:00,242.0,246,0,4.0,5362
2020-03-12T15:00:00,356.0,361,1,4.0,5869
2020-03-13T15:00:00,497.0,504,1,6.0,6582
2020-03-14T15:00:00,648.0,655,1,6.0,7467
2020-03-15T15:00:00,853.0,860,1,6.0,8167
2020-03-16T15:00:00,1007.0,1016,3,6.0,8490
2020-03-17T15:00:00,1320.0,1332,3,9.0,10278
2020-03-18T15:00:00,1633.0,1646,4,9.0,11977
2020-03-19T14:30:00,1998.0,2013,6,9.0,13724
2020-03-20T14:30:00,2373.0,2388,6,9.0,15613
2020-03-21T15:00:00,2797.0,2814,8,9.0,18545
2020-03-22T15:00:00,3219.0,3244,16,9.0,21368
2020-03-23T15:00:00,3894.0,3924,21,9.0,23429
2020-03-24T15:00:00,4839.0,4876,28,9.0,28391
2020-03-25T15:00:00,5520.0,5560,31,9.0,32407
2020-03-26T15:00:00,6340.0,6398,49,9.0,35995
2020-03-27T15:00:00,7338.0,7399,52,9.0,39552
2020-03-28T15:00:00,7918.0,7995,68,9.0,42750
2020-03-27T15:00:00,7374.0,7441,58,9.0,39552
2020-03-29T15:00:00,7971.0,8536,86,479.0,46441
2020-03-30T15:00:00,8633.0,9377,108,636.0,49455
2020-03-31T15:00:00,8751.0,9974,128,1095.0,52344
2020-04-01T15:00:00,8900.0,10482,146,1436.0,55863
2020-04-02T15:00:00,9060.0,10967,158,1749.0,92190
2020-04-03T15:00:00,9193.0,11383,168,2022.0,98343
2020-04-04T15:00:00,8972.0,11665,186,2507.0,104134
2020-04-05T15:00:00,8705.0,11907,204,2998.0,108416
2020-04-06T15:00:00,8523.0,12206,220,3463.0,111296
2020-04-07T15:00:00,8230.0,12519,243,4046.0,115235
2020-04-08T15:00:00,8067.0,12852,273,4512.0,120755
2020-04-09T15:00:00,7603.0,13138,295,5240.0,126287
2020-04-10T15:00:00,7109.0,13492,319,6064.0,134743
2020-04-11T15:00:00,6835.0,13776,337,6604.0,140975
2020-04-12T15:00:00,6557.0,13894,350,6987.0,144877
2020-04-13T15:00:00,6288.0,13999,368,7343.0,148412
2020-04-14T15:00:00,6142.0,14159,384,7633.0,151796
2020-04-15T15:00:00,5830.0,14321,393,8098.0,156801
2020-04-16T15:00:00,5055.0,14451,410,8986.0,162816
2020-04-17T15:00:00,4418.0,14553,431,9704.0,169272
2020-04-18T15:00:00,3980.0,14637,443,10214.0,175932
2020-04-19T15:00:00,3743.0,14696,452,10501.0,179243
2020-04-20T15:00:00,3654.0,14755,470,10631.0,182949
2020-04-21T15:00:00,3348.0,14810,491,10971.0,189018
2020-04-22T15:00:00,3051.0,14889,510,11328.0,201794
2020-04-23T15:00:00,2747.0,14963,522,11694.0,205835
2020-04-24T15:00:00,2636.0,15038,530,11872.0,212686
2020-04-25T15:00:00,2478.0,15117,536,12103.0,221089
2020-04-26T15:00:00,2351.0,15175,542,12282.0,227631
2020-04-27T15:00:00,2328.0,15239,549,12362.0,232537
2020-04-28T15:00:00,2137.0,15286,569,12580.0,239578
2020-04-29T15:00:00,1993.0,15352,580,12779.0,247754
2020-04-30T15:00:00,1933.0,15424,584,12907.0,256399
2020-05-01T15:00:00,1789.0,15470,589,13092.0,264079
2020-05-02T15:00:00,1732.0,15508,596,13180.0,269619
2020-05-03T15:00:00,1701.0,15527,598,13228.0,274355
2020-05-04T15:00:00,1635.0,15551,600,13316.0,279071
2020-05-05T15:00:00,1511.0,15579,606,13462.0,285883
2020-05-06T15:00:00,1386.0,15633,608,13639.0,292254
2020-05-07T15:00:00,1358.0,15665,609,13698.0,297894
2020-05-08T15:00:00,1264.0,15714,614,13836.0,304069
2020-05-09T15:00:00,1213.0,15756,615,13928.0,311690
2020-05-10T15:00:00,1177.0,15786,618,13991.0,316508
2020-05-11T15:00:00,1164.0,15845,620,14061.0,319484
2020-05-12T15:00:00,1123.0,15894,623,14148.0,329314
2020-05-13T15:00:00,1045.0,15973,624,14304.0,336252
2020-05-14T15:00:00,983.0,16014,626,14405.0,344606
2020-05-15T15:00:00,994.0,16093,628,14471.0,351351
2020-05-16T15:00:00,993.0,16146,629,14524.0,357393
2020-05-17T15:00:00,975.0,16167,629,14563.0,362509
