date,Date,CDID,Value,Value_s,series,frequency,year
1989 APR,1989-4-15,CZBH,8.0,8.0,RPI,monthly,1989
1989 APR,1989-4-15,D7G7,5.3,5.3,CPI,monthly,1989
1989 APR,1989-4-15,L55O,5.6,5.6,CPIH,monthly,1989
1989 AUG,1989-8-15,CZBH,7.3,7.3,RPI,monthly,1989
1989 AUG,1989-8-15,D7G7,5.0,5.0,CPI,monthly,1989
1989 AUG,1989-8-15,L55O,5.5,5.5,CPIH,monthly,1989
1989 DEC,1989-12-15,CZBH,7.7,7.7,RPI,monthly,1989
1989 DEC,1989-12-15,D7G7,5.5,5.5,CPI,monthly,1989
1989 DEC,1989-12-15,L55O,5.8,5.8,CPIH,monthly,1989
1989 FEB,1989-2-15,CZBH,7.8,7.8,RPI,monthly,1989
1989 FEB,1989-2-15,D7G7,5.0,5.0,CPI,monthly,1989
1989 FEB,1989-2-15,L55O,5.8,5.8,CPIH,monthly,1989
1989 JAN,1989-1-15,CZBH,7.5,7.5,RPI,monthly,1989
1989 JAN,1989-1-15,D7G7,4.9,4.9,CPI,monthly,1989
1989 JAN,1989-1-15,L55O,5.7,5.7,CPIH,monthly,1989
1989 JUL,1989-7-15,CZBH,8.2,8.2,RPI,monthly,1989
1989 JUL,1989-7-15,D7G7,5.2,5.2,CPI,monthly,1989
1989 JUL,1989-7-15,L55O,5.7,5.7,CPIH,monthly,1989
1989 JUN,1989-6-15,CZBH,8.3,8.3,RPI,monthly,1989
1989 JUN,1989-6-15,D7G7,5.2,5.2,CPI,monthly,1989
1989 JUN,1989-6-15,L55O,5.8,5.8,CPIH,monthly,1989
1989 MAR,1989-3-15,CZBH,7.9,7.9,RPI,monthly,1989
1989 MAR,1989-3-15,D7G7,5.0,5.0,CPI,monthly,1989
1989 MAR,1989-3-15,L55O,5.9,5.9,CPIH,monthly,1989
1989 MAY,1989-5-15,CZBH,8.3,8.3,RPI,monthly,1989
1989 MAY,1989-5-15,D7G7,5.3,5.3,CPI,monthly,1989
1989 MAY,1989-5-15,L55O,5.9,5.9,CPIH,monthly,1989
1989 NOV,1989-11-15,CZBH,7.7,7.7,RPI,monthly,1989
1989 NOV,1989-11-15,D7G7,5.5,5.5,CPI,monthly,1989
1989 NOV,1989-11-15,L55O,5.7,5.7,CPIH,monthly,1989
1989 OCT,1989-10-15,CZBH,7.3,7.3,RPI,monthly,1989
1989 OCT,1989-10-15,D7G7,5.5,5.5,CPI,monthly,1989
1989 OCT,1989-10-15,L55O,5.8,5.8,CPIH,monthly,1989
1989 SEP,1989-9-15,CZBH,7.6,7.6,RPI,monthly,1989
1989 SEP,1989-9-15,D7G7,5.2,5.2,CPI,monthly,1989
1989 SEP,1989-9-15,L55O,5.7,5.7,CPIH,monthly,1989
1990 APR,1990-4-15,CZBH,9.4,9.4,RPI,monthly,1990
1990 APR,1990-4-15,D7G7,6.4,6.4,CPI,monthly,1990
1990 APR,1990-4-15,L55O,7.7,7.7,CPIH,monthly,1990
1990 AUG,1990-8-15,CZBH,10.6,10.6,RPI,monthly,1990
1990 AUG,1990-8-15,D7G7,7.7,7.7,CPI,monthly,1990
1990 AUG,1990-8-15,L55O,8.9,8.9,CPIH,monthly,1990
1990 DEC,1990-12-15,CZBH,9.3,9.3,RPI,monthly,1990
1990 DEC,1990-12-15,D7G7,7.6,7.6,CPI,monthly,1990
1990 DEC,1990-12-15,L55O,9.2,9.2,CPIH,monthly,1990
1990 FEB,1990-2-15,CZBH,7.5,7.5,RPI,monthly,1990
1990 FEB,1990-2-15,D7G7,5.9,5.9,CPI,monthly,1990
1990 FEB,1990-2-15,L55O,6.3,6.3,CPIH,monthly,1990
1990 JAN,1990-1-15,CZBH,7.7,7.7,RPI,monthly,1990
1990 JAN,1990-1-15,D7G7,5.7,5.7,CPI,monthly,1990
1990 JAN,1990-1-15,L55O,5.9,5.9,CPIH,monthly,1990
1990 JUL,1990-7-15,CZBH,9.8,9.8,RPI,monthly,1990
1990 JUL,1990-7-15,D7G7,6.8,6.8,CPI,monthly,1990
1990 JUL,1990-7-15,L55O,8.2,8.2,CPIH,monthly,1990
1990 JUN,1990-6-15,CZBH,9.8,9.8,RPI,monthly,1990
1990 JUN,1990-6-15,D7G7,6.9,6.9,CPI,monthly,1990
1990 JUN,1990-6-15,L55O,8.2,8.2,CPIH,monthly,1990
1990 MAR,1990-3-15,CZBH,8.1,8.1,RPI,monthly,1990
1990 MAR,1990-3-15,D7G7,6.0,6.0,CPI,monthly,1990
1990 MAR,1990-3-15,L55O,6.2,6.2,CPIH,monthly,1990
1990 MAY,1990-5-15,CZBH,9.7,9.7,RPI,monthly,1990
1990 MAY,1990-5-15,D7G7,6.8,6.8,CPI,monthly,1990
1990 MAY,1990-5-15,L55O,8.2,8.2,CPIH,monthly,1990
1990 NOV,1990-11-15,CZBH,9.7,9.7,RPI,monthly,1990
1990 NOV,1990-11-15,D7G7,7.8,7.8,CPI,monthly,1990
1990 NOV,1990-11-15,L55O,9.2,9.2,CPIH,monthly,1990
1990 OCT,1990-10-15,CZBH,10.9,10.9,RPI,monthly,1990
1990 OCT,1990-10-15,D7G7,8.1,8.1,CPI,monthly,1990
1990 OCT,1990-10-15,L55O,9.2,9.2,CPIH,monthly,1990
1990 SEP,1990-9-15,CZBH,10.9,10.9,RPI,monthly,1990
1990 SEP,1990-9-15,D7G7,8.1,8.1,CPI,monthly,1990
1990 SEP,1990-9-15,L55O,9.2,9.2,CPIH,monthly,1990
1991 APR,1991-4-15,CZBH,6.4,6.4,RPI,monthly,1991
1991 APR,1991-4-15,D7G7,8.4,8.4,CPI,monthly,1991
1991 APR,1991-4-15,L55O,8.0,8.0,CPIH,monthly,1991
1991 AUG,1991-8-15,CZBH,4.7,4.7,RPI,monthly,1991
1991 AUG,1991-8-15,D7G7,7.9,7.9,CPI,monthly,1991
1991 AUG,1991-8-15,L55O,7.5,7.5,CPIH,monthly,1991
1991 DEC,1991-12-15,CZBH,4.5,4.5,RPI,monthly,1991
1991 DEC,1991-12-15,D7G7,7.2,7.2,CPI,monthly,1991
1991 DEC,1991-12-15,L55O,6.5,6.5,CPIH,monthly,1991
1991 FEB,1991-2-15,CZBH,8.9,8.9,RPI,monthly,1991
1991 FEB,1991-2-15,D7G7,7.0,7.0,CPI,monthly,1991
1991 FEB,1991-2-15,L55O,8.2,8.2,CPIH,monthly,1991
1991 JAN,1991-1-15,CZBH,9.0,9.0,RPI,monthly,1991
1991 JAN,1991-1-15,D7G7,7.1,7.1,CPI,monthly,1991
1991 JAN,1991-1-15,L55O,8.6,8.6,CPIH,monthly,1991
1991 JUL,1991-7-15,CZBH,5.5,5.5,RPI,monthly,1991
1991 JUL,1991-7-15,D7G7,8.3,8.3,CPI,monthly,1991
1991 JUL,1991-7-15,L55O,7.5,7.5,CPIH,monthly,1991
1991 JUN,1991-6-15,CZBH,5.8,5.8,RPI,monthly,1991
1991 JUN,1991-6-15,D7G7,8.4,8.4,CPI,monthly,1991
1991 JUN,1991-6-15,L55O,7.7,7.7,CPIH,monthly,1991
1991 MAR,1991-3-15,CZBH,8.2,8.2,RPI,monthly,1991
1991 MAR,1991-3-15,D7G7,6.9,6.9,CPI,monthly,1991
1991 MAR,1991-3-15,L55O,8.3,8.3,CPIH,monthly,1991
1991 MAY,1991-5-15,CZBH,5.8,5.8,RPI,monthly,1991
1991 MAY,1991-5-15,D7G7,8.2,8.2,CPI,monthly,1991
1991 MAY,1991-5-15,L55O,7.5,7.5,CPIH,monthly,1991
1991 NOV,1991-11-15,CZBH,4.3,4.3,RPI,monthly,1991
1991 NOV,1991-11-15,D7G7,7.1,7.1,CPI,monthly,1991
1991 NOV,1991-11-15,L55O,6.5,6.5,CPIH,monthly,1991
1991 OCT,1991-10-15,CZBH,3.7,3.7,RPI,monthly,1991
1991 OCT,1991-10-15,D7G7,6.8,6.8,CPI,monthly,1991
1991 OCT,1991-10-15,L55O,6.5,6.5,CPIH,monthly,1991
1991 SEP,1991-9-15,CZBH,4.1,4.1,RPI,monthly,1991
1991 SEP,1991-9-15,D7G7,7.1,7.1,CPI,monthly,1991
1991 SEP,1991-9-15,L55O,6.9,6.9,CPIH,monthly,1991
1992 APR,1992-4-15,CZBH,4.3,4.3,RPI,monthly,1992
1992 APR,1992-4-15,D7G7,4.7,4.7,CPI,monthly,1992
1992 APR,1992-4-15,L55O,5.2,5.2,CPIH,monthly,1992
1992 AUG,1992-8-15,CZBH,3.6,3.6,RPI,monthly,1992
1992 AUG,1992-8-15,D7G7,3.0,3.0,CPI,monthly,1992
1992 AUG,1992-8-15,L55O,3.7,3.7,CPIH,monthly,1992
1992 DEC,1992-12-15,CZBH,2.6,2.6,RPI,monthly,1992
1992 DEC,1992-12-15,D7G7,2.6,2.6,CPI,monthly,1992
1992 DEC,1992-12-15,L55O,3.2,3.2,CPIH,monthly,1992
1992 FEB,1992-2-15,CZBH,4.1,4.1,RPI,monthly,1992
1992 FEB,1992-2-15,D7G7,6.9,6.9,CPI,monthly,1992
1992 FEB,1992-2-15,L55O,6.3,6.3,CPIH,monthly,1992
1992 JAN,1992-1-15,CZBH,4.1,4.1,RPI,monthly,1992
1992 JAN,1992-1-15,D7G7,7.0,7.0,CPI,monthly,1992
1992 JAN,1992-1-15,L55O,6.2,6.2,CPIH,monthly,1992
1992 JUL,1992-7-15,CZBH,3.7,3.7,RPI,monthly,1992
1992 JUL,1992-7-15,D7G7,3.6,3.6,CPI,monthly,1992
1992 JUL,1992-7-15,L55O,4.5,4.5,CPIH,monthly,1992
1992 JUN,1992-6-15,CZBH,3.9,3.9,RPI,monthly,1992
1992 JUN,1992-6-15,D7G7,3.8,3.8,CPI,monthly,1992
1992 JUN,1992-6-15,L55O,4.6,4.6,CPIH,monthly,1992
1992 MAR,1992-3-15,CZBH,4.0,4.0,RPI,monthly,1992
1992 MAR,1992-3-15,D7G7,7.1,7.1,CPI,monthly,1992
1992 MAR,1992-3-15,L55O,6.2,6.2,CPIH,monthly,1992
1992 MAY,1992-5-15,CZBH,4.3,4.3,RPI,monthly,1992
1992 MAY,1992-5-15,D7G7,4.3,4.3,CPI,monthly,1992
1992 MAY,1992-5-15,L55O,5.1,5.1,CPIH,monthly,1992
1992 NOV,1992-11-15,CZBH,3.0,3.0,RPI,monthly,1992
1992 NOV,1992-11-15,D7G7,2.6,2.6,CPI,monthly,1992
1992 NOV,1992-11-15,L55O,3.3,3.3,CPIH,monthly,1992
1992 OCT,1992-10-15,CZBH,3.6,3.6,RPI,monthly,1992
1992 OCT,1992-10-15,D7G7,2.9,2.9,CPI,monthly,1992
1992 OCT,1992-10-15,L55O,3.5,3.5,CPIH,monthly,1992
1992 SEP,1992-9-15,CZBH,3.6,3.6,RPI,monthly,1992
1992 SEP,1992-9-15,D7G7,3.0,3.0,CPI,monthly,1992
1992 SEP,1992-9-15,L55O,3.7,3.7,CPIH,monthly,1992
1993 APR,1993-4-15,CZBH,1.3,1.3,RPI,monthly,1993
1993 APR,1993-4-15,D7G7,2.5,2.5,CPI,monthly,1993
1993 APR,1993-4-15,L55O,2.6,2.6,CPIH,monthly,1993
1993 AUG,1993-8-15,CZBH,1.7,1.7,RPI,monthly,1993
1993 AUG,1993-8-15,D7G7,2.9,2.9,CPI,monthly,1993
1993 AUG,1993-8-15,L55O,2.6,2.6,CPIH,monthly,1993
1993 DEC,1993-12-15,CZBH,1.9,1.9,RPI,monthly,1993
1993 DEC,1993-12-15,D7G7,2.4,2.4,CPI,monthly,1993
1993 DEC,1993-12-15,L55O,2.3,2.3,CPIH,monthly,1993
1993 FEB,1993-2-15,CZBH,1.8,1.8,RPI,monthly,1993
1993 FEB,1993-2-15,D7G7,2.4,2.4,CPI,monthly,1993
1993 FEB,1993-2-15,L55O,3.1,3.1,CPIH,monthly,1993
1993 JAN,1993-1-15,CZBH,1.7,1.7,RPI,monthly,1993
1993 JAN,1993-1-15,D7G7,2.2,2.2,CPI,monthly,1993
1993 JAN,1993-1-15,L55O,3.0,3.0,CPIH,monthly,1993
1993 JUL,1993-7-15,CZBH,1.4,1.4,RPI,monthly,1993
1993 JUL,1993-7-15,D7G7,2.6,2.6,CPI,monthly,1993
1993 JUL,1993-7-15,L55O,2.3,2.3,CPIH,monthly,1993
1993 JUN,1993-6-15,CZBH,1.2,1.2,RPI,monthly,1993
1993 JUN,1993-6-15,D7G7,2.4,2.4,CPI,monthly,1993
1993 JUN,1993-6-15,L55O,2.2,2.2,CPIH,monthly,1993
1993 MAR,1993-3-15,CZBH,1.9,1.9,RPI,monthly,1993
1993 MAR,1993-3-15,D7G7,2.5,2.5,CPI,monthly,1993
1993 MAR,1993-3-15,L55O,3.2,3.2,CPIH,monthly,1993
1993 MAY,1993-5-15,CZBH,1.3,1.3,RPI,monthly,1993
1993 MAY,1993-5-15,D7G7,2.5,2.5,CPI,monthly,1993
1993 MAY,1993-5-15,L55O,2.3,2.3,CPIH,monthly,1993
1993 NOV,1993-11-15,CZBH,1.4,1.4,RPI,monthly,1993
1993 NOV,1993-11-15,D7G7,2.3,2.3,CPI,monthly,1993
1993 NOV,1993-11-15,L55O,2.1,2.1,CPIH,monthly,1993
1993 OCT,1993-10-15,CZBH,1.4,1.4,RPI,monthly,1993
1993 OCT,1993-10-15,D7G7,2.6,2.6,CPI,monthly,1993
1993 OCT,1993-10-15,L55O,2.4,2.4,CPIH,monthly,1993
1993 SEP,1993-9-15,CZBH,1.8,1.8,RPI,monthly,1993
1993 SEP,1993-9-15,D7G7,3.1,3.1,CPI,monthly,1993
1993 SEP,1993-9-15,L55O,2.7,2.7,CPIH,monthly,1993
1994 APR,1994-4-15,CZBH,2.6,2.6,RPI,monthly,1994
1994 APR,1994-4-15,D7G7,2.0,2.0,CPI,monthly,1994
1994 APR,1994-4-15,L55O,2.4,2.4,CPIH,monthly,1994
1994 AUG,1994-8-15,CZBH,2.4,2.4,RPI,monthly,1994
1994 AUG,1994-8-15,D7G7,1.9,1.9,CPI,monthly,1994
1994 AUG,1994-8-15,L55O,2.2,2.2,CPIH,monthly,1994
1994 DEC,1994-12-15,CZBH,2.9,2.9,RPI,monthly,1994
1994 DEC,1994-12-15,D7G7,2.0,2.0,CPI,monthly,1994
1994 DEC,1994-12-15,L55O,2.2,2.2,CPIH,monthly,1994
1994 FEB,1994-2-15,CZBH,2.4,2.4,RPI,monthly,1994
1994 FEB,1994-2-15,D7G7,2.5,2.5,CPI,monthly,1994
1994 FEB,1994-2-15,L55O,2.4,2.4,CPIH,monthly,1994
1994 JAN,1994-1-15,CZBH,2.5,2.5,RPI,monthly,1994
1994 JAN,1994-1-15,D7G7,2.7,2.7,CPI,monthly,1994
1994 JAN,1994-1-15,L55O,2.6,2.6,CPIH,monthly,1994
1994 JUL,1994-7-15,CZBH,2.3,2.3,RPI,monthly,1994
1994 JUL,1994-7-15,D7G7,1.7,1.7,CPI,monthly,1994
1994 JUL,1994-7-15,L55O,2.1,2.1,CPIH,monthly,1994
1994 JUN,1994-6-15,CZBH,2.6,2.6,RPI,monthly,1994
1994 JUN,1994-6-15,D7G7,2.0,2.0,CPI,monthly,1994
1994 JUN,1994-6-15,L55O,2.3,2.3,CPIH,monthly,1994
1994 MAR,1994-3-15,CZBH,2.3,2.3,RPI,monthly,1994
1994 MAR,1994-3-15,D7G7,2.2,2.2,CPI,monthly,1994
1994 MAR,1994-3-15,L55O,2.2,2.2,CPIH,monthly,1994
1994 MAY,1994-5-15,CZBH,2.6,2.6,RPI,monthly,1994
1994 MAY,1994-5-15,D7G7,2.0,2.0,CPI,monthly,1994
1994 MAY,1994-5-15,L55O,2.4,2.4,CPIH,monthly,1994
1994 NOV,1994-11-15,CZBH,2.6,2.6,RPI,monthly,1994
1994 NOV,1994-11-15,D7G7,1.8,1.8,CPI,monthly,1994
1994 NOV,1994-11-15,L55O,2.1,2.1,CPIH,monthly,1994
1994 OCT,1994-10-15,CZBH,2.4,2.4,RPI,monthly,1994
