Year Acquired,Statistic,stat
1753-01-01T00:00:00,count,1.0
1802-01-01T00:00:00,count,2.0
1810-01-01T00:00:00,count,3.0
1832-01-01T00:00:00,count,1.0
1837-01-01T00:00:00,count,1.0
1838-01-01T00:00:00,count,1.0
1839-01-01T00:00:00,count,1.0
1840-01-01T00:00:00,count,8.0
1841-01-01T00:00:00,count,1.0
1843-01-01T00:00:00,count,1.0
1844-01-01T00:00:00,count,1.0
1845-01-01T00:00:00,count,3.0
1848-01-01T00:00:00,count,4.0
1850-01-01T00:00:00,count,2.0
1853-01-01T00:00:00,count,1.0
1854-01-01T00:00:00,count,1.0
1855-01-01T00:00:00,count,6.0
1856-01-01T00:00:00,count,1.0
1857-01-01T00:00:00,count,2.0
1858-01-01T00:00:00,count,2.0
1859-01-01T00:00:00,count,1.0
1860-01-01T00:00:00,count,6.0
1863-01-01T00:00:00,count,1.0
1865-01-01T00:00:00,count,9.0
1867-01-01T00:00:00,count,1.0
1870-01-01T00:00:00,count,1.0
1871-01-01T00:00:00,count,5.0
1872-01-01T00:00:00,count,1.0
1873-01-01T00:00:00,count,1.0
1874-01-01T00:00:00,count,1.0
1875-01-01T00:00:00,count,3.0
1876-01-01T00:00:00,count,5.0
1878-01-01T00:00:00,count,1.0
1880-01-01T00:00:00,count,8.0
1881-01-01T00:00:00,count,1.0
1882-01-01T00:00:00,count,2.0
1883-01-01T00:00:00,count,2.0
1885-01-01T00:00:00,count,4.0
1886-01-01T00:00:00,count,13.0
1887-01-01T00:00:00,count,4.0
1888-01-01T00:00:00,count,2.0
1890-01-01T00:00:00,count,7.0
1891-01-01T00:00:00,count,1.0
1892-01-01T00:00:00,count,3.0
1893-01-01T00:00:00,count,6.0
1894-01-01T00:00:00,count,1.0
1895-01-01T00:00:00,count,7.0
1896-01-01T00:00:00,count,6.0
1897-01-01T00:00:00,count,1.0
1898-01-01T00:00:00,count,2.0
1899-01-01T00:00:00,count,3.0
1900-01-01T00:00:00,count,27.0
1901-01-01T00:00:00,count,3.0
1902-01-01T00:00:00,count,8.0
1903-01-01T00:00:00,count,6.0
1904-01-01T00:00:00,count,7.0
1905-01-01T00:00:00,count,13.0
1906-01-01T00:00:00,count,2.0
