Year,Region,Value1,Value2,Detail
1970,Sub Saharan Africa,271.4065,0.9151738,V1: Total fossil CO2 emissions
1971,Sub Saharan Africa,284.89,0.9367754,V2: Per capita emissions
1972,Sub Saharan Africa,307.0701,0.9831753,Source: Authors' calculations
1973,Sub Saharan Africa,350.0824,1.091057,Kyoto: 1997
1974,Sub Saharan Africa,379.0392,1.150727,Copenhagen: 2009
1975,Sub Saharan Africa,368.6971,1.087005,Paris: 2015
1976,Sub Saharan Africa,393.8836,1.130321,
1977,Sub Saharan Africa,384.8039,1.071596,
1978,Sub Saharan Africa,367.7654,0.996109,
1979,Sub Saharan Africa,404.1746,1.066293,
1980,Sub Saharan Africa,411.7625,1.054721,
1981,Sub Saharan Africa,407.4442,1.013636,
1982,Sub Saharan Africa,407.5956,0.9857616,
1983,Sub Saharan Africa,412.2935,0.9700274,
1984,Sub Saharan Africa,431.5847,0.988379,
1985,Sub Saharan Africa,443.8633,0.9893323,
1986,Sub Saharan Africa,442.1137,0.9592515,
1987,Sub Saharan Africa,459.9741,0.9715667,
1988,Sub Saharan Africa,473.7106,0.973476,
1989,Sub Saharan Africa,474.8604,0.950313,
1990,Sub Saharan Africa,479.6162,0.9338344,
1991,Sub Saharan Africa,477.5316,0.9048837,
1992,Sub Saharan Africa,479.3575,0.8845519,
1993,Sub Saharan Africa,477.2842,0.8568689,
1994,Sub Saharan Africa,486.7276,0.8499883,
1995,Sub Saharan Africa,516.4262,0.8783587,
1996,Sub Saharan Africa,549.5706,0.9106613,
1997,Sub Saharan Africa,568.079,0.9162186,
1998,Sub Saharan Africa,569.0698,0.893755,
1999,Sub Saharan Africa,557.5619,0.8527267,
2000,Sub Saharan Africa,573.3071,0.8537974,
2001,Sub Saharan Africa,593.1564,0.859876,
2002,Sub Saharan Africa,596.57,0.841367,
2003,Sub Saharan Africa,631.6548,0.8674033,
2004,Sub Saharan Africa,664.0112,0.8874819,
2005,Sub Saharan Africa,679.8535,0.8846858,
2006,Sub Saharan Africa,680.5752,0.862411,
2007,Sub Saharan Africa,698.035,0.8619645,
2008,Sub Saharan Africa,740.4526,0.8919051,
2009,Sub Saharan Africa,705.288,0.8277082,
2010,Sub Saharan Africa,740.964,0.8476005,
2011,Sub Saharan Africa,737.5818,0.8212857,
2012,Sub Saharan Africa,768.1745,0.8354112,
2013,Sub Saharan Africa,791.6397,0.8400841,
2014,Sub Saharan Africa,810.9849,0.8382054,
2015,Sub Saharan Africa,821.9876,0.8269669,
2016,Sub Saharan Africa,844.6313,0.8278613,
2017,Sub Saharan Africa,852.3878,0.8133327,
2018,Sub Saharan Africa,864.9573,0.8041709,
1970,Latin America and Caribbean,531.5656,1.831451,
1971,Latin America and Caribbean,533.7449,1.793798,
1972,Latin America and Caribbean,566.718,1.856199,
1973,Latin America and Caribbean,615.5353,1.966927,
1974,Latin America and Caribbean,642.6953,2.008771,
1975,Latin America and Caribbean,654.2959,1.992699,
1976,Latin America and Caribbean,699.7504,2.085681,
1977,Latin America and Caribbean,726.6924,2.115482,
1978,Latin America and Caribbean,778.4816,2.215679,
1979,Latin America and Caribbean,822.1429,2.290568,
1980,Latin America and Caribbean,852.7563,2.323985,
1981,Latin America and Caribbean,852.4805,2.272035,
1982,Latin America and Caribbean,863.1743,2.252165,
1983,Latin America and Caribbean,838.1635,2.141692,
1984,Latin America and Caribbean,852.3432,2.132606,
1985,Latin America and Caribbean,860.518,2.110549,
1986,Latin America and Caribbean,895.1893,2.152703,
1987,Latin America and Caribbean,925.2163,2.180463,
1988,Latin America and Caribbean,945.4112,2.186397,
1989,Latin America and Caribbean,976.1123,2.214719,
1990,Latin America and Caribbean,967.8707,2.154713,
1991,Latin America and Caribbean,989.2416,2.161612,
1992,Latin America and Caribbean,1008.377,2.164186,
1993,Latin America and Caribbean,1040.21,2.192977,
1994,Latin America and Caribbean,1096.685,2.272346,
1995,Latin America and Caribbean,1123.079,2.288802,
1996,Latin America and Caribbean,1197.585,2.402107,
1997,Latin America and Caribbean,1268.586,2.504974,
1998,Latin America and Caribbean,1315.368,2.557452,
1999,Latin America and Caribbean,1303.129,2.496248,
2000,Latin America and Caribbean,1358.869,2.566363,
2001,Latin America and Caribbean,1357.227,2.527794,
2002,Latin America and Caribbean,1355.694,2.49185,
2003,Latin America and Caribbean,1390.588,2.523564,
2004,Latin America and Caribbean,1455.55,2.608713,
2005,Latin America and Caribbean,1498.503,2.652901,
2006,Latin America and Caribbean,1537.975,2.688832,
2007,Latin America and Caribbean,1586.125,2.738018,
2008,Latin America and Caribbean,1659.255,2.82842,
2009,Latin America and Caribbean,1619.355,2.726151,
2010,Latin America and Caribbean,1723.979,2.867563,
2011,Latin America and Caribbean,1763.139,2.898976,
2012,Latin America and Caribbean,1848.635,3.001941,
2013,Latin America and Caribbean,1871.875,3.005404,
2014,Latin America and Caribbean,1900.704,3.020262,
2015,Latin America and Caribbean,1872.78,2.942074,
2016,Latin America and Caribbean,1857.491,2.883973,
2017,Latin America and Caribbean,1861.457,2.859258,
2018,Latin America and Caribbean,1844.26,2.804965,
1970,North America,5050.316,21.84615,
1971,North America,4928.784,21.11423,
1972,North America,5195.206,22.04598,
1973,North America,5401.893,22.70665,
1974,North America,5242.811,21.82982,
1975,North America,5017.302,20.69249,
1976,North America,5324.616,21.74968,
1977,North America,5503.259,22.26414,
1978,North America,5500.961,22.04199,
1979,North America,5555.443,22.04835,
1980,North America,5332.382,20.96165,
1981,North America,5243.218,20.41511,
1982,North America,4977.526,19.19751,
1983,North America,4952.58,18.92107,
1984,North America,5182.642,19.61241,
1985,North America,5208.479,19.522,
1986,North America,5157.76,19.14511,
1987,North America,5326.575,19.57769,
1988,North America,5579.281,20.30432,
1989,North America,5652.303,20.36503,
1990,North America,5519.037,19.68668,
1991,North America,5470.346,19.32146,
1992,North America,5563.903,19.45972,
1993,North America,5682.068,19.6753,
1994,North America,5782.368,19.81483,
1995,North America,5846.493,19.81621,
1996,North America,6007.793,20.12826,
1997,North America,6198.224,20.51752,
1998,North America,6218.293,20.33611,
1999,North America,6248.823,20.19853,
2000,North America,6473.669,20.69758,
2001,North America,6406.223,20.27677,
2002,North America,6333.483,19.86067,
2003,North America,6428.98,19.98304,
2004,North America,6504.709,20.04225,
2005,North America,6526.536,19.92986,
2006,North America,6414.545,19.4071,
2007,North America,6525.266,19.55612,
2008,North America,6315.627,18.75022,
2009,North America,5864.901,17.2538,
2010,North America,6121.689,17.85483,
2011,North America,6001.742,17.36385,
2012,North America,5822.263,16.7162,
2013,North America,5908.356,16.83966,
2014,North America,5984.997,16.93599,
2015,North America,5815.678,16.33854,
2016,North America,5748.925,16.03425,
2017,North America,5723.973,15.84909,
2018,North America,5870.195,16.1363,
1970,East Asia and Pacific,2196.186,1.681293,
1971,East Asia and Pacific,2200.726,1.644568,
1972,East Asia and Pacific,2336.716,1.704031,
1973,East Asia and Pacific,2535.852,1.804065,
1974,East Asia and Pacific,2570.469,1.796747,
1975,East Asia and Pacific,2687.103,1.843352,
1976,East Asia and Pacific,2798.248,1.878814,
1977,East Asia and Pacific,3038.91,2.007304,
1978,East Asia and Pacific,3342.671,2.172268,
1979,East Asia and Pacific,3452.481,2.208067,
1980,East Asia and Pacific,3421.381,2.149704,
1981,East Asia and Pacific,3393.239,2.103432,
1982,East Asia and Pacific,3438.987,2.099651,
1983,East Asia and Pacific,3551.928,2.132431,
1984,East Asia and Pacific,3809.898,2.252115,
1985,East Asia and Pacific,3845.996,2.236673,
1986,East Asia and Pacific,3983.122,2.270659,
1987,East Asia and Pacific,4169.985,2.333957,
1988,East Asia and Pacific,4487.241,2.462421,
1989,East Asia and Pacific,4659.211,2.511288,
1990,East Asia and Pacific,4849.125,2.575117,
1991,East Asia and Pacific,5061.312,2.646788,
1992,East Asia and Pacific,5248.695,2.705833,
1993,East Asia and Pacific,5553.056,2.825649,
1994,East Asia and Pacific,5859.494,2.94751,
1995,East Asia and Pacific,6300.681,3.136992,
