count,district,municipaly,week,year
22,Innsbruck-Stadt,Innsbruck,1,2017
21,Innsbruck-Stadt,Innsbruck,2,2017
22,Innsbruck-Stadt,Innsbruck,3,2017
19,Innsbruck-Stadt,Innsbruck,4,2017
11,Innsbruck-Stadt,Innsbruck,5,2017
23,Innsbruck-Stadt,Innsbruck,6,2017
17,Innsbruck-Stadt,Innsbruck,7,2017
4,Innsbruck-Stadt,Innsbruck,8,2017
22,Innsbruck-Stadt,Innsbruck,9,2017
15,Innsbruck-Stadt,Innsbruck,10,2017
7,Innsbruck-Stadt,Innsbruck,11,2017
8,Innsbruck-Stadt,Innsbruck,12,2017
11,Innsbruck-Stadt,Innsbruck,13,2017
16,Innsbruck-Stadt,Innsbruck,14,2017
9,Innsbruck-Stadt,Innsbruck,15,2017
16,Innsbruck-Stadt,Innsbruck,16,2017
11,Innsbruck-Stadt,Innsbruck,17,2017
8,Innsbruck-Stadt,Innsbruck,18,2017
6,Innsbruck-Stadt,Innsbruck,19,2017
13,Innsbruck-Stadt,Innsbruck,20,2017
9,Innsbruck-Stadt,Innsbruck,21,2017
1,Innsbruck-Stadt,Innsbruck,22,2017
3,Innsbruck-Stadt,Innsbruck,23,2017
10,Innsbruck-Stadt,Innsbruck,24,2017
11,Innsbruck-Stadt,Innsbruck,25,2017
7,Innsbruck-Stadt,Innsbruck,26,2017
8,Innsbruck-Stadt,Innsbruck,27,2017
5,Innsbruck-Stadt,Innsbruck,28,2017
8,Innsbruck-Stadt,Innsbruck,29,2017
12,Innsbruck-Stadt,Innsbruck,30,2017
8,Innsbruck-Stadt,Innsbruck,31,2017
5,Innsbruck-Stadt,Innsbruck,32,2017
2,Innsbruck-Stadt,Innsbruck,33,2017
13,Innsbruck-Stadt,Innsbruck,34,2017
15,Innsbruck-Stadt,Innsbruck,35,2017
5,Innsbruck-Stadt,Innsbruck,36,2017
10,Innsbruck-Stadt,Innsbruck,37,2017
12,Innsbruck-Stadt,Innsbruck,38,2017
13,Innsbruck-Stadt,Innsbruck,39,2017
11,Innsbruck-Stadt,Innsbruck,40,2017
6,Innsbruck-Stadt,Innsbruck,41,2017
11,Innsbruck-Stadt,Innsbruck,42,2017
7,Innsbruck-Stadt,Innsbruck,43,2017
5,Innsbruck-Stadt,Innsbruck,44,2017
11,Innsbruck-Stadt,Innsbruck,45,2017
15,Innsbruck-Stadt,Innsbruck,46,2017
6,Innsbruck-Stadt,Innsbruck,47,2017
16,Innsbruck-Stadt,Innsbruck,48,2017
10,Innsbruck-Stadt,Innsbruck,49,2017
10,Innsbruck-Stadt,Innsbruck,50,2017
6,Innsbruck-Stadt,Innsbruck,51,2017
11,Innsbruck-Stadt,Innsbruck,52,2017
22,Innsbruck-Stadt,Innsbruck,1,2018
13,Innsbruck-Stadt,Innsbruck,2,2018
22,Innsbruck-Stadt,Innsbruck,3,2018
13,Innsbruck-Stadt,Innsbruck,4,2018
12,Innsbruck-Stadt,Innsbruck,5,2018
7,Innsbruck-Stadt,Innsbruck,6,2018
21,Innsbruck-Stadt,Innsbruck,7,2018
27,Innsbruck-Stadt,Innsbruck,8,2018
17,Innsbruck-Stadt,Innsbruck,9,2018
9,Innsbruck-Stadt,Innsbruck,10,2018
11,Innsbruck-Stadt,Innsbruck,11,2018
15,Innsbruck-Stadt,Innsbruck,12,2018
6,Innsbruck-Stadt,Innsbruck,13,2018
22,Innsbruck-Stadt,Innsbruck,14,2018
24,Innsbruck-Stadt,Innsbruck,15,2018
9,Innsbruck-Stadt,Innsbruck,16,2018
8,Innsbruck-Stadt,Innsbruck,17,2018
