Date Changed,Rate,Date
19-Mar-20,0.1,2020-03-19
11-Mar-20,0.25,2020-03-11
02-Aug-18,0.75,2018-08-02
02-Nov-17,0.5,2017-11-02
04-Aug-16,0.25,2016-08-04
05-Mar-09,0.5,2009-03-05
05-Feb-09,1.0,2009-02-05
08-Jan-09,1.5,2009-01-08
04-Dec-08,2.0,2008-12-04
06-Nov-08,3.0,2008-11-06
08-Oct-08,4.5,2008-10-08
10-Apr-08,5.0,2008-04-10
07-Feb-08,5.25,2008-02-07
06-Dec-07,5.5,2007-12-06
05-Jul-07,5.75,2007-07-05
10-May-07,5.5,2007-05-10
11-Jan-07,5.25,2007-01-11
09-Nov-06,5.0,2006-11-09
03-Aug-06,4.75,2006-08-03
04-Aug-05,4.5,2005-08-04
05-Aug-04,4.75,2004-08-05
10-Jun-04,4.5,2004-06-10
06-May-04,4.25,2004-05-06
05-Feb-04,4.0,2004-02-05
06-Nov-03,3.75,2003-11-06
10-Jul-03,3.5,2003-07-10
06-Feb-03,3.75,2003-02-06
08-Nov-01,4.0,2001-11-08
04-Oct-01,4.5,2001-10-04
18-Sep-01,4.75,2001-09-18
02-Aug-01,5.0,2001-08-02
10-May-01,5.25,2001-05-10
05-Apr-01,5.5,2001-04-05
08-Feb-01,5.75,2001-02-08
10-Feb-00,6.0,2000-02-10
13-Jan-00,5.75,2000-01-13
04-Nov-99,5.5,1999-11-04
08-Sep-99,5.25,1999-09-08
10-Jun-99,5.0,1999-06-10
08-Apr-99,5.25,1999-04-08
04-Feb-99,5.5,1999-02-04
07-Jan-99,6.0,1999-01-07
10-Dec-98,6.25,1998-12-10
05-Nov-98,6.75,1998-11-05
08-Oct-98,7.25,1998-10-08
04-Jun-98,7.5,1998-06-04
06-Nov-97,7.25,1997-11-06
07-Aug-97,7.0,1997-08-07
10-Jul-97,6.75,1997-07-10
06-Jun-97,6.5,1997-06-06
06-May-97,6.25,1997-05-06
30-Oct-96,5.94,1996-10-30
06-Jun-96,5.69,1996-06-06
08-Mar-96,5.94,1996-03-08
18-Jan-96,6.13,1996-01-18
13-Dec-95,6.38,1995-12-13
02-Feb-95,6.63,1995-02-02
07-Dec-94,6.13,1994-12-07
12-Sep-94,5.63,1994-09-12
08-Feb-94,5.13,1994-02-08
23-Nov-93,5.38,1993-11-23
26-Jan-93,5.88,1993-01-26
13-Nov-92,6.88,1992-11-13
16-Oct-92,7.88,1992-10-16
22-Sep-92,8.88,1992-09-22
05-May-92,9.88,1992-05-05
04-Sep-91,10.38,1991-09-04
12-Jul-91,10.88,1991-07-12
24-May-91,11.38,1991-05-24
12-Apr-91,11.88,1991-04-12
22-Mar-91,12.38,1991-03-22
27-Feb-91,12.88,1991-02-27
13-Feb-91,13.38,1991-02-13
08-Oct-90,13.88,1990-10-08
06-Oct-89,14.88,1989-10-06
08-Sep-89,13.75,1989-09-08
04-Sep-89,13.88,1989-09-04
31-Aug-89,13.84,1989-08-31
25-May-89,13.75,1989-05-25
25-Nov-88,12.88,1988-11-25
25-Aug-88,11.88,1988-08-25
08-Aug-88,10.88,1988-08-08
21-Jul-88,10.38,1988-07-21
07-Jul-88,9.88,1988-07-07
24-Jun-88,8.88,1988-06-24
10-Jun-88,8.38,1988-06-10
03-Jun-88,7.88,1988-06-03
17-May-88,7.38,1988-05-17
08-Apr-88,7.88,1988-04-08
17-Mar-88,8.38,1988-03-17
01-Feb-88,8.88,1988-02-01
03-Dec-87,8.38,1987-12-03
04-Nov-87,8.88,1987-11-04
23-Oct-87,9.38,1987-10-23
06-Aug-87,9.88,1987-08-06
08-May-87,8.88,1987-05-08
28-Apr-87,9.38,1987-04-28
18-Mar-87,9.88,1987-03-18
09-Mar-87,10.38,1987-03-09
15-Oct-86,10.88,1986-10-15
23-May-86,9.88,1986-05-23
18-Apr-86,10.38,1986-04-18
11-Apr-86,10.88,1986-04-11
19-Mar-86,11.38,1986-03-19
15-Jan-86,12.38,1986-01-15
26-Jul-85,11.38,1985-07-26
11-Jul-85,11.88,1985-07-11
19-Apr-85,12.38,1985-04-19
28-Mar-85,12.88,1985-03-28
20-Mar-85,13.38,1985-03-20
28-Jan-85,13.88,1985-01-28
14-Jan-85,11.88,1985-01-14
23-Nov-84,9.5,1984-11-23
19-Nov-84,9.75,1984-11-19
05-Nov-84,10.0,1984-11-05
17-Aug-84,10.5,1984-08-17
16-Aug-84,10.75,1984-08-16
09-Aug-84,11.0,1984-08-09
08-Aug-84,11.5,1984-08-08
11-Jul-84,12.0,1984-07-11
06-Jul-84,10.0,1984-07-06
29-Jun-84,8.88,1984-06-29
10-May-84,9.06,1984-05-10
14-Mar-84,8.56,1984-03-14
07-Mar-84,8.81,1984-03-07
03-Oct-83,9.06,1983-10-03
10-Aug-83,9.56,1983-08-10
09-Aug-83,9.44,1983-08-09
14-Jun-83,9.56,1983-06-14
13-Jun-83,9.81,1983-06-13
14-Apr-83,10.06,1983-04-14
13-Apr-83,10.31,1983-04-13
15-Mar-83,10.56,1983-03-15
12-Jan-83,11.0,1983-01-12
26-Nov-82,10.0,1982-11-26
02-Nov-82,9.13,1982-11-02
01-Nov-82,9.38,1982-11-01
12-Oct-82,9.63,1982-10-12
30-Sep-82,10.13,1982-09-30
29-Sep-82,10.25,1982-09-29
28-Sep-82,10.38,1982-09-28
27-Sep-82,10.5,1982-09-27
27-Aug-82,10.63,1982-08-27
26-Aug-82,10.88,1982-08-26
25-Aug-82,11.0,1982-08-25
24-Aug-82,11.13,1982-08-24
17-Aug-82,11.25,1982-08-17
16-Aug-82,11.38,1982-08-16
04-Aug-82,11.5,1982-08-04
02-Aug-82,11.56,1982-08-02
30-Jul-82,11.63,1982-07-30
29-Jul-82,11.75,1982-07-29
28-Jul-82,11.81,1982-07-28
26-Jul-82,11.94,1982-07-26
21-Jul-82,12.06,1982-07-21
13-Jul-82,12.13,1982-07-13
12-Jul-82,12.25,1982-07-12
09-Jul-82,12.5,1982-07-09
08-Jun-82,12.63,1982-06-08
20-Apr-82,13.13,1982-04-20
19-Apr-82,13.0,1982-04-19
16-Apr-82,13.13,1982-04-16
10-Mar-82,13.25,1982-03-10
25-Feb-82,13.63,1982-02-25
22-Feb-82,13.81,1982-02-22
22-Jan-82,13.88,1982-01-22
21-Jan-82,14.0,1982-01-21
20-Jan-82,14.13,1982-01-20
19-Jan-82,14.25,1982-01-19
18-Jan-82,14.31,1982-01-18
04-Dec-81,14.38,1981-12-04
25-Nov-81,14.56,1981-11-25
09-Nov-81,14.63,1981-11-09
06-Nov-81,15.06,1981-11-06
28-Oct-81,15.13,1981-10-28
12-Oct-81,15.0,1981-10-12
15-Sep-81,14.0,1981-09-15
25-Aug-81,12.69,1981-08-25
11-Mar-81,12.0,1981-03-11
25-Nov-80,14.0,1980-11-25
03-Jul-80,16.0,1980-07-03
15-Nov-79,17.0,1979-11-15
13-Jun-79,14.0,1979-06-13
05-Apr-79,12.0,1979-04-05
01-Mar-79,13.0,1979-03-01
08-Feb-79,14.0,1979-02-08
09-Nov-78,12.5,1978-11-09
08-Jun-78,10.0,1978-06-08
15-May-78,9.0,1978-05-15
08-May-78,8.75,1978-05-08
12-Apr-78,7.5,1978-04-12
09-Jan-78,6.5,1978-01-09
28-Nov-77,7.0,1977-11-28
17-Oct-77,5.0,1977-10-17
10-Oct-77,5.5,1977-10-10
19-Sep-77,6.0,1977-09-19
12-Sep-77,6.5,1977-09-12
15-Aug-77,7.0,1977-08-15
08-Aug-77,7.5,1977-08-08
16-May-77,8.0,1977-05-16
02-May-77,8.25,1977-05-02
25-Apr-77,8.75,1977-04-25
18-Apr-77,9.0,1977-04-18
12-Apr-77,9.25,1977-04-12
31-Mar-77,9.5,1977-03-31
21-Mar-77,10.5,1977-03-21
10-Mar-77,11.0,1977-03-10
03-Feb-77,12.0,1977-02-03
31-Jan-77,12.25,1977-01-31
24-Jan-77,13.25,1977-01-24
10-Jan-77,14.0,1977-01-10
29-Dec-76,14.25,1976-12-29
20-Dec-76,14.5,1976-12-20
22-Nov-76,14.75,1976-11-22
07-Oct-76,15.0,1976-10-07
13-Sep-76,13.0,1976-09-13
24-May-76,11.5,1976-05-24
26-Apr-76,10.5,1976-04-26
08-Mar-76,9.0,1976-03-08
01-Mar-76,9.25,1976-03-01
09-Feb-76,9.5,1976-02-09
02-Feb-76,10.0,1976-02-02
26-Jan-76,10.5,1976-01-26
19-Jan-76,10.75,1976-01-19
05-Jan-76,11.0,1976-01-05
29-Dec-75,11.25,1975-12-29
01-Dec-75,11.5,1975-12-01
17-Nov-75,11.75,1975-11-17
06-Oct-75,12.0,1975-10-06
28-Jul-75,11.0,1975-07-28
05-May-75,10.0,1975-05-05
21-Apr-75,9.75,1975-04-21
24-Mar-75,10.0,1975-03-24
10-Mar-75,10.25,1975-03-10
17-Feb-75,10.5,1975-02-17
10-Feb-75,10.75,1975-02-10
27-Jan-75,11.0,1975-01-27
20-Jan-75,11.25,1975-01-20
