Year,Bangladesh,Brazil,China,Congo DR,Egypt,France,Germany,India,Indonesia,Japan,Korea,Mexico,Nigeria,Pakistan,Philippines,Russia,Thailand,Turkey,UK,US
1980.0,,,,,,90177,32115,,,,,,,,,,,,41093,296861
1981.0,,,,,,58546,27755,,,,,,,,,,,,60064,226992
1982.0,,,,,,35123,29125,,,,,,,,,,,,68113,238366
1983.0,,,,,,23462,31337,,,,,,,,,,,-17384.0,78594,261495
1984.0,,,,,,21474,40715,,,,,,,,,,,-16651.0,88688,140140
1985.0,,,,,,35433,51455,,,,,,,,,,,-20708.0,100389,104281
1986.0,,,,,,48744,94864,,,,,,,,,,,-24934.0,144672,109231
1987.0,,,,,,107202,166702,,,,,,,,,,,-29522.0,91209,59617
1988.0,,,,,,91554,207217,,,,,,,,,,,-30623.0,86285,21478
1989.0,,,,,,24531,266985,,,,,,,,,,,-30523.0,81492,-33713
1990.0,,,,,,-23216,334268,,,,,,,,,,,-36759.0,-27053,-149523
1991.0,,,,,,-60477,310551,,,,,,,,,,,-35419.0,-7577,-243315
1992.0,,,,,,-47637,261679,,,,,,,,,,,-37335.0,16700,-432128
1993.0,,,,,,-63409,203812,,,,,,,,,17891.0,,-46316.0,43837,-121808
1994.0,,,,,,-26574,193582,,,,-37245.0,,,,,14862.0,,-45996.0,35244,-110311
1995.0,,,,,,-36867,127360,,,,-46129.0,,,,,13153.0,-53976.0,-46786.0,-23048,-277567
1996.0,,,,,,42240,87795,-83413.0,,891025.0,-63529.0,,,,,6877.0,-62859.0,-50289.0,-96952,-328306
1997.0,,,,,,153839,84203,-82081.0,,958733.0,-75538.0,,,,,612.0,-74382.0,-56305.0,-93187,-788225
1998.0,,,,,,131245,6972,-80294.0,,1153635.0,-68896.0,,,,,-4370.0,-63812.0,-62718.0,-196765,-1033775
1999.0,-12087.0,,,,,12531,64031,-78028.0,,829119.0,-91691.0,,,,,4305.0,-46807.0,-72436.0,-260523,-1002236
2000.0,-15379.0,,,,,29709,31629,-76841.0,,1157933.0,-42269.0,,,,,70133.0,-58993.0,-96782.0,-132716,-1536249
2001.0,-15790.0,-262275.0,,,,108875,125344,-70874.0,-114293.0,1360082.0,-57708.0,-220599.0,,,-37232.0,50507.0,-50809.0,-82929.0,-121468,-2294467
2002.0,-17695.0,-227590.0,,,,114577,-75,-60795.0,-98946.0,1462160.0,-61082.0,-200174.0,,,-37877.0,43338.0,-44634.0,-83441.0,-1709,-2410364
2003.0,-18102.0,-267762.0,,,,-57404,21080,-47254.0,-106317.0,1613625.0,-63018.0,-212243.0,,-26840.0,-41614.0,10030.0,-54579.0,-103314.0,-32364,-2292395
2004.0,-18524.0,-282137.0,240419.0,,-20760.0,-71723,138922,-44304.0,-117129.0,1784482.0,-60215.0,-236625.0,,-28066.0,-40211.0,-4797.0,-50966.0,-124377.0,-218151,-2362767
2005.0,-19683.0,-299735.0,356829.0,,-16275.0,-34070,356520,-60174.0,-125197.0,1531754.0,-143871.0,-256445.0,-22389.0,-29430.0,-39898.0,-31866.0,-53835.0,-170260.0,-204555,-1857865
2006.0,-19828.0,-350436.0,518259.0,,-11014.0,-107530,423929,-60707.0,-137216.0,1808167.0,-156707.0,-313616.0,5293.0,-35718.0,-46173.0,-14838.0,-55153.0,-203054.0,-332062,-1807818
2007.0,-19733.0,-496021.0,952001.0,,-8579.0,-239171,429060,-75842.0,-169546.0,2194949.0,-188934.0,-319618.0,8539.0,-51041.0,-47260.0,-148642.0,-55069.0,-309701.0,-401846,-1278830
2008.0,-21836.0,-243658.0,1392197.0,,-27238.0,-368196,594007,-88582.0,-148123.0,2489372.0,-70256.0,-292164.0,14530.0,-70451.0,-31558.0,250250.0,-13417.0,-191978.0,154770,-3994624
2009.0,-19138.0,-559110.0,1293397.0,,-29738.0,-394677,763506,-131893.0,-213724.0,2916476.0,-100684.0,-323001.0,-7891.0,-55933.0,-29140.0,102912.0,-4517.0,-270142.0,-419179,-2626940
2010.0,-21070.0,-906164.0,1478292.0,,-43449.0,-226538,720533,-211498.0,-291062.0,3150373.0,-132652.0,-409147.0,-15236.0,-59162.0,-29312.0,18409.0,-41873.0,-363519.0,-204448,-2511072
2011.0,-22153.0,-820352.0,1534790.0,,-52611.0,-200851,648468,-226581.0,-318273.0,3419240.0,-82183.0,-373553.0,-24561.0,-59820.0,-23054.0,149450.0,-41047.0,-316034.0,-232880,-4454617
2012.0,-19422.0,-794826.0,1678075.0,,-69315.0,-353302,800674,-301166.0,-361224.0,3458136.0,-97686.0,-514695.0,-32503.0,-63762.0,-40637.0,142331.0,-81072.0,-425062.0,-697637,-4569528
2013.0,-18864.0,-723915.0,1818365.0,-17244.0,-82288.0,-483370,956879,-323170.0,-371433.0,3093319.0,-40383.0,-571647.0,-52590.0,-70996.0,-35957.0,185483.0,-69644.0,-391309.0,-453145,-5443587
2014.0,-22399.0,-705914.0,1610312.0,-16826.0,-85376.0,-407578,1031699,-361538.0,-383973.0,2910483.0,80879.0,-536811.0,-84542.0,-76343.0,-40897.0,313248.0,-97279.0,-436185.0,-567126,-7021188
2015.0,-20974.0,-374685.0,1698871.0,-17923.0,-101463.0,-309406,1138773,-368442.0,-376834.0,2715205.0,204454.0,-501315.0,-106528.0,-76703.0,-28202.0,339169.0,-42817.0,-369547.0,-460280,-7590470
2016.0,-21474.0,-566634.0,1984890.0,-19251.0,-123711.0,-306291,1294547,-367345.0,-333782.0,2879243.0,281138.0,-460143.0,-63634.0,-89981.0,-27993.0,219666.0,-33115.0,-345530.0,196047,-8258387
