Date,New York,Las Vegas,seriesCodes
1978-01-01,83.4,45.84,NYSTHPI
1978-04-01,87.53,46.86,ATNHPIUS29820Q
1978-07-01,84.02,50.8,
1978-10-01,83.97,53.52,
1979-01-01,96.64,54.99,
1979-04-01,95.92,57.35,
1979-07-01,94.74,61.51,
1979-10-01,98.17,59.02,
1980-01-01,100.0,61.34,
1980-04-01,107.18,60.73,
1980-07-01,114.95,68.0,
1980-10-01,111.26,68.02,
1981-01-01,112.13,61.03,
1981-04-01,108.36,77.22,
1981-07-01,115.72,76.55,
1981-10-01,114.38,68.08,
1982-01-01,123.33,73.79,
1982-04-01,125.18,77.41,
1982-07-01,122.4,78.86,
1982-10-01,126.45,85.47,
1983-01-01,128.72,76.53,
1983-04-01,132.77,75.48,
1983-07-01,138.25,72.11,
1983-10-01,147.16,69.6,
1984-01-01,150.69,74.88,
1984-04-01,156.64,75.41,
1984-07-01,162.17,71.34,
1984-10-01,169.19,67.87,
1985-01-01,176.23,74.87,
1985-04-01,184.56,71.96,
1985-07-01,191.05,72.47,
1985-10-01,198.57,74.54,
1986-01-01,206.47,75.05,
1986-04-01,217.16,77.04,
1986-07-01,227.03,76.92,
1986-10-01,237.21,75.85,
1987-01-01,246.64,78.18,
1987-04-01,255.26,76.88,
1987-07-01,266.94,76.97,
1987-10-01,270.87,76.05,
1988-01-01,277.2,76.99,
1988-04-01,280.71,77.9,
1988-07-01,282.76,78.79,
1988-10-01,283.61,80.32,
1989-01-01,283.38,80.22,
1989-04-01,282.88,82.02,
1989-07-01,285.9,84.3,
1989-10-01,286.55,85.61,
1990-01-01,286.51,87.53,
1990-04-01,283.3,89.29,
1990-07-01,281.67,91.78,
1990-10-01,278.72,92.62,
1991-01-01,278.31,94.38,
1991-04-01,280.12,95.39,
1991-07-01,279.25,95.45,
1991-10-01,281.52,98.13,
1992-01-01,286.8,98.36,
1992-04-01,282.83,97.92,
1992-07-01,285.96,99.54,
1992-10-01,288.0,99.6,
1993-01-01,282.66,99.4,
1993-04-01,289.34,100.37,
1993-07-01,288.43,100.39,
1993-10-01,289.57,100.68,
1994-01-01,286.23,100.37,
1994-04-01,282.4,99.84,
1994-07-01,280.92,99.74,
1994-10-01,275.69,99.35,
1995-01-01,274.36,100.0,
1995-04-01,279.11,102.19,
1995-07-01,283.76,103.54,
1995-10-01,282.88,104.31,
1996-01-01,287.64,105.52,
1996-04-01,285.93,104.73,
1996-07-01,283.85,104.54,
1996-10-01,283.58,105.7,
1997-01-01,283.68,106.09,
1997-04-01,287.04,106.16,
1997-07-01,289.52,107.58,
1997-10-01,292.44,108.85,
1998-01-01,298.99,110.35,
1998-04-01,301.25,110.48,
1998-07-01,303.58,110.97,
1998-10-01,307.67,111.91,
1999-01-01,310.0,112.29,
1999-04-01,315.75,112.24,
1999-07-01,324.7,113.09,
1999-10-01,330.84,113.22,
2000-01-01,335.6,114.6,
2000-04-01,345.65,116.08,
2000-07-01,355.77,117.43,
2000-10-01,361.18,119.3,
2001-01-01,369.35,121.9,
2001-04-01,377.54,123.68,
2001-07-01,387.91,125.8,
2001-10-01,394.75,127.45,
2002-01-01,404.42,129.05,
2002-04-01,417.22,130.87,
2002-07-01,429.85,133.57,
2002-10-01,439.14,134.5,
2003-01-01,448.97,136.72,
2003-04-01,459.87,139.31,
2003-07-01,466.92,143.17,
2003-10-01,488.83,152.49,
2004-01-01,499.16,162.1,
2004-04-01,513.8,179.96,
2004-07-01,538.85,206.48,
2004-10-01,552.47,212.85,
2005-01-01,567.14,219.34,
2005-04-01,585.9,228.91,
2005-07-01,605.1,235.27,
2005-10-01,618.77,245.08,
2006-01-01,629.8,252.29,
2006-04-01,631.74,254.49,
2006-07-01,631.07,255.95,
2006-10-01,639.16,257.28,
2007-01-01,642.3,255.09,
2007-04-01,640.13,251.05,
2007-07-01,630.95,243.43,
2007-10-01,632.91,235.87,
2008-01-01,636.22,218.62,
2008-04-01,624.24,195.58,
2008-07-01,608.03,168.96,
2008-10-01,602.29,152.29,
2009-01-01,609.45,150.75,
2009-04-01,596.36,140.12,
2009-07-01,582.19,127.95,
2009-10-01,577.02,122.1,
2010-01-01,573.31,120.58,
2010-04-01,569.7,119.26,
2010-07-01,577.78,118.45,
2010-10-01,577.58,115.09,
2011-01-01,568.9,108.83,
2011-04-01,560.86,102.8,
2011-07-01,558.29,101.54,
2011-10-01,562.65,101.31,
2012-01-01,558.39,100.16,
2012-04-01,552.63,100.76,
2012-07-01,554.5,103.88,
2012-10-01,556.27,107.02,
2013-01-01,557.01,111.33,
2013-04-01,558.51,119.52,
2013-07-01,561.3,127.79,
2013-10-01,560.34,135.49,
2014-01-01,560.77,140.05,
2014-04-01,566.52,144.05,
2014-07-01,574.72,149.56,
2014-10-01,578.01,151.16,
2015-01-01,583.41,154.33,
2015-04-01,588.22,157.73,
2015-07-01,593.17,161.12,
2015-10-01,594.03,165.16,
2016-01-01,597.16,166.14,
2016-04-01,606.76,170.34,
2016-07-01,615.1,174.0,
2016-10-01,620.53,176.56,
2017-01-01,622.27,179.48,
2017-04-01,632.25,185.92,
2017-07-01,644.67,192.84,
2017-10-01,650.8,199.3,
2018-01-01,657.8,206.66,
2018-04-01,665.83,216.07,
2018-07-01,676.74,223.81,
2018-10-01,676.99,227.21,
2019-01-01,682.79,230.01,
2019-04-01,693.7,232.71,
2019-07-01,703.85,232.69,
2019-10-01,711.34,235.25,
2020-01-01,718.02,238.01,
2020-04-01,723.79,240.69,
2020-07-01,735.5,243.57,
2020-10-01,751.67,248.35,
2021-01-01,769.55,255.65,
2021-04-01,796.82,271.18,
2021-07-01,837.65,293.43,
2021-10-01,856.67,308.58,
2022-01-01,878.38,322.7,
2022-04-01,931.03,347.96,
2022-07-01,951.57,352.86,
