year,riskFreeRate,discountFactor,bond1,bond2,bond3,PV_b1,PV_b2,PV_b3,cycles,wages,asset1,asset2
0,0.01,1.0,5,8.0,2.0,5.0,8.0,2.0,0.0,10.0,5.0,5.0
1,0.01,0.99009901,5,7.8,2.2,4.95049505,7.722772277,2.178217822,-0.991778853,9.008221147,4.008221147,5.991778853
2,0.01,0.980296049,5,7.6,2.4,4.901480247,7.450249975,2.352710519,0.253823363,10.25382336,5.253823363,4.746176637
3,0.01,0.970590148,5,7.4,2.6,4.85295074,7.182367095,2.523534385,0.926818505,10.92681851,5.926818505,4.073181495
4,0.01,0.960980344,5,7.2,2.8,4.804901722,6.91905848,2.690744965,-0.491021594,9.508978406,4.508978406,5.491021594
5,0.01,0.951465688,5,7.0,3.0,4.757328438,6.660259813,2.854397063,-0.801152636,9.198847364,4.198847364,5.801152636
6,0.01,0.942045235,5,6.8,3.2,4.710226176,6.4059076,3.014544753,0.696058488,10.69605849,5.696058488,4.303941512
7,0.01,0.932718055,5,6.6,3.4,4.663590274,6.155939161,3.171241386,0.623012211,10.62301221,5.623012211,4.376987789
8,0.01,0.923483222,5,6.4,3.6,4.617416112,5.910292624,3.324539601,-0.855504371,9.144495629,4.144495629,5.855504371
9,0.01,0.914339824,5,6.2,3.8,4.571699121,5.66890691,3.474491332,-0.404065219,9.595934781,4.595934781,5.404065219
10,0.01,0.905286955,5,6.0,4.0,4.526434773,5.431721728,3.621147819,0.958915723,10.95891572,5.958915723,4.041084277
11,0.01,0.896323718,5,5.8,4.2,4.481618588,5.198677562,3.764559614,0.158652431,10.15865243,5.158652431,4.841347569
12,0.01,0.887449225,5,5.6,4.4,4.437246126,4.969715661,3.904776591,-0.999519224,9.000480776,4.000480776,5.999519224
13,0.01,0.878662599,5,5.4,4.6,4.393312996,4.744778036,4.041847957,0.097151904,10.0971519,5.097151904,4.902848096
14,0.01,0.86996297,5,5.2,4.8,4.349814848,4.523807442,4.175822254,0.974655392,10.97465539,5.974655392,4.025344608
15,0.01,0.861349475,5,5.0,5.0,4.306747374,4.306747374,4.306747374,-0.346592904,9.653407096,4.653407096,5.346592904
16,0.01,0.852821262,5,4.8,5.2,4.264106311,4.093542059,4.434670563,-0.885952778,9.114047222,4.114047222,5.885952778
17,0.01,0.844377487,5,4.6,5.4,4.221887437,3.884136442,4.559638432,0.573332477,10.57333248,5.573332477,4.426667523
18,0.01,0.836017314,5,4.4,5.6,4.180086571,3.678476182,4.681696959,0.7392213,10.7392213,5.7392213,4.2607787
19,0.01,0.827739915,5,4.2,5.8,4.138699575,3.476507643,4.800891507,-0.762519447,9.237480553,4.237480553,5.762519447
20,0.01,0.81954447,5,4.0,6.0,4.097722352,3.278177881,4.917266822,-0.544071696,9.455928304,4.455928304,5.544071696
21,0.01,0.811430169,5,3.8,6.2,4.057150843,3.083434641,5.030867046,0.901762291,10.90176229,5.901762291,4.098237709
