Country,ISO3,Year,"GDP, PPP (constant 2017 $)",Employment (000s),Output per worker ($),Continent
Australia,AUS,1990,529123000000.0,7858.817,67328.58138826747,Oceania
Austria,AUT,1990,287878000000.0,3412.0,84372.21570926144,Europe
Belgium,BEL,1990,353911000000.0,3726.0,94984.16532474504,Europe
Canada,CAN,1990,,13086.39,,America
Chile,CHL,1990,129450000000.0,4450.042,29089.61308679783,America
Czech Republic,CZE,1990,243714000000.0,4995.0,48791.59159159159,Europe
Germany,DEU,1990,2915150000000.0,37217.9,78326.55791971067,Europe
Denmark,DNK,1990,200640000000.0,2655.9,75545.01298994692,Europe
Spain,ESP,1990,1069960000000.0,12869.6,83138.55908497545,Europe
Estonia,EST,1990,,824.7,,Europe
Finland,FIN,1990,164250000000.0,2493.0,65884.47653429603,Europe
France,FRA,1990,1964410000000.0,23064.46,85170.4310441259,Europe
United Kingdom,GBR,1990,1805470000000.0,26818.0,67323.06659706167,Europe
Greece,GRC,1990,247403000000.0,3713.21,66627.79643489057,Europe
Ireland,IRL,1990,93845088542.0,1150.6,81561.87079958283,Europe
Iceland,ISL,1990,,126.0,,Europe
Italy,ITA,1990,2075110000000.0,21215.0,97813.33961819467,Europe
Japan,JPN,1990,4055810000000.0,62495.0,64898.15185214817,Asia
South Korea,KOR,1990,542571000000.0,18084.75,30001.575913407705,Asia
Luxembourg,LUX,1990,27058203782.0,133.5914,202544.50347851732,Europe
Mexico,MEX,1990,1254870000000.0,23403.41,53619.109352013234,America
Netherlands,NLD,1990,545153000000.0,6274.5,86883.89513108614,Europe
Norway,NOR,1990,178721000000.0,1992.0,89719.37751004015,Europe
New Zealand,NZL,1990,93340944104.0,1534.65,60822.30091812465,Oceania
Portugal,PRT,1990,235173000000.0,4658.0,50487.97767282096,Europe
Sweden,SWE,1990,292343000000.0,4485.0,65182.38573021182,Europe
United States,USA,1990,10098800000000.0,118793.3,85011.52842795006,America
Australia,AUS,1991,527096000000.0,7670.535,68716.979975973,Oceania
Austria,AUT,1991,297785000000.0,3471.0,85792.27888216652,Europe
Belgium,BEL,1991,360398000000.0,3735.0,96492.10174029451,Europe
Canada,CAN,1991,,12857.36,,America
Chile,CHL,1991,139553000000.0,4518.02,30888.0881448068,America
Czech Republic,CZE,1991,215407000000.0,4817.0,44718.0817936475,Europe
Germany,DEU,1991,3064060000000.0,36870.75,83102.7304841914,Europe
Denmark,DNK,1991,203437000000.0,2635.1,77202.76270350271,Europe
Spain,ESP,1991,1097200000000.0,12970.4,84592.61086782212,Europe
Estonia,EST,1991,,805.3,,Europe
Finland,FIN,1991,154582000000.0,2365.0,65362.36786469345,Europe
France,FRA,1991,1985000000000.0,23089.35,85970.37162154846,Europe
United Kingdom,GBR,1991,1785550000000.0,26058.0,68522.14291196561,Europe
Greece,GRC,1991,255073000000.0,3628.272,70301.5099198737,Europe
Ireland,IRL,1991,95655960252.0,1146.8,83411.19659225672,Europe
Iceland,ISL,1991,,136.9,,Europe
Italy,ITA,1991,2107040000000.0,21410.0,98413.82531527324,Europe
Japan,JPN,1991,4198710000000.0,63687.5,65926.75171736997,Asia
South Korea,KOR,1991,601049000000.0,18648.75,32229.988605134396,Asia
Luxembourg,LUX,1991,29397165793.0,139.2163,211161.8093068125,Europe
Mexico,MEX,1991,1307760000000.0,29225.52,44747.193548652,America
Netherlands,NLD,1991,558450000000.0,6420.3,86981.91673286296,Europe
Norway,NOR,1991,184234000000.0,1973.0,93377.5975671566,Europe
New Zealand,NZL,1991,92323071134.0,1509.175,61174.529881557806,Oceania
Portugal,PRT,1991,245446000000.0,4568.0,53731.61120840631,Europe
Sweden,SWE,1991,288992000000.0,4396.0,65739.76342129208,Europe
United States,USA,1991,10087900000000.0,117718.3,85695.25723698015,America
Australia,AUS,1992,529355000000.0,7634.416,69337.98210629339,Oceania
Austria,AUT,1992,304019000000.0,3543.0,85808.3545018346,Europe
Belgium,BEL,1992,365915000000.0,3723.7,98266.50911727584,Europe
Canada,CAN,1992,,12730.92,,America
Chile,CHL,1992,155136000000.0,4723.765,32841.59986790198,America
Czech Republic,CZE,1992,214316000000.0,4677.0,45823.391062647,Europe
Germany,DEU,1992,3122990000000.0,36389.75,85820.59508515448,Europe
Denmark,DNK,1992,207418000000.0,2636.6,78668.74004399606,Europe
Spain,ESP,1992,1107390000000.0,12730.6,86986.47353620411,Europe
Estonia,EST,1992,,760.2,,Europe
Finland,FIN,1992,149489000000.0,2196.0,68073.31511839709,Europe
France,FRA,1992,2016750000000.0,22984.29,87744.71606475553,Europe
United Kingdom,GBR,1992,1792710000000.0,25435.0,70482.01297424808,Europe
Greece,GRC,1992,256858000000.0,3680.039,69797.62986207483,Europe
Hungary,HUN,1992,165210000000.0,4026.0,41035.76751117735,Europe
Ireland,IRL,1992,98854001182.0,1155.0,85587.8798112554,Europe
Iceland,ISL,1992,,136.9,,Europe
Italy,ITA,1992,2124610000000.0,21270.0,99887.63516690176,Europe
Japan,JPN,1992,4236520000000.0,64361.67,65823.6493863506,Asia
South Korea,KOR,1992,638306000000.0,19009.33,33578.56378946549,Asia
Luxembourg,LUX,1992,29932092042.0,142.863,209516.05413578043,Europe
Mexico,MEX,1992,1354070000000.0,30259.0,44749.33077761988,America
Netherlands,NLD,1992,567978000000.0,6613.8,85877.71024222081,Europe
Norway,NOR,1992,190820000000.0,1970.0,96862.94416243654,Europe
New Zealand,NZL,1992,93333484317.0,1513.875,61652.04149417885,Oceania
Portugal,PRT,1992,248120000000.0,4498.1,55161.06800649163,Europe
Sweden,SWE,1992,285644000000.0,4209.0,67865.05108101686,Europe
United States,USA,1992,10443200000000.0,118492.0,88134.2200317321,America
Australia,AUS,1993,550781000000.0,7653.395,71965.57867456207,Oceania
Austria,AUT,1993,305621000000.0,3566.0,85704.15030846887,Europe
Belgium,BEL,1993,362395000000.0,3698.0,97997.56625202812,Europe
Canada,CAN,1993,,12792.75,,America
Chile,CHL,1993,165358000000.0,4992.285,33122.70833896703,America
Czech Republic,CZE,1993,214448000000.0,4802.551,44652.93549199165,Europe
Germany,DEU,1993,3092480000000.0,35988.5,85929.67197854871,Europe
Denmark,DNK,1993,207440000000.0,2566.9,80813.43254509331,Europe
Spain,ESP,1993,1095970000000.0,12197.3,89853.4921662991,Europe
Estonia,EST,1993,,697.5,,Europe
Finland,FIN,1993,148499000000.0,2061.0,72051.91654536633,Europe
France,FRA,1993,2004070000000.0,22683.2,88350.40911335261,Europe
United Kingdom,GBR,1993,1837350000000.0,25088.0,73236.20854591837,Europe
Greece,GRC,1993,252748000000.0,3715.363,68027.80778082788,Europe
