Year,Congo,Greece,US
0,100.0,100.0,100.0
1,91.5789485,99.66482766,88.14415242
2,81.96315106,95.37850886,74.01870768
3,70.92349283,90.15346646,56.92834462
4,68.15747887,81.00350732,54.66352959
5,68.63458043,75.26303437,63.8892077
6,67.93233018,73.36941852,71.00596809
7,64.11653954,73.71843387,81.13355522
8,63.07518817,73.57388114,88.95041891
9,60.3817888,73.21544884,83.54565974
10,56.20884726,74.01507072,89.36550748
11,55.02836422,75.24995935,98.41520334
12,56.65047118,76.66792578,123.6743946
13,59.8103338,69.76471228,158.7206856
14,63.84057774,75.64896497,194.2346685
15,67.75729368,,214.6667814
16,71.36264544,,218.0716554
17,75.82957436,,217.6202227
18,80.55064348,,238.7390489
19,82.85041591,,262.5081296
20,88.73940407,,260.6019741
21,94.83994605,,286.7621179
22,101.5611572,,
23,110.1755305,,
24,120.6094707,,
25,128.9510232,,
