speed,x,pred
5,0,428.6927431694554
5,1,433.04031434767455
5,2,437.2393207495454
5,3,441.2935585574367
5,4,445.20682395371705
5,5,448.9829131207556
5,6,452.6256222409209
5,7,456.13874749658174
5,8,459.526085070107
5,9,462.7914311438654
5,10,465.93858190022576
5,11,468.9713335215568
5,12,471.89348219022736
5,13,474.7088240886063
5,14,477.42115539906223
5,15,480.0342723039641
5,16,482.5519709856806
5,17,484.97804762658046
5,18,487.31629840903264
5,19,489.57051951540575
5,20,491.7445071280688
5,21,493.8420574293904
5,22,495.8669666017392
5,23,497.8230308274843
5,24,499.7140462889943
5,25,501.5438091686379
5,26,503.31611564878415
5,27,505.0347619118017
5,28,506.7035441400593
5,29,508.3262585159256
5,30,509.9067012217697
5,31,511.4486684399603
5,32,512.9559563528659
5,33,514.4323611428557
5,34,515.8816789922982
5,35,517.3077060835622
5,36,518.7142385990167
5,37,520.1050727210303
5,38,521.4840046319717
5,39,522.85483051421
5,40,524.2213465501137
5,41,525.5873489220517
5,42,526.9566338123927
5,43,528.3329974035056
5,44,529.7202358777591
5,45,531.1221454175221
5,46,532.5425222051633
5,47,533.9851624230514
5,48,535.4538622535554
5,49,536.9524178790439
5,50,538.4846254818856
5,51,540.0542812444497
5,52,541.6651813491046
5,53,543.3211219782193
5,54,545.0258993141623
5,55,546.7833095393026
5,56,548.5971488360092
5,57,550.4712133866503
5,58,552.4092993735952
5,59,554.4152029792126
5,60,556.4927203858709
5,61,558.6456477759396
5,62,560.8777813317868
5,63,563.1929172357816
5,64,565.5948516702927
5,65,568.087380817689
5,66,570.6743008603391
5,67,573.359407980612
5,68,576.1464983608764
5,69,579.039368183501
5,70,582.0418136308547
5,71,585.1576308853063
5,72,588.3906161292242
5,73,591.7445655449778
5,74,595.2232753149356
5,75,598.8305416214662
5,76,602.5701606469387
5,77,606.4459285737217
5,78,610.4616415841841
5,79,614.6210958606945
5,80,618.9280875856218
5,81,623.3864129413349
5,82,627.9998681102023
5,83,632.7722492745932
5,84,637.7073526168759
5,85,642.8089743194196
5,86,648.0809105645928
5,87,653.5269575347645
5,88,659.1509114123032
5,89,664.956568379578
5,90,670.9477246189576
5,91,677.1281763128106
5,92,683.501719643506
5,93,690.0721507934126
5,94,696.8432659448989
5,95,703.818861280334
5,96,711.0027329820865
5,97,718.3986772325253
5,98,726.0104902140191
5,99,733.8419681089368
5,100,741.896907099647
6,0,458.6827028580453
6,1,463.7795721756913
6,2,468.69247174378125
6,3,473.426083572863
6,4,477.98508967348414
6,5,482.37417205619255
6,6,486.598012731536
6,7,490.6612937100621
6,8,494.5686970023189
6,9,498.3249046188539
6,10,501.9345985702149
6,11,505.4024608669498
6,12,508.7331735196064
6,13,511.93141853873215
6,14,515.0018779348752
6,15,517.949233718583
6,16,520.7781679004036
6,17,523.4933624908844
6,18,526.0994995005734
6,19,528.6012609400184
6,20,531.0033288197671
6,21,533.3103851503672
6,22,535.5271119423667
6,23,537.6581912063131
6,24,539.7083049527544
6,25,541.6821351922378
6,26,543.5843639353119
6,27,545.4196731925238
6,28,547.1927449744217
6,29,548.9082612915529
6,30,550.5709041544658
6,31,552.1853555737075
6,32,553.7562975598263
6,33,555.2884121233694
6,34,556.7863812748853
6,35,558.2548870249212
6,36,559.698611384025
6,37,561.1222363627445
6,38,562.5304439716275
6,39,563.9279162212216
6,40,565.3193351220748
6,41,566.7093826847347
6,42,568.1027409197491
6,43,569.5040918376657
6,44,570.9181174490325
6,45,572.3494997643969
6,46,573.802920794307
6,47,575.2830625493103
6,48,576.7946070399549
6,49,578.3422362767882
6,50,579.9306322703583
6,51,581.5644770312125
6,52,583.2484525698991
6,53,584.9872408969653
6,54,586.7855240229596
6,55,588.647983958429
6,56,590.5793027139218
6,57,592.5841622999855
6,58,594.6672447271679
6,59,596.8332320060168
6,60,599.0868061470801
6,61,601.4326491609052
6,62,603.8754430580402
6,63,606.4198698490327
6,64,609.0706115444307
6,65,611.8323501547815
6,66,614.7097676906334
6,67,617.7075461625337
6,68,620.8303675810305
6,69,624.0829139566713
