Year,Category,OutlayRevenue
1962,Revenues,17.0
1963,Revenues,17.2
1964,Revenues,17.0
1965,Revenues,16.5
1966,Revenues,16.8
1967,Revenues,17.8
1968,Revenues,17.0
1969,Revenues,19.1
1970,Revenues,18.4
1971,Revenues,16.8
1972,Revenues,17.0
1973,Revenues,17.1
1974,Revenues,17.8
1975,Revenues,17.4
1976,Revenues,16.7
1977,Revenues,17.6
1978,Revenues,17.6
1979,Revenues,18.1
1980,Revenues,18.5
1981,Revenues,19.1
1982,Revenues,18.6
1983,Revenues,17.0
1984,Revenues,16.9
1985,Revenues,17.2
1986,Revenues,17.0
1987,Revenues,17.9
1988,Revenues,17.7
1989,Revenues,17.8
1990,Revenues,17.5
1991,Revenues,17.3
1992,Revenues,17.0
1993,Revenues,17.0
1994,Revenues,17.5
1995,Revenues,17.9
1996,Revenues,18.3
1997,Revenues,18.7
1998,Revenues,19.3
1999,Revenues,19.3
2000,Revenues,20.0
2001,Revenues,18.9
2002,Revenues,17.1
2003,Revenues,15.8
2004,Revenues,15.6
2005,Revenues,16.8
2006,Revenues,17.7
2007,Revenues,18.0
2008,Revenues,17.1
2009,Revenues,14.6
2010,Revenues,14.5
2011,Revenues,14.9
2012,Revenues,15.2
2013,Revenues,16.7
2014,Revenues,17.4
2015,Revenues,18.0
2016,Revenues,17.6
2017,Revenues,17.2
2018,Revenues,16.4
2019,Revenues,16.4
2020,Revenues,16.2
2021,Revenues,17.9
2022,Revenues,19.6
1962,Outlays,18.2
1963,Outlays,18.0
1964,Outlays,17.9
1965,Outlays,16.7
1966,Outlays,17.2
1967,Outlays,18.8
1968,Outlays,19.8
1969,Outlays,18.7
1970,Outlays,18.7
1971,Outlays,18.8
1972,Outlays,19.0
1973,Outlays,18.2
1974,Outlays,18.2
1975,Outlays,20.7
1976,Outlays,20.8
1977,Outlays,20.2
1978,Outlays,20.2
1979,Outlays,19.6
1980,Outlays,21.2
1981,Outlays,21.6
1982,Outlays,22.5
1983,Outlays,22.9
1984,Outlays,21.6
1985,Outlays,22.2
1986,Outlays,21.9
1987,Outlays,21.1
1988,Outlays,20.7
1989,Outlays,20.6
1990,Outlays,21.2
1991,Outlays,21.7
1992,Outlays,21.5
1993,Outlays,20.8
1994,Outlays,20.4
1995,Outlays,20.0
1996,Outlays,19.6
1997,Outlays,18.9
1998,Outlays,18.5
1999,Outlays,18.0
2000,Outlays,17.7
2001,Outlays,17.7
2002,Outlays,18.6
2003,Outlays,19.2
2004,Outlays,19.1
2005,Outlays,19.3
2006,Outlays,19.5
2007,Outlays,19.1
2008,Outlays,20.2
2009,Outlays,24.3
2010,Outlays,23.2
2011,Outlays,23.3
2012,Outlays,21.9
2013,Outlays,20.7
2014,Outlays,20.2
2015,Outlays,20.4
2016,Outlays,20.8
2017,Outlays,20.7
2018,Outlays,20.2
2019,Outlays,21.0
2020,Outlays,31.1
2021,Outlays,30.1
2022,Outlays,25.1
