date,label,month,quarter,sourceDataset,updateDate,value,year
1989 JAN,1989 JAN,January,,MM23,2019-04-16T23:00:00.000Z,10.0,1989
1989 FEB,1989 FEB,February,,MM23,2019-04-16T23:00:00.000Z,10.5,1989
1989 MAR,1989 MAR,March,,MM23,2019-04-16T23:00:00.000Z,10.2,1989
1989 APR,1989 APR,April,,MM23,2019-04-16T23:00:00.000Z,11.0,1989
1989 MAY,1989 MAY,May,,MM23,2019-04-16T23:00:00.000Z,10.6,1989
1989 JUN,1989 JUN,June,,MM23,2019-04-16T23:00:00.000Z,9.9,1989
1989 JUL,1989 JUL,July,,MM23,2019-04-16T23:00:00.000Z,10.1,1989
1989 AUG,1989 AUG,August,,MM23,2019-04-16T23:00:00.000Z,9.4,1989
1989 SEP,1989 SEP,September,,MM23,2019-04-16T23:00:00.000Z,8.4,1989
1989 OCT,1989 OCT,October,,MM23,2019-04-16T23:00:00.000Z,8.2,1989
1989 NOV,1989 NOV,November,,MM23,2019-04-16T23:00:00.000Z,8.3,1989
1989 DEC,1989 DEC,December,,MM23,2019-04-16T23:00:00.000Z,8.0,1989
1990 JAN,1990 JAN,January,,MM23,2019-04-16T23:00:00.000Z,6.8,1990
1990 FEB,1990 FEB,February,,MM23,2019-04-16T23:00:00.000Z,6.2,1990
1990 MAR,1990 MAR,March,,MM23,2019-04-16T23:00:00.000Z,6.3,1990
1990 APR,1990 APR,April,,MM23,2019-04-16T23:00:00.000Z,5.0,1990
1990 MAY,1990 MAY,May,,MM23,2019-04-16T23:00:00.000Z,6.0,1990
1990 JUN,1990 JUN,June,,MM23,2019-04-16T23:00:00.000Z,7.6,1990
1990 JUL,1990 JUL,July,,MM23,2019-04-16T23:00:00.000Z,7.3,1990
1990 AUG,1990 AUG,August,,MM23,2019-04-16T23:00:00.000Z,7.4,1990
1990 SEP,1990 SEP,September,,MM23,2019-04-16T23:00:00.000Z,8.2,1990
1990 OCT,1990 OCT,October,,MM23,2019-04-16T23:00:00.000Z,8.5,1990
1990 NOV,1990 NOV,November,,MM23,2019-04-16T23:00:00.000Z,7.6,1990
1990 DEC,1990 DEC,December,,MM23,2019-04-16T23:00:00.000Z,7.5,1990
1991 JAN,1991 JAN,January,,MM23,2019-04-16T23:00:00.000Z,7.9,1991
1991 FEB,1991 FEB,February,,MM23,2019-04-16T23:00:00.000Z,7.2,1991
1991 MAR,1991 MAR,March,,MM23,2019-04-16T23:00:00.000Z,7.5,1991
1991 APR,1991 APR,April,,MM23,2019-04-16T23:00:00.000Z,10.1,1991
1991 MAY,1991 MAY,May,,MM23,2019-04-16T23:00:00.000Z,9.7,1991
1991 JUN,1991 JUN,June,,MM23,2019-04-16T23:00:00.000Z,8.4,1991
1991 JUL,1991 JUL,July,,MM23,2019-04-16T23:00:00.000Z,8.2,1991
1991 AUG,1991 AUG,August,,MM23,2019-04-16T23:00:00.000Z,8.1,1991
1991 SEP,1991 SEP,September,,MM23,2019-04-16T23:00:00.000Z,9.5,1991
1991 OCT,1991 OCT,October,,MM23,2019-04-16T23:00:00.000Z,9.7,1991
1991 NOV,1991 NOV,November,,MM23,2019-04-16T23:00:00.000Z,9.8,1991
1991 DEC,1991 DEC,December,,MM23,2019-04-16T23:00:00.000Z,9.4,1991
1992 JAN,1992 JAN,January,,MM23,2019-04-16T23:00:00.000Z,9.0,1992
1992 FEB,1992 FEB,February,,MM23,2019-04-16T23:00:00.000Z,9.2,1992
1992 MAR,1992 MAR,March,,MM23,2019-04-16T23:00:00.000Z,9.0,1992
1992 APR,1992 APR,April,,MM23,2019-04-16T23:00:00.000Z,7.1,1992
1992 MAY,1992 MAY,May,,MM23,2019-04-16T23:00:00.000Z,6.5,1992
1992 JUN,1992 JUN,June,,MM23,2019-04-16T23:00:00.000Z,6.5,1992
1992 JUL,1992 JUL,July,,MM23,2019-04-16T23:00:00.000Z,6.7,1992
1992 AUG,1992 AUG,August,,MM23,2019-04-16T23:00:00.000Z,6.3,1992
1992 SEP,1992 SEP,September,,MM23,2019-04-16T23:00:00.000Z,4.2,1992
1992 OCT,1992 OCT,October,,MM23,2019-04-16T23:00:00.000Z,3.5,1992
1992 NOV,1992 NOV,November,,MM23,2019-04-16T23:00:00.000Z,3.7,1992
1992 DEC,1992 DEC,December,,MM23,2019-04-16T23:00:00.000Z,3.6,1992
1993 JAN,1993 JAN,January,,MM23,2019-04-16T23:00:00.000Z,3.6,1993
1993 FEB,1993 FEB,February,,MM23,2019-04-16T23:00:00.000Z,4.2,1993
1993 MAR,1993 MAR,March,,MM23,2019-04-16T23:00:00.000Z,4.7,1993
1993 APR,1993 APR,April,,MM23,2019-04-16T23:00:00.000Z,4.7,1993
1993 MAY,1993 MAY,May,,MM23,2019-04-16T23:00:00.000Z,4.1,1993
1993 JUN,1993 JUN,June,,MM23,2019-04-16T23:00:00.000Z,4.2,1993
1993 JUL,1993 JUL,July,,MM23,2019-04-16T23:00:00.000Z,4.3,1993
1993 AUG,1993 AUG,August,,MM23,2019-04-16T23:00:00.000Z,5.3,1993
1993 SEP,1993 SEP,September,,MM23,2019-04-16T23:00:00.000Z,5.5,1993
1993 OCT,1993 OCT,October,,MM23,2019-04-16T23:00:00.000Z,5.7,1993
1993 NOV,1993 NOV,November,,MM23,2019-04-16T23:00:00.000Z,5.2,1993
1993 DEC,1993 DEC,December,,MM23,2019-04-16T23:00:00.000Z,5.3,1993
1994 JAN,1994 JAN,January,,MM23,2019-04-16T23:00:00.000Z,5.2,1994
1994 FEB,1994 FEB,February,,MM23,2019-04-16T23:00:00.000Z,5.2,1994
1994 MAR,1994 MAR,March,,MM23,2019-04-16T23:00:00.000Z,4.8,1994
1994 APR,1994 APR,April,,MM23,2019-04-16T23:00:00.000Z,4.3,1994
1994 MAY,1994 MAY,May,,MM23,2019-04-16T23:00:00.000Z,5.1,1994
1994 JUN,1994 JUN,June,,MM23,2019-04-16T23:00:00.000Z,5.0,1994
1994 JUL,1994 JUL,July,,MM23,2019-04-16T23:00:00.000Z,4.8,1994
1994 AUG,1994 AUG,August,,MM23,2019-04-16T23:00:00.000Z,4.2,1994
1994 SEP,1994 SEP,September,,MM23,2019-04-16T23:00:00.000Z,3.8,1994
1994 OCT,1994 OCT,October,,MM23,2019-04-16T23:00:00.000Z,3.0,1994
1994 NOV,1994 NOV,November,,MM23,2019-04-16T23:00:00.000Z,2.6,1994
1994 DEC,1994 DEC,December,,MM23,2019-04-16T23:00:00.000Z,3.6,1994
1995 JAN,1995 JAN,January,,MM23,2019-04-16T23:00:00.000Z,3.7,1995
1995 FEB,1995 FEB,February,,MM23,2019-04-16T23:00:00.000Z,3.2,1995
1995 MAR,1995 MAR,March,,MM23,2019-04-16T23:00:00.000Z,2.9,1995
1995 APR,1995 APR,April,,MM23,2019-04-16T23:00:00.000Z,3.5,1995
1995 MAY,1995 MAY,May,,MM23,2019-04-16T23:00:00.000Z,3.2,1995
1995 JUN,1995 JUN,June,,MM23,2019-04-16T23:00:00.000Z,3.2,1995
1995 JUL,1995 JUL,July,,MM23,2019-04-16T23:00:00.000Z,3.1,1995
1995 AUG,1995 AUG,August,,MM23,2019-04-16T23:00:00.000Z,3.3,1995
1995 SEP,1995 SEP,September,,MM23,2019-04-16T23:00:00.000Z,2.3,1995
1995 OCT,1995 OCT,October,,MM23,2019-04-16T23:00:00.000Z,3.1,1995
1995 NOV,1995 NOV,November,,MM23,2019-04-16T23:00:00.000Z,3.4,1995
1995 DEC,1995 DEC,December,,MM23,2019-04-16T23:00:00.000Z,3.1,1995
1996 JAN,1996 JAN,January,,MM23,2019-04-16T23:00:00.000Z,2.8,1996
1996 FEB,1996 FEB,February,,MM23,2019-04-16T23:00:00.000Z,2.9,1996
1996 MAR,1996 MAR,March,,MM23,2019-04-16T23:00:00.000Z,3.0,1996
