Unnamed: 0,Series ID,Year,Value,LOCATION,dum
13,All,1961,0.596,USA,All
14,All,1962,0.588,USA,All
15,All,1963,0.586,USA,All
16,All,1964,0.586,USA,All
17,All,1965,0.586,USA,All
18,All,1966,0.59,USA,All
19,All,1967,0.595,USA,All
20,All,1968,0.5920000000000001,USA,All
21,All,1969,0.596,USA,All
22,All,1970,0.604,USA,All
23,All,1971,0.604,USA,All
24,All,1972,0.602,USA,All
25,All,1973,0.6,USA,All
26,All,1974,0.613,USA,All
27,All,1975,0.614,USA,All
28,All,1976,0.613,USA,All
29,All,1977,0.616,USA,All
30,All,1978,0.628,USA,All
31,All,1979,0.636,USA,All
32,All,1980,0.64,USA,All
33,All,1981,0.639,USA,All
34,All,1982,0.637,USA,All
35,All,1983,0.639,USA,All
36,All,1984,0.639,USA,All
37,All,1985,0.647,USA,All
38,All,1986,0.649,USA,All
39,All,1987,0.654,USA,All
40,All,1988,0.6579999999999999,USA,All
41,All,1989,0.665,USA,All
42,All,1990,0.6679999999999999,USA,All
43,All,1991,0.662,USA,All
44,All,1992,0.6629999999999999,USA,All
45,All,1993,0.662,USA,All
46,All,1994,0.6659999999999999,USA,All
47,All,1995,0.6679999999999999,USA,All
48,All,1996,0.664,USA,All
49,All,1997,0.67,USA,All
50,All,1998,0.6709999999999999,USA,All
51,All,1999,0.672,USA,All
52,All,2000,0.6729999999999999,USA,All
53,All,2001,0.672,USA,All
54,All,2002,0.665,USA,All
55,All,2003,0.664,USA,All
56,All,2004,0.6609999999999999,USA,All
57,All,2005,0.6579999999999999,USA,All
58,All,2006,0.66,USA,All
59,All,2007,0.664,USA,All
60,All,2008,0.662,USA,All
61,All,2009,0.657,USA,All
62,All,2010,0.648,USA,All
63,All,2011,0.642,USA,All
64,All,2012,0.637,USA,All
65,All,2013,0.637,USA,All
66,All,2014,0.629,USA,All
67,All,2015,0.629,USA,All
68,All,2016,0.627,USA,All
69,All,2017,0.628,USA,All
70,All,2018,0.627,USA,All
71,All,2019,0.631,USA,All
72,All,2020,0.633,USA,All
73,All,2021,0.613,USA,All
74,All,2022,0.622,USA,All
75,All,2023,0.624,USA,All
89,Men,1961,0.8340000000000001,USA,Gender
90,Men,1962,0.8220000000000001,USA,Gender
91,Men,1963,0.8140000000000001,USA,Gender
92,Men,1964,0.81,USA,Gender
93,Men,1965,0.807,USA,Gender
94,Men,1966,0.805,USA,Gender
95,Men,1967,0.805,USA,Gender
96,Men,1968,0.7979999999999999,USA,Gender
97,Men,1969,0.7979999999999999,USA,Gender
98,Men,1970,0.799,USA,Gender
99,Men,1971,0.794,USA,Gender
100,Men,1972,0.7879999999999999,USA,Gender
101,Men,1973,0.784,USA,Gender
102,Men,1974,0.795,USA,Gender
103,Men,1975,0.7829999999999999,USA,Gender
104,Men,1976,0.774,USA,Gender
105,Men,1977,0.773,USA,Gender
106,Men,1978,0.779,USA,Gender
107,Men,1979,0.782,USA,Gender
108,Men,1980,0.778,USA,Gender
109,Men,1981,0.773,USA,Gender
110,Men,1982,0.7659999999999999,USA,Gender
111,Men,1983,0.7609999999999999,USA,Gender
112,Men,1984,0.7609999999999999,USA,Gender
113,Men,1985,0.763,USA,Gender
114,Men,1986,0.762,USA,Gender
115,Men,1987,0.763,USA,Gender
116,Men,1988,0.762,USA,Gender
