Unnamed: 0,Week,Trend,Value
0,07/01/2018,Housing Crash,6
1,07/01/2018,Housing Bubble,0
2,07/01/2018,Property Market Crash,53
3,14/01/2018,Housing Crash,6
4,14/01/2018,Housing Bubble,34
5,14/01/2018,Property Market Crash,0
6,21/01/2018,Housing Crash,0
7,21/01/2018,Housing Bubble,0
8,21/01/2018,Property Market Crash,64
9,28/01/2018,Housing Crash,0
10,28/01/2018,Housing Bubble,30
11,28/01/2018,Property Market Crash,0
12,04/02/2018,Housing Crash,3
13,04/02/2018,Housing Bubble,39
14,04/02/2018,Property Market Crash,32
15,11/02/2018,Housing Crash,5
16,11/02/2018,Housing Bubble,27
17,11/02/2018,Property Market Crash,0
18,18/02/2018,Housing Crash,6
19,18/02/2018,Housing Bubble,33
20,18/02/2018,Property Market Crash,0
21,25/02/2018,Housing Crash,10
22,25/02/2018,Housing Bubble,0
23,25/02/2018,Property Market Crash,0
24,04/03/2018,Housing Crash,2
25,04/03/2018,Housing Bubble,37
26,04/03/2018,Property Market Crash,0
27,11/03/2018,Housing Crash,2
28,11/03/2018,Housing Bubble,0
29,11/03/2018,Property Market Crash,0
30,18/03/2018,Housing Crash,4
31,18/03/2018,Housing Bubble,31
32,18/03/2018,Property Market Crash,0
33,25/03/2018,Housing Crash,3
34,25/03/2018,Housing Bubble,0
35,25/03/2018,Property Market Crash,0
36,01/04/2018,Housing Crash,0
37,01/04/2018,Housing Bubble,0
38,01/04/2018,Property Market Crash,31
39,08/04/2018,Housing Crash,7
40,08/04/2018,Housing Bubble,0
41,08/04/2018,Property Market Crash,46
42,15/04/2018,Housing Crash,6
43,15/04/2018,Housing Bubble,37
44,15/04/2018,Property Market Crash,33
45,22/04/2018,Housing Crash,5
46,22/04/2018,Housing Bubble,51
47,22/04/2018,Property Market Crash,0
48,29/04/2018,Housing Crash,3
49,29/04/2018,Housing Bubble,0
50,29/04/2018,Property Market Crash,43
51,06/05/2018,Housing Crash,6
52,06/05/2018,Housing Bubble,29
53,06/05/2018,Property Market Crash,0
54,13/05/2018,Housing Crash,9
55,13/05/2018,Housing Bubble,72
56,13/05/2018,Property Market Crash,0
57,20/05/2018,Housing Crash,8
58,20/05/2018,Housing Bubble,31
59,20/05/2018,Property Market Crash,35
60,27/05/2018,Housing Crash,3
61,27/05/2018,Housing Bubble,21
62,27/05/2018,Property Market Crash,0
63,03/06/2018,Housing Crash,0
64,03/06/2018,Housing Bubble,0
65,03/06/2018,Property Market Crash,0
66,10/06/2018,Housing Crash,6
67,10/06/2018,Housing Bubble,0
68,10/06/2018,Property Market Crash,0
69,17/06/2018,Housing Crash,3
70,17/06/2018,Housing Bubble,0
71,17/06/2018,Property Market Crash,19
72,24/06/2018,Housing Crash,2
73,24/06/2018,Housing Bubble,0
74,24/06/2018,Property Market Crash,0
75,01/07/2018,Housing Crash,3
76,01/07/2018,Housing Bubble,43
77,01/07/2018,Property Market Crash,59
78,08/07/2018,Housing Crash,6
79,08/07/2018,Housing Bubble,79
80,08/07/2018,Property Market Crash,0
81,15/07/2018,Housing Crash,6
82,15/07/2018,Housing Bubble,26
83,15/07/2018,Property Market Crash,0
84,22/07/2018,Housing Crash,9
85,22/07/2018,Housing Bubble,0
86,22/07/2018,Property Market Crash,0
87,29/07/2018,Housing Crash,0
88,29/07/2018,Housing Bubble,17
89,29/07/2018,Property Market Crash,0
90,05/08/2018,Housing Crash,3
91,05/08/2018,Housing Bubble,0
92,05/08/2018,Property Market Crash,33
93,12/08/2018,Housing Crash,9
94,12/08/2018,Housing Bubble,43
95,12/08/2018,Property Market Crash,0
96,19/08/2018,Housing Crash,8
97,19/08/2018,Housing Bubble,0
98,19/08/2018,Property Market Crash,55
99,26/08/2018,Housing Crash,7
100,26/08/2018,Housing Bubble,35
101,26/08/2018,Property Market Crash,84
102,02/09/2018,Housing Crash,7
103,02/09/2018,Housing Bubble,35
104,02/09/2018,Property Market Crash,23
105,09/09/2018,Housing Crash,9
106,09/09/2018,Housing Bubble,29
107,09/09/2018,Property Market Crash,0
108,16/09/2018,Housing Crash,13
109,16/09/2018,Housing Bubble,21
110,16/09/2018,Property Market Crash,0
111,23/09/2018,Housing Crash,7
112,23/09/2018,Housing Bubble,0
113,23/09/2018,Property Market Crash,0
114,30/09/2018,Housing Crash,2
115,30/09/2018,Housing Bubble,0
116,30/09/2018,Property Market Crash,26
117,07/10/2018,Housing Crash,4
118,07/10/2018,Housing Bubble,0
119,07/10/2018,Property Market Crash,43
120,14/10/2018,Housing Crash,4
121,14/10/2018,Housing Bubble,0
122,14/10/2018,Property Market Crash,0
123,21/10/2018,Housing Crash,0
124,21/10/2018,Housing Bubble,0
125,21/10/2018,Property Market Crash,0
126,28/10/2018,Housing Crash,5
127,28/10/2018,Housing Bubble,22
128,28/10/2018,Property Market Crash,0
129,04/11/2018,Housing Crash,0
130,04/11/2018,Housing Bubble,0
131,04/11/2018,Property Market Crash,0
132,11/11/2018,Housing Crash,10
133,11/11/2018,Housing Bubble,17
134,11/11/2018,Property Market Crash,19
135,18/11/2018,Housing Crash,3
136,18/11/2018,Housing Bubble,0
137,18/11/2018,Property Market Crash,0
138,25/11/2018,Housing Crash,4
139,25/11/2018,Housing Bubble,19
140,25/11/2018,Property Market Crash,30
141,02/12/2018,Housing Crash,5
142,02/12/2018,Housing Bubble,0
143,02/12/2018,Property Market Crash,0
144,09/12/2018,Housing Crash,5
145,09/12/2018,Housing Bubble,0
146,09/12/2018,Property Market Crash,0
147,16/12/2018,Housing Crash,7
148,16/12/2018,Housing Bubble,0
149,16/12/2018,Property Market Crash,27
150,23/12/2018,Housing Crash,0
151,23/12/2018,Housing Bubble,0
152,23/12/2018,Property Market Crash,0
153,30/12/2018,Housing Crash,4
154,30/12/2018,Housing Bubble,19
155,30/12/2018,Property Market Crash,0
156,06/01/2019,Housing Crash,5
157,06/01/2019,Housing Bubble,0
158,06/01/2019,Property Market Crash,31
159,13/01/2019,Housing Crash,4
160,13/01/2019,Housing Bubble,0
161,13/01/2019,Property Market Crash,0
162,20/01/2019,Housing Crash,8
163,20/01/2019,Housing Bubble,20
164,20/01/2019,Property Market Crash,0
165,27/01/2019,Housing Crash,4
166,27/01/2019,Housing Bubble,0
167,27/01/2019,Property Market Crash,0
168,03/02/2019,Housing Crash,3
169,03/02/2019,Housing Bubble,79
170,03/02/2019,Property Market Crash,17
171,10/02/2019,Housing Crash,0
172,10/02/2019,Housing Bubble,45
173,10/02/2019,Property Market Crash,0
174,17/02/2019,Housing Crash,0
175,17/02/2019,Housing Bubble,20
176,17/02/2019,Property Market Crash,0
177,24/02/2019,Housing Crash,7
178,24/02/2019,Housing Bubble,18
179,24/02/2019,Property Market Crash,0
180,03/03/2019,Housing Crash,0
181,03/03/2019,Housing Bubble,0
182,03/03/2019,Property Market Crash,39
183,10/03/2019,Housing Crash,10
184,10/03/2019,Housing Bubble,100
185,10/03/2019,Property Market Crash,0
186,17/03/2019,Housing Crash,3
187,17/03/2019,Housing Bubble,0
188,17/03/2019,Property Market Crash,24
189,24/03/2019,Housing Crash,0
190,24/03/2019,Housing Bubble,0
191,24/03/2019,Property Market Crash,22
192,31/03/2019,Housing Crash,0
193,31/03/2019,Housing Bubble,0
194,31/03/2019,Property Market Crash,0
195,07/04/2019,Housing Crash,4
196,07/04/2019,Housing Bubble,0
197,07/04/2019,Property Market Crash,0
198,14/04/2019,Housing Crash,3
199,14/04/2019,Housing Bubble,0
200,14/04/2019,Property Market Crash,0
201,21/04/2019,Housing Crash,0
202,21/04/2019,Housing Bubble,0
203,21/04/2019,Property Market Crash,28
204,28/04/2019,Housing Crash,3
205,28/04/2019,Housing Bubble,17
206,28/04/2019,Property Market Crash,0
207,05/05/2019,Housing Crash,3
208,05/05/2019,Housing Bubble,26
209,05/05/2019,Property Market Crash,60
210,12/05/2019,Housing Crash,3
211,12/05/2019,Housing Bubble,0
212,12/05/2019,Property Market Crash,35
213,19/05/2019,Housing Crash,5
214,19/05/2019,Housing Bubble,0
215,19/05/2019,Property Market Crash,0
216,26/05/2019,Housing Crash,5
217,26/05/2019,Housing Bubble,0
218,26/05/2019,Property Market Crash,21
219,02/06/2019,Housing Crash,7
220,02/06/2019,Housing Bubble,21
221,02/06/2019,Property Market Crash,27
222,09/06/2019,Housing Crash,2
223,09/06/2019,Housing Bubble,18
224,09/06/2019,Property Market Crash,0
225,16/06/2019,Housing Crash,3
226,16/06/2019,Housing Bubble,0
227,16/06/2019,Property Market Crash,0
228,23/06/2019,Housing Crash,4
229,23/06/2019,Housing Bubble,0
230,23/06/2019,Property Market Crash,0
231,30/06/2019,Housing Crash,3
232,30/06/2019,Housing Bubble,0
233,30/06/2019,Property Market Crash,18
234,07/07/2019,Housing Crash,0
235,07/07/2019,Housing Bubble,0
236,07/07/2019,Property Market Crash,0
237,14/07/2019,Housing Crash,4
238,14/07/2019,Housing Bubble,0
239,14/07/2019,Property Market Crash,26
240,21/07/2019,Housing Crash,3
241,21/07/2019,Housing Bubble,0
242,21/07/2019,Property Market Crash,0
243,28/07/2019,Housing Crash,4
244,28/07/2019,Housing Bubble,25
245,28/07/2019,Property Market Crash,28
246,04/08/2019,Housing Crash,2
247,04/08/2019,Housing Bubble,0
248,04/08/2019,Property Market Crash,25
249,11/08/2019,Housing Crash,7
250,11/08/2019,Housing Bubble,19
251,11/08/2019,Property Market Crash,27
252,18/08/2019,Housing Crash,7
253,18/08/2019,Housing Bubble,54
254,18/08/2019,Property Market Crash,92
255,25/08/2019,Housing Crash,10
256,25/08/2019,Housing Bubble,21
257,25/08/2019,Property Market Crash,36
258,01/09/2019,Housing Crash,0
259,01/09/2019,Housing Bubble,61
260,01/09/2019,Property Market Crash,0
261,08/09/2019,Housing Crash,6
262,08/09/2019,Housing Bubble,0
263,08/09/2019,Property Market Crash,0
264,15/09/2019,Housing Crash,5
265,15/09/2019,Housing Bubble,34
266,15/09/2019,Property Market Crash,0
267,22/09/2019,Housing Crash,0
268,22/09/2019,Housing Bubble,43
269,22/09/2019,Property Market Crash,0
270,29/09/2019,Housing Crash,5
271,29/09/2019,Housing Bubble,40
272,29/09/2019,Property Market Crash,0
273,06/10/2019,Housing Crash,2
274,06/10/2019,Housing Bubble,28
275,06/10/2019,Property Market Crash,0
276,13/10/2019,Housing Crash,0
277,13/10/2019,Housing Bubble,18
278,13/10/2019,Property Market Crash,0
279,20/10/2019,Housing Crash,2
280,20/10/2019,Housing Bubble,47
281,20/10/2019,Property Market Crash,0
282,27/10/2019,Housing Crash,7
283,27/10/2019,Housing Bubble,30
284,27/10/2019,Property Market Crash,0
285,03/11/2019,Housing Crash,2
286,03/11/2019,Housing Bubble,18
287,03/11/2019,Property Market Crash,0
288,10/11/2019,Housing Crash,3
289,10/11/2019,Housing Bubble,0
290,10/11/2019,Property Market Crash,18
291,17/11/2019,Housing Crash,2
292,17/11/2019,Housing Bubble,0
293,17/11/2019,Property Market Crash,0
294,24/11/2019,Housing Crash,3
295,24/11/2019,Housing Bubble,0
296,24/11/2019,Property Market Crash,14
297,01/12/2019,Housing Crash,2
298,01/12/2019,Housing Bubble,0
299,01/12/2019,Property Market Crash,0
300,08/12/2019,Housing Crash,0
301,08/12/2019,Housing Bubble,0
302,08/12/2019,Property Market Crash,21
303,15/12/2019,Housing Crash,6
304,15/12/2019,Housing Bubble,41
305,15/12/2019,Property Market Crash,0
306,22/12/2019,Housing Crash,0
307,22/12/2019,Housing Bubble,0
308,22/12/2019,Property Market Crash,0
309,29/12/2019,Housing Crash,8
310,29/12/2019,Housing Bubble,17
311,29/12/2019,Property Market Crash,31
312,05/01/2020,Housing Crash,3
313,05/01/2020,Housing Bubble,0
314,05/01/2020,Property Market Crash,0
315,12/01/2020,Housing Crash,0
316,12/01/2020,Housing Bubble,38
317,12/01/2020,Property Market Crash,0
318,19/01/2020,Housing Crash,2
319,19/01/2020,Housing Bubble,34
320,19/01/2020,Property Market Crash,0
321,26/01/2020,Housing Crash,6
322,26/01/2020,Housing Bubble,0
323,26/01/2020,Property Market Crash,0
324,02/02/2020,Housing Crash,6
325,02/02/2020,Housing Bubble,0
326,02/02/2020,Property Market Crash,0
327,09/02/2020,Housing Crash,5
328,09/02/2020,Housing Bubble,0
329,09/02/2020,Property Market Crash,0
