Country,Year,Average Price,Sales
Scotland,2005,93982,138979
Scotland,2006,109380,150360
Scotland,2007,126699,149684
Scotland,2008,138388,94698
Scotland,2009,124484,69022
Scotland,2010,128973,72217
Scotland,2011,129746,69023
Scotland,2012,125728,72489
Scotland,2013,122594,84318
Scotland,2014,127007,94102
Scotland,2015,134956,98538
Scotland,2016,136790,98670
Scotland,2017,138356,103109
Scotland,2018,146889,100499
Scotland,2019,149769,102856
Scotland,2020,153518,88928
Scotland,2021,164940,113892
Scotland,2022,183910,56844
Northern Ireland,2005,111920,28974
Northern Ireland,2006,131302,41076
Northern Ireland,2007,198950,29055
Northern Ireland,2008,198362,10818
Northern Ireland,2009,140190,11640
Northern Ireland,2010,135701,10719
Northern Ireland,2011,119024,11304
Northern Ireland,2012,104712,13626
Northern Ireland,2013,97428,16575
Northern Ireland,2014,103570,21255
Northern Ireland,2015,110940,21900
Northern Ireland,2016,118851,22992
Northern Ireland,2017,124786,24603
Northern Ireland,2018,130292,24990
Northern Ireland,2019,135434,24897
Northern Ireland,2020,140722,21150
Northern Ireland,2021,149084,30711
Northern Ireland,2022,163877,14062
England,2005,158572,997832
England,2006,166544,1249080
England,2007,181824,1198182
England,2008,191750,607588
England,2009,162673,588813
England,2010,174458,626502
England,2011,174442,625327
England,2012,174179,634536
England,2013,176816,760067
England,2014,188265,901214
England,2015,202856,895083
England,2016,220361,889661
England,2017,231593,876469
England,2018,241061,844931
England,2019,244641,815294
England,2020,247898,686165
England,2021,266588,936844
England,2022,291492,359467
Wales,2005,123815,47159
Wales,2006,129914,59059
Wales,2007,139760,57166
Wales,2008,146364,30576
Wales,2009,125021,28557
Wales,2010,127733,30473
Wales,2011,127771,30285
Wales,2012,127097,30380
Wales,2013,127584,36612
Wales,2014,131603,43613
Wales,2015,136148,44417
Wales,2016,140015,46361
Wales,2017,146395,49047
Wales,2018,153128,48452
Wales,2019,158548,46881
Wales,2020,163205,35789
Wales,2021,181118,49815
Wales,2022,206152,20933
