Year,Bracket,StampDuty
1997,100k,1.0
1998,100k,1.0
1999,100k,1.0
2000,100k,1.0
2001,100k,1.0
2002,100k,1.0
2003,100k,1.0
2004,100k,1.0
2005,100k,0.0
2006,100k,0.0
2007,100k,0.0
2008,100k,0.0
2009,100k,0.0
2010,100k,0.0
2011,100k,0.0
2012,100k,0.0
2013,100k,0.0
2014,100k,0.0
2015,100k,0.0
2016,100k,0.0
2017,100k,0.0
2018,100k,0.0
2019,100k,0.0
2020,100k,0.0
2021,100k,0.0
2022,100k,0.0
1997,200k,1.0
1998,200k,1.0
1999,200k,1.0
2000,200k,1.0
2001,200k,1.0
2002,200k,1.0
2003,200k,1.0
2004,200k,1.0
2005,200k,1.0
2006,200k,1.0
2007,200k,1.0
2008,200k,1.0
2009,200k,1.0
2010,200k,1.0
2011,200k,1.0
2012,200k,1.0
2013,200k,2.0
2014,200k,2.0
2015,200k,2.0
2016,200k,2.0
2017,200k,2.0
2018,200k,2.0
2019,200k,2.0
2020,200k,0.0
2021,200k,2.0
2022,200k,0.0
1997,300k,1.5
1998,300k,2.0
1999,300k,2.5
2000,300k,3.0
2001,300k,3.0
2002,300k,3.0
2003,300k,3.0
2004,300k,3.0
2005,300k,3.0
2006,300k,3.0
2007,300k,3.0
2008,300k,3.0
2009,300k,3.0
2010,300k,3.0
2011,300k,3.0
2012,300k,3.0
2013,300k,5.0
2014,300k,5.0
2015,300k,5.0
2016,300k,5.0
2017,300k,5.0
2018,300k,5.0
2019,300k,5.0
2020,300k,5.0
2021,300k,5.0
2022,300k,5.0
1997,500k,2.0
1998,500k,2.0
1999,500k,2.5
2000,500k,3.0
2001,500k,3.0
2002,500k,3.0
2003,500k,3.0
2004,500k,3.0
2005,500k,3.0
2006,500k,3.0
2007,500k,3.0
2008,500k,3.0
2009,500k,3.0
2010,500k,3.0
2011,500k,3.0
2012,500k,4.0
2013,500k,5.0
2014,500k,5.0
2015,500k,5.0
2016,500k,5.0
2017,500k,5.0
2018,500k,5.0
2019,500k,5.0
2020,500k,5.0
2021,500k,5.0
2022,500k,5.0
1997,1m,2.0
1998,1m,3.0
1999,1m,3.5
2000,1m,4.0
2001,1m,4.0
2002,1m,4.0
2003,1m,4.0
2004,1m,4.0
2005,1m,4.0
2006,1m,4.0
2007,1m,4.0
2008,1m,4.0
2009,1m,4.0
2010,1m,4.0
2011,1m,4.0
2012,1m,5.0
2013,1m,10.0
2014,1m,10.0
2015,1m,10.0
2016,1m,10.0
2017,1m,10.0
2018,1m,10.0
2019,1m,10.0
2020,1m,10.0
2021,1m,10.0
2022,1m,10.0
1997,2m,2.0
1998,2m,3.0
1999,2m,3.5
2000,2m,4.0
2001,2m,4.0
2002,2m,4.0
2003,2m,4.0
2004,2m,4.0
2005,2m,4.0
2006,2m,4.0
2007,2m,4.0
2008,2m,4.0
2009,2m,4.0
2010,2m,4.0
2011,2m,5.0
2012,2m,7.0
2013,2m,12.0
2014,2m,12.0
2015,2m,12.0
2016,2m,12.0
2017,2m,12.0
2018,2m,12.0
2019,2m,12.0
2020,2m,12.0
2021,2m,12.0
2022,2m,12.0
