Country Name,Year,Urban Population
United Arab Emirates,1960,67926
United Arab Emirates,1961,74979
United Arab Emirates,1962,84362
United Arab Emirates,1963,95215
United Arab Emirates,1964,106186
United Arab Emirates,1965,116472
United Arab Emirates,1966,125596
United Arab Emirates,1967,134578
United Arab Emirates,1968,145731
United Arab Emirates,1969,162076
United Arab Emirates,1970,187141
United Arab Emirates,1971,221415
United Arab Emirates,1972,264112
United Arab Emirates,1973,314911
United Arab Emirates,1974,373031
United Arab Emirates,1975,437539
United Arab Emirates,1976,509722
United Arab Emirates,1977,589057
United Arab Emirates,1978,670980
United Arab Emirates,1979,750154
United Arab Emirates,1980,822844
United Arab Emirates,1981,884771
United Arab Emirates,1982,937281
United Arab Emirates,1983,985800
United Arab Emirates,1984,1035512
United Arab Emirates,1985,1090254
United Arab Emirates,1986,1151670
United Arab Emirates,1987,1218877
United Arab Emirates,1988,1290899
United Arab Emirates,1989,1366666
United Arab Emirates,1990,1445398
United Arab Emirates,1991,1528535
United Arab Emirates,1992,1616858
United Arab Emirates,1993,1708388
United Arab Emirates,1994,1800329
United Arab Emirates,1995,1891481
United Arab Emirates,1996,1993032
United Arab Emirates,1997,2108719
United Arab Emirates,1998,2233073
United Arab Emirates,1999,2367188
United Arab Emirates,2000,2514650
United Arab Emirates,2001,2663810
United Arab Emirates,2002,2820134
United Arab Emirates,2003,3024184
United Arab Emirates,2004,3330985
United Arab Emirates,2005,3774363
United Arab Emirates,2006,4380486
United Arab Emirates,2007,5121561
United Arab Emirates,2008,5911710
United Arab Emirates,2009,6630162
United Arab Emirates,2010,7189437
United Arab Emirates,2011,7553138
United Arab Emirates,2012,7747413
United Arab Emirates,2013,7824292
United Arab Emirates,2014,7866608
United Arab Emirates,2015,7935894
United Arab Emirates,2016,8047162
United Arab Emirates,2017,8182525
United Arab Emirates,2018,8332904
United Arab Emirates,2019,8479742
United Arab Emirates,2020,8609395
United Arab Emirates,2021,8722116
United States,1960,126462473
United States,1961,129276215
United States,1962,131988693
United States,1963,134615404
United States,1964,137215986
United States,1965,139663053
United States,1966,142008703
United States,1967,144288757
United States,1968,146463196
United States,1969,148629124
United States,1970,150922373
United States,1971,152865492
United States,1972,154531732
United States,1973,156034954
United States,1974,157488501
United States,1975,159070594
United States,1976,160611122
United States,1977,162256678
United States,1978,164005080
United States,1979,165847531
United States,1980,167551171
United States,1981,169552427
United States,1982,171528659
United States,1983,173459636
United States,1984,175321738
United States,1985,177239105
United States,1986,179244877
United States,1987,181215212
United States,1988,183232441
United States,1989,185333919
United States,1990,187966119
United States,1991,191509147
United States,1992,195199459
United States,1993,198806845
United States,1994,202278113
United States,1995,205718394
United States,1996,209146726
United States,1997,212694273
United States,1998,216206090
United States,1999,219721677
United States,2000,223069137
United States,2001,225792302
United States,2002,228400290
United States,2003,230876596
United States,2004,233532722
United States,2005,236200507
United States,2006,238999326
United States,2007,241795278
United States,2008,244607104
United States,2009,247276259
United States,2010,249849720
United States,2011,252208133
United States,2012,254614421
United States,2013,256953576
United States,2014,259430732
United States,2015,261950744
United States,2016,264473000
United States,2017,266788716
United States,2018,268844029
United States,2019,270737596
United States,2020,274032053
United States,2021,275050303
Argentina,1960,15076844
Argentina,1961,15449953
Argentina,1962,15815495
Argentina,1963,16183088
Argentina,1964,16552518
Argentina,1965,16923099
Argentina,1966,17295211
Argentina,1967,17669090
Argentina,1968,18048312
Argentina,1969,18436398
Argentina,1970,18836989
Argentina,1971,19242929
Argentina,1972,19659179
Argentina,1973,20084769
Argentina,1974,20514215
Argentina,1975,20943259
Argentina,1976,21370520
Argentina,1977,21797025
Argentina,1978,22227668
Argentina,1979,22668008
Argentina,1980,23122598
Argentina,1981,23609666
Argentina,1982,24118027
Argentina,1983,24636890
Argentina,1984,25163829
Argentina,1985,25695324
Argentina,1986,26230730
Argentina,1987,26769634
Argentina,1988,27309076
Argentina,1989,27844466
Argentina,1990,28373005
Argentina,1991,28887231
Argentina,1992,29352237
Argentina,1993,29809445
Argentina,1994,30260588
Argentina,1995,30705906
Argentina,1996,31145813
Argentina,1997,31579653
Argentina,1998,32009558
Argentina,1999,32438320
Argentina,2000,32867365
Argentina,2001,33297960
Argentina,2002,33728928
Argentina,2003,34159484
Argentina,2004,34588884
Argentina,2005,35015688
Argentina,2006,35439468
Argentina,2007,35861117
Argentina,2008,36284568
Argentina,2009,36714243
Argentina,2010,37055902
Argentina,2011,37543830
Argentina,2012,38027774
Argentina,2013,38509756
Argentina,2014,38990109
Argentina,2015,39467043
Argentina,2016,39940546
Argentina,2017,40410674
Argentina,2018,40877099
Argentina,2019,41339571
Argentina,2020,41796990
Argentina,2021,42248949
