Unnamed: 0,date,value,Region
1,2020,71.2284469604492,Sub-Saharan Africa
2,2019,70.5682983398438,Sub-Saharan Africa
3,2018,70.1630401611328,Sub-Saharan Africa
4,2017,69.2463531494141,Sub-Saharan Africa
5,2016,68.700798034668,Sub-Saharan Africa
6,2015,68.2527008056641,Sub-Saharan Africa
7,2014,68.0699310302734,Sub-Saharan Africa
8,2013,67.9339065551758,Sub-Saharan Africa
9,2012,67.9717330932617,Sub-Saharan Africa
10,2011,67.7666397094727,Sub-Saharan Africa
11,2010,67.9499130249023,Sub-Saharan Africa
12,2009,67.9298934936523,Sub-Saharan Africa
13,2008,65.0271987915039,Sub-Saharan Africa
14,2007,64.3262634277344,Sub-Saharan Africa
15,2006,64.5378875732422,Sub-Saharan Africa
16,2005,61.7397613525391,Sub-Saharan Africa
17,2004,59.5650596618652,Sub-Saharan Africa
18,2003,58.4016914367676,Sub-Saharan Africa
19,2002,57.2587890625,Sub-Saharan Africa
20,2001,55.9986991882324,Sub-Saharan Africa
21,2000,54.400089263916,Sub-Saharan Africa
22,1999,54.0572814941406,Sub-Saharan Africa
23,1998,53.7348403930664,Sub-Saharan Africa
24,1997,54.1199188232422,Sub-Saharan Africa
25,1996,54.1459617614746,Sub-Saharan Africa
26,1995,53.7520599365234,Sub-Saharan Africa
27,1994,53.804630279541,Sub-Saharan Africa
28,1993,54.7238006591797,Sub-Saharan Africa
29,1992,54.0814018249512,Sub-Saharan Africa
30,1991,54.5807304382324,Sub-Saharan Africa
31,1990,54.1029586791992,Sub-Saharan Africa
32,1989,53.4979782104492,Sub-Saharan Africa
33,1988,54.5994606018066,Sub-Saharan Africa
34,1987,55.3699989318848,Sub-Saharan Africa
35,1986,56.0060081481934,Sub-Saharan Africa
36,1985,56.1689910888672,Sub-Saharan Africa
37,1984,58.4516181945801,Sub-Saharan Africa
38,1983,56.522159576416,Sub-Saharan Africa
39,1982,56.1214790344238,Sub-Saharan Africa
40,1981,55.2676315307617,Sub-Saharan Africa
41,1980,54.2001991271973,Sub-Saharan Africa
42,1979,53.6570816040039,Sub-Saharan Africa
43,1978,52.0935897827148,Sub-Saharan Africa
44,1977,50.7124290466309,Sub-Saharan Africa
45,1976,49.468189239502,Sub-Saharan Africa
46,1975,48.7362403869629,Sub-Saharan Africa
47,1974,47.7706108093262,Sub-Saharan Africa
48,1973,47.2256698608398,Sub-Saharan Africa
49,1972,46.7171096801758,Sub-Saharan Africa
51,2020,99.3527526855469,Latin America & Caribbean
52,2019,98.5528793334961,Latin America & Caribbean
53,2018,98.4740982055664,Latin America & Caribbean
54,2017,98.9714736938477,Latin America & Caribbean
55,2016,99.4167709350586,Latin America & Caribbean
56,2015,99.6388320922852,Latin America & Caribbean
57,2014,100.943580627441,Latin America & Caribbean
58,2013,100.525756835938,Latin America & Caribbean
59,2012,100.721061706543,Latin America & Caribbean
60,2011,100.059959411621,Latin America & Caribbean
61,2010,99.8350219726563,Latin America & Caribbean
62,2009,99.4243927001953,Latin America & Caribbean
63,2008,99.1042861938477,Latin America & Caribbean
64,2007,99.0826568603516,Latin America & Caribbean
65,2006,98.0330200195313,Latin America & Caribbean
66,2005,96.8870010375977,Latin America & Caribbean
67,2004,96.2044982910156,Latin America & Caribbean
68,2003,98.2297134399414,Latin America & Caribbean
69,2002,99.3510818481445,Latin America & Caribbean
70,2001,97.4859390258789,Latin America & Caribbean
71,2000,97.7939910888672,Latin America & Caribbean
72,1999,96.9481506347656,Latin America & Caribbean
73,1998,96.7409210205078,Latin America & Caribbean
74,1997,95.7884979248047,Latin America & Caribbean
