Iteration,Value,Agent
0,14404.128440366972,DQN
1,7188.102893890676,DQN
2,8290.847457627118,DQN
3,8146.917808219178,DQN
4,6489.506172839506,DQN
5,6373.636363636364,DQN
6,6476.923076923077,DQN
7,7019.677419354839,DQN
8,7204.220779220779,DQN
9,7417.684887459807,DQN
10,7443.606557377049,DQN
11,8218.556701030928,DQN
12,9125.182481751825,DQN
13,9386.029411764706,DQN
14,9707.782101167315,DQN
15,10782.231404958678,DQN
16,11682.773109243697,DQN
17,13006.25,DQN
18,13811.764705882353,DQN
19,15671.727748691099,DQN
20,17654.494382022473,DQN
21,17697.752808988764,DQN
22,20714.375,DQN
23,22748.322147651008,DQN
24,22253.64238410596,DQN
25,27228.358208955226,DQN
26,30853.225806451614,DQN
27,34340.0,DQN
28,35634.82142857143,DQN
29,39097.19626168224,DQN
30,44014.583333333336,DQN
31,43058.58585858586,DQN
32,47733.333333333336,DQN
33,57208.75,DQN
34,52114.117647058825,DQN
35,59964.0,DQN
36,64538.356164383564,DQN
37,64966.19718309859,DQN
38,73184.375,DQN
39,71860.9375,DQN
40,84851.72413793103,DQN
41,72504.4776119403,DQN
42,62827.77777777778,DQN
43,72700.0,DQN
44,81200.0,DQN
45,97500.0,DQN
46,101707.8431372549,DQN
47,93409.25925925926,DQN
48,101502.0,DQN
49,125714.63414634146,DQN
50,141213.51351351352,DQN
51,111600.0,DQN
52,138867.5,DQN
53,136494.87179487178,DQN
54,109630.43478260869,DQN
55,127741.46341463414,DQN
56,124311.62790697675,DQN
57,125997.72727272728,DQN
58,168948.48484848486,DQN
59,199213.33333333334,DQN
60,166054.2857142857,DQN
61,156875.67567567568,DQN
62,185751.61290322582,DQN
63,175663.63636363635,DQN
64,212867.85714285713,DQN
65,250903.84615384616,DQN
66,469140.0,DQN
67,412262.5,DQN
68,704050.0,DQN
69,673127.2727272727,DQN
70,612691.6666666666,DQN
71,680516.6666666666,DQN
72,679883.3333333334,DQN
73,749360.0,DQN
74,696563.6363636364,DQN
75,807690.0,DQN
76,700116.6666666666,DQN
77,841050.0,DQN
78,860120.0,DQN
79,861610.0,DQN
80,780245.4545454546,DQN
81,866950.0,DQN
82,861690.0,DQN
83,791263.6363636364,DQN
84,867650.0,DQN
85,872000.0,DQN
86,875280.0,DQN
87,865450.0,DQN
88,873120.0,DQN
89,872970.0,DQN
90,795909.0909090909,DQN
91,882070.0,DQN
92,880390.0,DQN
93,879050.0,DQN
94,892180.0,DQN
95,907310.0,DQN
96,903200.0,DQN
97,901910.0,DQN
98,900050.0,DQN
99,906100.0,DQN
100,910780.0,DQN
101,907570.0,DQN
102,900870.0,DQN
103,898370.0,DQN
104,894960.0,DQN
105,906720.0,DQN
106,826663.6363636364,DQN
107,905140.0,DQN
108,912780.0,DQN
109,909790.0,DQN
110,906950.0,DQN
111,911390.0,DQN
112,912080.0,DQN
113,908740.0,DQN
114,911530.0,DQN
115,927490.0,DQN
116,930190.0,DQN
117,925290.0,DQN
118,921220.0,DQN
119,921930.0,DQN
120,913870.0,DQN
121,923950.0,DQN
122,916490.0,DQN
123,921500.0,DQN
124,916920.0,DQN
125,922610.0,DQN
126,927400.0,DQN
127,927060.0,DQN
128,929390.0,DQN
129,930200.0,DQN
130,917550.0,DQN
131,922830.0,DQN
132,927840.0,DQN
133,925470.0,DQN
134,930720.0,DQN
135,927320.0,DQN
136,914520.0,DQN
137,928540.0,DQN
138,931780.0,DQN
139,933540.0,DQN
140,931220.0,DQN
141,920450.0,DQN
142,920080.0,DQN
143,936460.0,DQN
144,931470.0,DQN
145,922380.0,DQN
146,926600.0,DQN
147,927040.0,DQN
148,917230.0,DQN
149,930280.0,DQN
150,934380.0,DQN
151,932350.0,DQN
152,927880.0,DQN
153,931960.0,DQN
154,936990.0,DQN
155,940380.0,DQN
156,945910.0,DQN
157,937310.0,DQN
158,945780.0,DQN
159,932540.0,DQN
160,934560.0,DQN
161,938300.0,DQN
162,938200.0,DQN
163,936760.0,DQN
164,940310.0,DQN
165,936270.0,DQN
166,937660.0,DQN
167,926890.0,DQN
168,927060.0,DQN
169,930890.0,DQN
170,944690.0,DQN
171,939190.0,DQN
172,943270.0,DQN
173,935610.0,DQN
174,940210.0,DQN
175,948630.0,DQN
176,932260.0,DQN
177,926710.0,DQN
178,933690.0,DQN
179,943410.0,DQN
180,927200.0,DQN
181,936750.0,DQN
182,922690.0,DQN
183,933080.0,DQN
184,936560.0,DQN
185,926980.0,DQN
186,927490.0,DQN
187,923520.0,DQN
188,941980.0,DQN
189,934210.0,DQN
190,921890.0,DQN
191,933100.0,DQN
192,925380.0,DQN
193,923990.0,DQN
194,925260.0,DQN
195,925590.0,DQN
196,924840.0,DQN
197,929440.0,DQN
198,920910.0,DQN
0,14358.986175115208,DQN
1,7136.277602523659,DQN
2,8100.335570469799,DQN
3,7492.356687898089,DQN
4,7735.666666666667,DQN
5,7891.7491749174915,DQN
6,7993.666666666667,DQN
7,8352.508361204013,DQN
8,8125.328947368421,DQN
9,7953.870967741936,DQN
10,8474.915254237289,DQN
11,8409.897610921502,DQN
12,9139.855072463768,DQN
13,8082.885906040268,DQN
14,8339.298245614034,DQN
15,9293.906810035842,DQN
16,10016.79389312977,DQN
17,9902.661596958174,DQN
18,11364.14342629482,DQN
19,13160.633484162896,DQN
20,14433.658536585366,DQN
21,16462.5,DQN
22,16895.78947368421,DQN
23,17345.604395604394,DQN
24,25015.646258503402,DQN
25,24841.25874125874,DQN
26,29141.26984126984,DQN
27,33115.38461538462,DQN
28,36892.72727272727,DQN
29,36549.07407407407,DQN
30,42063.26530612245,DQN
31,42747.95918367347,DQN
32,49225.0,DQN
33,65716.17647058824,DQN
34,84753.57142857143,DQN
35,103752.17391304347,DQN
36,74604.76190476191,DQN
37,97320.40816326531,DQN
38,100179.16666666667,DQN
39,100940.8163265306,DQN
40,88109.09090909091,DQN
41,97269.38775510204,DQN
42,108968.88888888889,DQN
43,112531.11111111111,DQN
44,151454.2857142857,DQN
45,137117.94871794872,DQN
46,149891.66666666666,DQN
47,144502.63157894736,DQN
48,160771.42857142858,DQN
49,216232.14285714287,DQN
50,192853.125,DQN
51,349466.6666666667,DQN
52,789550.0,DQN
53,881440.0,DQN
54,888610.0,DQN
55,818627.2727272727,DQN
56,907230.0,DQN
57,918640.0,DQN
58,932640.0,DQN
59,914520.0,DQN
60,845590.9090909091,DQN
61,927630.0,DQN
62,936610.0,DQN
63,928660.0,DQN
64,926920.0,DQN
65,937540.0,DQN
66,934500.0,DQN
67,924470.0,DQN
68,927370.0,DQN
69,937000.0,DQN
70,934190.0,DQN
71,922770.0,DQN
72,928350.0,DQN
73,934480.0,DQN
74,926390.0,DQN
75,937420.0,DQN
76,928490.0,DQN
77,935100.0,DQN
78,935600.0,DQN
79,928560.0,DQN
80,928840.0,DQN
81,929180.0,DQN
82,931170.0,DQN
83,933330.0,DQN
84,932810.0,DQN
85,939120.0,DQN
86,945630.0,DQN
87,945520.0,DQN
88,942390.0,DQN
89,949970.0,DQN
90,945000.0,DQN
91,941990.0,DQN
92,949240.0,DQN
93,939990.0,DQN
94,940900.0,DQN
95,952820.0,DQN
96,936510.0,DQN
97,937000.0,DQN
98,933270.0,DQN
99,938610.0,DQN
100,937390.0,DQN
101,940660.0,DQN
102,936380.0,DQN
103,927820.0,DQN
104,938230.0,DQN
105,937710.0,DQN
106,929360.0,DQN
107,931760.0,DQN
108,925490.0,DQN
109,929030.0,DQN
110,933810.0,DQN
111,940630.0,DQN
112,928900.0,DQN
113,925580.0,DQN
114,923760.0,DQN
115,929050.0,DQN
116,917770.0,DQN
117,933870.0,DQN
118,923660.0,DQN
119,918230.0,DQN
120,911690.0,DQN
121,922220.0,DQN
122,913270.0,DQN
123,919360.0,DQN
124,917630.0,DQN
125,923700.0,DQN
126,923090.0,DQN
127,917070.0,DQN
128,929340.0,DQN
129,912230.0,DQN
130,921280.0,DQN
131,919730.0,DQN
132,907850.0,DQN
133,920070.0,DQN
134,926550.0,DQN
135,921010.0,DQN
136,914560.0,DQN
137,921400.0,DQN
138,922750.0,DQN
139,913980.0,DQN
140,921570.0,DQN
141,916960.0,DQN
142,913750.0,DQN
143,914250.0,DQN
144,916960.0,DQN
145,916630.0,DQN
146,919810.0,DQN
147,914090.0,DQN
148,916170.0,DQN
149,911410.0,DQN
150,906020.0,DQN
151,912320.0,DQN
152,911590.0,DQN
153,914020.0,DQN
154,911260.0,DQN
155,909080.0,DQN
156,908690.0,DQN
157,898900.0,DQN
158,897480.0,DQN
159,910600.0,DQN
160,901450.0,DQN
161,900230.0,DQN
162,887820.0,DQN
163,888810.0,DQN
164,877040.0,DQN
165,851330.0,DQN
166,834300.0,DQN
167,847480.0,DQN
168,843150.0,DQN
169,841570.0,DQN
170,853590.0,DQN
171,864730.0,DQN
172,846200.0,DQN
173,846460.0,DQN
174,864760.0,DQN
175,859040.0,DQN
176,864640.0,DQN
177,864200.0,DQN
178,876050.0,DQN
179,861560.0,DQN
180,860610.0,DQN
181,860640.0,DQN
182,861520.0,DQN
183,864090.0,DQN
184,855540.0,DQN
185,874650.0,DQN
186,868180.0,DQN
187,876250.0,DQN
188,873410.0,DQN
189,868220.0,DQN
190,860150.0,DQN
191,855260.0,DQN
192,856800.0,DQN
193,861730.0,DQN
194,861530.0,DQN
195,859770.0,DQN
196,858090.0,DQN
197,873660.0,DQN
198,859980.0,DQN
0,13892.792792792792,DQN
1,7056.065573770492,DQN
2,7458.169934640523,DQN
3,7705.0847457627115,DQN
4,7694.333333333333,DQN
5,6925.0,DQN
6,6675.232198142415,DQN
7,7415.0641025641025,DQN
8,7303.761755485893,DQN
9,7432.288401253919,DQN
10,7324.451410658307,DQN
11,8085.382059800664,DQN
12,8384.615384615385,DQN
13,8513.666666666666,DQN
14,8796.180555555555,DQN
15,9522.463768115942,DQN
16,9546.886446886447,DQN
17,10232.046332046331,DQN
18,11156.25,DQN
19,12338.86462882096,DQN
20,12906.944444444445,DQN
21,15241.968911917098,DQN
22,14212.07729468599,DQN
23,18702.97619047619,DQN
24,20219.135802469136,DQN
25,19315.853658536584,DQN
26,23362.937062937064,DQN
27,26257.14285714286,DQN
28,29138.095238095237,DQN
29,30204.065040650406,DQN
30,32909.649122807015,DQN
31,38743.80952380953,DQN
32,43679.38144329897,DQN
33,44344.21052631579,DQN
34,55309.638554216865,DQN
35,59848.101265822785,DQN
36,68611.26760563381,DQN
37,99044.23076923077,DQN
38,140484.61538461538,DQN
39,227170.37037037036,DQN
40,176205.88235294117,DQN
41,274447.82608695654,DQN
42,443120.0,DQN
43,522421.4285714286,DQN
44,767118.1818181818,DQN
45,727772.7272727273,DQN
46,590285.7142857143,DQN
47,910250.0,DQN
48,927270.0,DQN
49,777675.0,DQN
50,839372.7272727273,DQN
51,905840.0,DQN
52,907640.0,DQN
53,900740.0,DQN
54,906740.0,DQN
55,926680.0,DQN
56,925420.0,DQN
57,915890.0,DQN
58,922380.0,DQN
59,907870.0,DQN
60,912000.0,DQN
61,921830.0,DQN
62,925300.0,DQN
63,917890.0,DQN
64,917390.0,DQN
65,920170.0,DQN
66,919100.0,DQN
67,913270.0,DQN
68,837645.4545454546,DQN
69,909660.0,DQN
70,916820.0,DQN
71,924670.0,DQN
72,911710.0,DQN
73,921960.0,DQN
74,921000.0,DQN
75,919620.0,DQN
76,913000.0,DQN
77,915330.0,DQN
78,910760.0,DQN
79,906710.0,DQN
80,915090.0,DQN
81,904140.0,DQN
82,921040.0,DQN
83,916240.0,DQN
84,913840.0,DQN
85,918820.0,DQN
86,914380.0,DQN
87,915290.0,DQN
88,908780.0,DQN
89,916220.0,DQN
90,909190.0,DQN
91,920180.0,DQN
92,905870.0,DQN
93,910980.0,DQN
94,908930.0,DQN
95,916250.0,DQN
96,910920.0,DQN
97,919780.0,DQN
98,906010.0,DQN
99,918150.0,DQN
100,914690.0,DQN
101,914760.0,DQN
102,917360.0,DQN
103,920590.0,DQN
104,913400.0,DQN
105,920930.0,DQN
106,911290.0,DQN
107,912980.0,DQN
108,914430.0,DQN
109,917890.0,DQN
110,920160.0,DQN
111,927170.0,DQN
112,924500.0,DQN
113,917650.0,DQN
114,919890.0,DQN
115,918110.0,DQN
116,915980.0,DQN
117,919330.0,DQN
118,922510.0,DQN
119,922870.0,DQN
120,918380.0,DQN
121,924420.0,DQN
122,921140.0,DQN
123,920840.0,DQN
124,921520.0,DQN
125,929580.0,DQN
126,921470.0,DQN
127,920200.0,DQN
128,919820.0,DQN
129,920420.0,DQN
130,918650.0,DQN
131,925100.0,DQN
132,922550.0,DQN
133,926230.0,DQN
134,923920.0,DQN
135,910520.0,DQN
136,914030.0,DQN
137,919750.0,DQN
138,915160.0,DQN
139,905210.0,DQN
140,916500.0,DQN
141,908510.0,DQN
142,914450.0,DQN
143,919900.0,DQN
144,919430.0,DQN
145,912970.0,DQN
146,919740.0,DQN
147,908470.0,DQN
148,907670.0,DQN
