index,accuracy_train,loss_train,step,accuracy_val,loss_val,Experiment
841,0.9656666696,0.3613510221,145.0,0.575333338,0.9728241682,5
842,0.9773333371,0.3158320149,155.0,0.5843333383,0.9492246469,5
843,0.9836666703,0.2853628899,165.0,0.5843333383,0.9364367425,5
844,0.9873333375,0.2606293619,175.0,0.5866666714,0.9195533137,5
845,0.9896666706,0.2417066485,185.0,0.5823333373,0.9183657904,5
846,0.9926666697,0.2259899835,195.0,0.5833333383,0.9118685126,5
847,0.9933333357,0.2126040923,205.0,0.5803333372,0.9133857926,5
848,0.9936666687,0.2003871741,215.0,0.5783333371,0.9127943794,5
849,0.9943333348,0.1921237302,225.0,0.5800000022,0.9086773634,5
850,0.9963333348,0.1824632001,235.0,0.576333335,0.9113208751,5
851,0.9983333349,0.1747020942,245.0,0.574666668,0.9108697077,5
852,0.9983333349,0.1677105429,255.0,0.574,0.9083763838,5
853,0.9986666679,0.1633580334,265.0,0.5726666659,0.9118746797,5
854,0.999666667,0.1568809229,275.0,0.5683333327,0.9126524468,5
855,1.0,0.1502105904,285.0,0.5683333327,0.9119517108,5
856,1.0,0.1449390166,295.0,0.5686666658,0.9107556462,5
857,1.0,0.1386274867,305.0,0.5686666658,0.9106011987,5
858,1.0,0.1342547449,315.0,0.5649999986,0.9087465028,5
859,1.0,0.1296294009,325.0,0.5646666656,0.9096846998,5
860,1.0,0.126195538,335.0,0.5683333327,0.9025485039,5
861,1.0,0.1218113261,345.0,0.5653333336,0.9094566484,5
862,1.0,0.1181691336,355.0,0.5643333326,0.9118674278,5
863,1.0,0.1157342148,365.0,0.5616666655,0.9224726975,5
864,1.0,0.1131857802,375.0,0.5619999985,0.9275463283,5
865,1.0,0.1099170429,385.0,0.5586666644,0.9326718648,5
866,1.0,0.107255691,395.0,0.5553333312,0.9415384253,5
867,1.0,0.1046129244,405.0,0.5549999982,0.9407021761,5
868,1.0,0.1014537053,415.0,0.5569999983,0.9405876557,5
869,1.0,0.0993887155,425.0,0.5576666643,0.9439957857,5
870,1.0,0.0960264269,435.0,0.5566666633,0.9413444161,5
871,1.0,0.0941524492,445.0,0.5549999962,0.9429904858,5
872,1.0,0.0922178632,455.0,0.5533333292,0.9505369862,5
873,1.0,0.0898897445,465.0,0.5546666632,0.9478972236,5
874,1.0,0.087309306,475.0,0.5549999962,0.9528427581,5
875,1.0,0.0854680726,485.0,0.5583333294,0.9504829228,5
876,1.0,0.0837868707,495.0,0.5563333293,0.951059111,5
877,1.0,0.0821150165,505.0,0.5589999974,0.9492997726,5
878,1.0,0.080303005,515.0,0.5623333295,0.9463015358,5
879,1.0,0.0787189506,525.0,0.5633333306,0.9495193322,5
880,1.0,0.0771020727,535.0,0.5616666635,0.9542260329,5
881,1.0,0.0752679672,545.0,0.5593333304,0.9609339853,5
882,1.0,0.0742629424,555.0,0.5603333314,0.9613922874,5
883,1.0,0.0721330505,565.0,0.5589999974,0.9564051112,5
884,1.0,0.0709749356,575.0,0.5603333314,0.9589973847,5
885,1.0,0.0693491751,585.0,0.5593333324,0.9662695885,5
886,1.0,0.0681010418,595.0,0.5563333313,0.9748030265,5
887,1.0,0.0671162737,605.0,0.5579999963,0.9739911139,5
888,1.0,0.065818412,615.0,0.5583333294,0.9793461025,5
889,1.0,0.0645847995,625.0,0.5576666613,0.980905058,5
890,1.0,0.0634084098,635.0,0.5566666603,0.9838104963,5
891,1.0,0.0628530124,645.0,0.5599999944,0.9803544482,5
892,1.0,0.0618457293,655.0,0.5589999954,0.9820066869,5
893,1.0,0.0606229073,665.0,0.5586666624,0.9836078624,5
894,1.0,0.0595913147,675.0,0.5586666624,0.9862640162,5
895,1.0,0.0585740109,685.0,0.5603333294,0.9889050682,5
896,1.0,0.0574523237,695.0,0.5623333305,0.9885050138,5
897,1.0,0.0566905984,705.0,0.5613333295,0.9885037243,5
898,1.0,0.0564398712,715.0,0.5606666634,0.9905671219,5
899,1.0,0.0552028938,725.0,0.5616666645,0.9865395188,5
900,1.0,0.0546683754,735.0,0.5626666655,0.9891471624,5
901,1.0,0.0536939693,745.0,0.5629999985,0.9917891959,5
902,1.0,0.0526709598,755.0,0.5669999987,0.9804861248,5
903,1.0,0.0520175873,765.0,0.5676666647,0.9803203424,5
904,1.0,0.0514319019,775.0,0.5616666655,0.9884753605,5
905,1.0,0.0506802206,785.0,0.5609999994,0.9888843159,5
906,1.0,0.0499870516,795.0,0.5613333325,0.9947607855,5
907,1.0,0.0494079713,805.0,0.5593333324,0.9954366386,5
908,1.0,0.0489452947,815.0,0.5589999994,0.9978107433,5
909,1.0,0.0483018242,825.0,0.5586666663,0.9975640376,5
910,1.0,0.0478052425,835.0,0.5580000003,1.0034871896,5
911,1.0,0.0473365402,845.0,0.5620000005,0.9987125099,5
912,1.0,0.0466964666,855.0,0.5616666675,0.9988778313,5
913,1.0,0.0464575488,865.0,0.5633333345,0.9997831583,5
914,1.0,0.0457887633,875.0,0.5616666675,1.0001802405,5
915,1.0,0.0454685571,885.0,0.5613333325,0.9966869434,5
916,1.0,0.0448661603,895.0,0.5616666655,0.9934750497,5
917,1.0,0.0444878567,905.0,0.5573333333,1.004420499,5
918,1.0,0.0440699653,915.0,0.5573333333,1.0077608983,5
919,1.0,0.0433478034,925.0,0.5550000002,1.0065413594,5
920,1.0,0.042666117,935.0,0.5520000011,1.0142733395,5
921,1.0,0.0419925723,945.0,0.550666667,1.0121597826,5
922,1.0,0.0415130728,955.0,0.5486666669,1.0172769467,5
923,1.0,0.0412498371,965.0,0.5516666671,1.0097589691,5
924,1.0,0.0408992556,975.0,0.5483333339,1.0162330508,5
925,1.0,0.0403610282,985.0,0.5473333329,1.0210489154,5
926,1.0,0.0400176466,995.0,0.548666665,1.0196932991,5
927,1.0,0.0394120043,1005.0,0.549333333,1.0217572093,5
928,1.0,0.0389024677,1015.0,0.5476666659,1.0233256459,5
929,1.0,0.0385884017,1025.0,0.5439999988,1.0377379954,5
930,1.0,0.0379342165,1035.0,0.5443333318,1.0372186244,5
931,1.0,0.0373297342,1045.0,0.5453333328,1.0332069516,5
932,1.0,0.0367658462,1055.0,0.5429999997,1.0383157372,5
933,1.0,0.0364188601,1065.0,0.5420000007,1.0407470723,5
934,1.0,0.0362721022,1075.0,0.5476666669,1.0327688197,5
935,1.0,0.0360926682,1085.0,0.5466666659,1.0349503497,5
936,1.0,0.0356342427,1095.0,0.5479999979,1.0339192688,5
937,1.0,0.035099466,1105.0,0.5483333309,1.0357697964,5
938,1.0,0.0346075255,1115.0,0.5479999979,1.0377740264,5
939,1.0,0.0344729733,1125.0,0.5449999968,1.047326688,5
940,1.0,0.0341314762,1135.0,0.54933333,1.0336456676,5
941,1.0,0.0338388873,1145.0,0.5476666629,1.0364625176,5
942,1.0,0.0337919401,1155.0,0.5466666619,1.0415488183,5
943,1.0,0.0330936112,1165.0,0.5409999957,1.0537935893,5
944,1.0,0.0328879509,1175.0,0.5429999957,1.0532196323,5
945,1.0,0.0324574736,1185.0,0.5453333308,1.0545967301,5
946,1.0,0.0322376851,1195.0,0.5453333308,1.0591465294,5
947,1.0,0.0318242526,1205.0,0.5483333309,1.054772375,5
948,1.0,0.0316389227,1215.0,0.5516666651,1.0461039583,5
949,1.0,0.0315059214,1225.0,0.5546666662,1.0487450441,5
950,1.0,0.0312618641,1235.0,0.5553333322,1.0494964838,5
951,1.0,0.0310015199,1245.0,0.5559999983,1.0491781751,5
952,1.0,0.0307010467,1255.0,0.5576666653,1.0492475231,5
953,1.0,0.0303515468,1265.0,0.5593333324,1.0449399511,5
954,1.0,0.0300827528,1275.0,0.5623333325,1.0421707074,5
955,1.0,0.03006592,1285.0,0.5633333335,1.0396258672,5
956,1.0,0.0299932235,1295.0,0.5616666665,1.0417224566,5
957,1.0,0.0298292721,1305.0,0.5629999985,1.0415764133,5
958,1.0,0.0296527622,1315.0,0.5633333315,1.041901648,5
959,1.0,0.0294886438,1325.0,0.5663333327,1.0326149901,5
960,1.0,0.0294659369,1335.0,0.5669999987,1.0313813587,5
961,1.0,0.029379341,1345.0,0.5656666646,1.0340282698,5
962,1.0,0.0291907801,1355.0,0.5623333305,1.0441239337,5
963,1.0,0.0289024219,1365.0,0.5613333295,1.0501550237,5
964,1.0,0.0286577089,1375.0,0.5589999964,1.0570661704,5
965,1.0,0.0283434443,1385.0,0.5596666644,1.0561983864,5
966,1.0,0.0282779649,1395.0,0.5596666644,1.0538490176,5
967,1.0,0.0279743386,1405.0,0.5613333315,1.0513689876,5
