description,type,name,year,region_s,price
APPLES-COOKING-PER KG,Food,Apples,1988.0,London,0.7936632
APPLES-COOKING-PER KG,Food,Apples,1988.0,South East,0.85980177
APPLES-COOKING-PER KG,Food,Apples,1988.0,South West,0.83775556
APPLES-COOKING-PER KG,Food,Apples,1988.0,East Anglia,0.74957079
APPLES-COOKING-PER KG,Food,Apples,1988.0,East Midlands,0.81570941
APPLES-COOKING-PER KG,Food,Apples,1988.0,West Midlands,0.85980177
APPLES-COOKING-PER KG,Food,Apples,1988.0,Yorkshire & Humber,0.7936632
APPLES-COOKING-PER KG,Food,Apples,1988.0,North West,0.85980177
APPLES-COOKING-PER KG,Food,Apples,1988.0,North,0.7936632
APPLES-COOKING-PER KG,Food,Apples,1988.0,Wales,0.92594039
APPLES-COOKING-PER KG,Food,Apples,1988.0,Scotland,0.7936632
APPLES-COOKING-PER KG,Food,Apples,1988.0,Northern Ireland,0.58422434
DRAUGHT BITTER (PER PINT),Drink,Bitter,1988.0,London,0.98000002
DRAUGHT BITTER (PER PINT),Drink,Bitter,1988.0,South East,0.98000002
DRAUGHT BITTER (PER PINT),Drink,Bitter,1988.0,South West,0.92000002
DRAUGHT BITTER (PER PINT),Drink,Bitter,1988.0,East Anglia,0.92000002
DRAUGHT BITTER (PER PINT),Drink,Bitter,1988.0,East Midlands,0.88
DRAUGHT BITTER (PER PINT),Drink,Bitter,1988.0,West Midlands,0.82999998
DRAUGHT BITTER (PER PINT),Drink,Bitter,1988.0,Yorkshire & Humber,0.83999997
DRAUGHT BITTER (PER PINT),Drink,Bitter,1988.0,North West,0.81999999
DRAUGHT BITTER (PER PINT),Drink,Bitter,1988.0,North,0.86000001
DRAUGHT BITTER (PER PINT),Drink,Bitter,1988.0,Wales,0.82999998
DRAUGHT BITTER (PER PINT),Drink,Bitter,1988.0,Scotland,0.92000002
DRAUGHT BITTER (PER PINT),Drink,Bitter,1988.0,Northern Ireland,1.0
BOXED BOARD GAME: NOT TRAVEL,Gifts for Kids,Board game,1988.0,London,6.9899998
BOXED BOARD GAME: NOT TRAVEL,Gifts for Kids,Board game,1988.0,South East,6.9899998
BOXED BOARD GAME: NOT TRAVEL,Gifts for Kids,Board game,1988.0,South West,6.9899998
BOXED BOARD GAME: NOT TRAVEL,Gifts for Kids,Board game,1988.0,East Anglia,7.9899998
BOXED BOARD GAME: NOT TRAVEL,Gifts for Kids,Board game,1988.0,East Midlands,6.9899998
BOXED BOARD GAME: NOT TRAVEL,Gifts for Kids,Board game,1988.0,West Midlands,6.9899998
BOXED BOARD GAME: NOT TRAVEL,Gifts for Kids,Board game,1988.0,Yorkshire & Humber,7.5
BOXED BOARD GAME: NOT TRAVEL,Gifts for Kids,Board game,1988.0,North West,7.9499998
BOXED BOARD GAME: NOT TRAVEL,Gifts for Kids,Board game,1988.0,North,6.9899998
BOXED BOARD GAME: NOT TRAVEL,Gifts for Kids,Board game,1988.0,Wales,7.5
BOXED BOARD GAME: NOT TRAVEL,Gifts for Kids,Board game,1988.0,Scotland,6.9899998
BOXED BOARD GAME: NOT TRAVEL,Gifts for Kids,Board game,1988.0,Northern Ireland,7.8499999
BRANDY-68-70 CL BOTTLE,Drink,Brandy,1988.0,London,11.32
BRANDY-68-70 CL BOTTLE,Drink,Brandy,1988.0,South East,11.77
BRANDY-68-70 CL BOTTLE,Drink,Brandy,1988.0,South West,11.719999
BRANDY-68-70 CL BOTTLE,Drink,Brandy,1988.0,East Anglia,8.25
BRANDY-68-70 CL BOTTLE,Drink,Brandy,1988.0,East Midlands,8.9499998
BRANDY-68-70 CL BOTTLE,Drink,Brandy,1988.0,West Midlands,11.49
BRANDY-68-70 CL BOTTLE,Drink,Brandy,1988.0,Yorkshire & Humber,8.29
BRANDY-68-70 CL BOTTLE,Drink,Brandy,1988.0,North West,8.6499996
BRANDY-68-70 CL BOTTLE,Drink,Brandy,1988.0,North,8.1899996
BRANDY-68-70 CL BOTTLE,Drink,Brandy,1988.0,Wales,8.25
BRANDY-68-70 CL BOTTLE,Drink,Brandy,1988.0,Scotland,11.49
BRANDY-68-70 CL BOTTLE,Drink,Brandy,1988.0,Northern Ireland,10.89
FRESH VEG-CABBAGE-WHOLE-PER KG,Vegetables,Cabbage,1988.0,London,0.55115497
FRESH VEG-CABBAGE-WHOLE-PER KG,Vegetables,Cabbage,1988.0,South East,0.55115497
FRESH VEG-CABBAGE-WHOLE-PER KG,Vegetables,Cabbage,1988.0,South West,0.55115497
FRESH VEG-CABBAGE-WHOLE-PER KG,Vegetables,Cabbage,1988.0,East Anglia,0.44092402
FRESH VEG-CABBAGE-WHOLE-PER KG,Vegetables,Cabbage,1988.0,East Midlands,0.48501641
FRESH VEG-CABBAGE-WHOLE-PER KG,Vegetables,Cabbage,1988.0,West Midlands,0.52910876
FRESH VEG-CABBAGE-WHOLE-PER KG,Vegetables,Cabbage,1988.0,Yorkshire & Humber,0.55115497
FRESH VEG-CABBAGE-WHOLE-PER KG,Vegetables,Cabbage,1988.0,North West,0.42990088
FRESH VEG-CABBAGE-WHOLE-PER KG,Vegetables,Cabbage,1988.0,North,0.44092402
FRESH VEG-CABBAGE-WHOLE-PER KG,Vegetables,Cabbage,1988.0,Wales,0.4739933
FRESH VEG-CABBAGE-WHOLE-PER KG,Vegetables,Cabbage,1988.0,Scotland,0.48501641
FRESH VEG-CABBAGE-WHOLE-PER KG,Vegetables,Cabbage,1988.0,Northern Ireland,0.55115497
FRESH VEG-CARROTS-PER KG,Vegetables,Carrots,1988.0,London,0.48501641
FRESH VEG-CARROTS-PER KG,Vegetables,Carrots,1988.0,South East,0.48501641
FRESH VEG-CARROTS-PER KG,Vegetables,Carrots,1988.0,South West,0.48501641
FRESH VEG-CARROTS-PER KG,Vegetables,Carrots,1988.0,East Anglia,0.48501641
FRESH VEG-CARROTS-PER KG,Vegetables,Carrots,1988.0,East Midlands,0.48501641
FRESH VEG-CARROTS-PER KG,Vegetables,Carrots,1988.0,West Midlands,0.41887778
FRESH VEG-CARROTS-PER KG,Vegetables,Carrots,1988.0,Yorkshire & Humber,0.44092402
FRESH VEG-CARROTS-PER KG,Vegetables,Carrots,1988.0,North West,0.41887778
FRESH VEG-CARROTS-PER KG,Vegetables,Carrots,1988.0,North,0.37478539
FRESH VEG-CARROTS-PER KG,Vegetables,Carrots,1988.0,Wales,0.52910876
FRESH VEG-CARROTS-PER KG,Vegetables,Carrots,1988.0,Scotland,0.48501641
FRESH VEG-CARROTS-PER KG,Vegetables,Carrots,1988.0,Northern Ireland,0.6393398
CHEDDAR-HOME PRODUCED PER KG,Food,Cheddar,1988.0,London,3.2848837
CHEDDAR-HOME PRODUCED PER KG,Food,Cheddar,1988.0,South East,3.0644217
CHEDDAR-HOME PRODUCED PER KG,Food,Cheddar,1988.0,South West,3.086468
CHEDDAR-HOME PRODUCED PER KG,Food,Cheddar,1988.0,East Anglia,3.2628376
CHEDDAR-HOME PRODUCED PER KG,Food,Cheddar,1988.0,East Midlands,2.9982831
CHEDDAR-HOME PRODUCED PER KG,Food,Cheddar,1988.0,West Midlands,2.9431677
CHEDDAR-HOME PRODUCED PER KG,Food,Cheddar,1988.0,Yorkshire & Humber,2.9321446
CHEDDAR-HOME PRODUCED PER KG,Food,Cheddar,1988.0,North West,2.9982831
CHEDDAR-HOME PRODUCED PER KG,Food,Cheddar,1988.0,North,2.8439598
CHEDDAR-HOME PRODUCED PER KG,Food,Cheddar,1988.0,Wales,3.1305604
CHEDDAR-HOME PRODUCED PER KG,Food,Cheddar,1988.0,Scotland,3.3069301
CHEDDAR-HOME PRODUCED PER KG,Food,Cheddar,1988.0,Northern Ireland,2.9762371
5 CIGARS: SPECIFY BRAND,Presents,Cigars,1988.0,London,1.17
5 CIGARS: SPECIFY BRAND,Presents,Cigars,1988.0,South East,1.24
5 CIGARS: SPECIFY BRAND,Presents,Cigars,1988.0,South West,1.11
5 CIGARS: SPECIFY BRAND,Presents,Cigars,1988.0,East Anglia,1.17
5 CIGARS: SPECIFY BRAND,Presents,Cigars,1988.0,East Midlands,1.24
5 CIGARS: SPECIFY BRAND,Presents,Cigars,1988.0,West Midlands,1.09
5 CIGARS: SPECIFY BRAND,Presents,Cigars,1988.0,Yorkshire & Humber,1.23
5 CIGARS: SPECIFY BRAND,Presents,Cigars,1988.0,North West,1.23
5 CIGARS: SPECIFY BRAND,Presents,Cigars,1988.0,North,1.23
5 CIGARS: SPECIFY BRAND,Presents,Cigars,1988.0,Wales,1.235
5 CIGARS: SPECIFY BRAND,Presents,Cigars,1988.0,Scotland,1.13
5 CIGARS: SPECIFY BRAND,Presents,Cigars,1988.0,Northern Ireland,1.24
