year,region,measure_n,value,measure
1997,East Anglia,1,190.7133319973946,Basket cost
1997,East Anglia,2,7.829999923706055,Median wage
1997,East Anglia,3,24.35674667358398,Cost: hours worked
1997,East Midlands,1,184.983562707901,Basket cost
1997,East Midlands,2,7.159999847412109,Median wage
1997,East Midlands,3,25.835693359375,Cost: hours worked
1997,London,1,180.2633307874203,Basket cost
1997,London,2,10.23999977111816,Median wage
1997,London,3,17.60384178161621,Cost: hours worked
1997,North,1,186.6674230098724,Basket cost
1997,North,2,7.25,Median wage
1997,North,3,25.74723052978516,Cost: hours worked
1997,North West,1,175.6037776172161,Basket cost
1997,North West,2,7.519999980926514,Median wage
1997,North West,3,23.35156631469727,Cost: hours worked
1997,Northern Ireland,1,185.8542219400406,Basket cost
1997,Northern Ireland,2,6.920000076293945,Median wage
1997,Northern Ireland,3,26.85754585266113,Cost: hours worked
1997,Scotland,1,201.2312853634357,Basket cost
1997,Scotland,2,7.28000020980835,Median wage
1997,Scotland,3,27.64165878295898,Cost: hours worked
1997,South East,1,180.8285458683968,Basket cost
1997,South East,2,8.170000076293945,Median wage
1997,South East,3,22.13323593139648,Cost: hours worked
1997,South West,1,182.3403769135475,Basket cost
1997,South West,2,7.349999904632568,Median wage
1997,South West,3,24.80821418762207,Cost: hours worked
1997,Wales,1,178.7435472309589,Basket cost
1997,Wales,2,7.329999923706055,Median wage
1997,Wales,3,24.38520431518555,Cost: hours worked
1997,West Midlands,1,174.6678692698479,Basket cost
1997,West Midlands,2,7.349999904632568,Median wage
1997,West Midlands,3,23.76433563232422,Cost: hours worked
1997,Yorkshire & Humber,1,185.6914993822575,Basket cost
1997,Yorkshire & Humber,2,7.110000133514404,Median wage
1997,Yorkshire & Humber,3,26.11694717407227,Cost: hours worked
1998,East Anglia,1,204.6444701254368,Basket cost
1998,East Anglia,2,8.140000343322754,Median wage
1998,East Anglia,3,25.14059638977051,Cost: hours worked
1998,East Midlands,1,190.3715333342552,Basket cost
1998,East Midlands,2,7.360000133514404,Median wage
1998,East Midlands,3,25.86569786071777,Cost: hours worked
1998,London,1,197.3908551037312,Basket cost
1998,London,2,10.69999980926514,Median wage
1998,London,3,18.44774436950684,Cost: hours worked
1998,North,1,176.4681159555912,Basket cost
1998,North,2,7.360000133514404,Median wage
1998,North,3,23.97664642333984,Cost: hours worked
1998,North West,1,180.2642552256584,Basket cost
1998,North West,2,7.699999809265137,Median wage
1998,North West,3,23.41094207763672,Cost: hours worked
1998,Northern Ireland,1,203.4968798160553,Basket cost
1998,Northern Ireland,2,7.340000152587891,Median wage
1998,Northern Ireland,3,27.72436904907227,Cost: hours worked
1998,Scotland,1,192.7452781796455,Basket cost
1998,Scotland,2,7.630000114440918,Median wage
1998,Scotland,3,25.26150321960449,Cost: hours worked
1998,South East,1,195.0144869983196,Basket cost
1998,South East,2,8.539999961853027,Median wage
1998,South East,3,22.83542060852051,Cost: hours worked
1998,South West,1,190.3813001513481,Basket cost
1998,South West,2,7.630000114440918,Median wage
1998,South West,3,24.9516773223877,Cost: hours worked
1998,Wales,1,189.9744859039783,Basket cost
1998,Wales,2,7.449999809265137,Median wage
1998,Wales,3,25.49993133544922,Cost: hours worked
1998,West Midlands,1,185.7592553496361,Basket cost
1998,West Midlands,2,7.769999980926514,Median wage
1998,West Midlands,3,23.90723991394043,Cost: hours worked
1998,Yorkshire & Humber,1,200.0835626423359,Basket cost
1998,Yorkshire & Humber,2,7.46999979019165,Median wage
1998,Yorkshire & Humber,3,26.78494834899902,Cost: hours worked
1999,East Anglia,1,201.5499997138977,Basket cost
1999,East Anglia,2,8.449999809265137,Median wage
1999,East Anglia,3,23.85207176208496,Cost: hours worked
1999,East Midlands,1,196.3700007796288,Basket cost
1999,East Midlands,2,7.710000038146973,Median wage
1999,East Midlands,3,25.46952056884766,Cost: hours worked
1999,London,1,208.9849978685379,Basket cost
1999,London,2,11.14999961853027,Median wage
1999,London,3,18.74304962158203,Cost: hours worked
1999,North,1,200.3999990820885,Basket cost
1999,North,2,7.670000076293945,Median wage
1999,North,3,26.12776947021484,Cost: hours worked
1999,North West,1,189.8149987459183,Basket cost
1999,North West,2,8.029999732971191,Median wage
1999,North West,3,23.63823318481445,Cost: hours worked
1999,Northern Ireland,1,203.7799994945526,Basket cost
1999,Northern Ireland,2,7.570000171661377,Median wage
1999,Northern Ireland,3,26.91941833496094,Cost: hours worked
1999,Scotland,1,199.5199993252754,Basket cost
1999,Scotland,2,8.079999923706055,Median wage
1999,Scotland,3,24.69306945800781,Cost: hours worked
1999,South East,1,199.3699994981289,Basket cost
1999,South East,2,8.869999885559082,Median wage
1999,South East,3,22.47688865661621,Cost: hours worked
1999,South West,1,189.9149987995625,Basket cost
1999,South West,2,7.809999942779541,Median wage
1999,South West,3,24.31690216064453,Cost: hours worked
1999,Wales,1,195.9099991321564,Basket cost
1999,Wales,2,7.730000019073486,Median wage
1999,Wales,3,25.34411430358887,Cost: hours worked
1999,West Midlands,1,192.6949986517429,Basket cost
1999,West Midlands,2,8.079999923706055,Median wage
1999,West Midlands,3,23.84839057922363,Cost: hours worked
1999,Yorkshire & Humber,1,210.0200002789497,Basket cost
1999,Yorkshire & Humber,2,7.710000038146973,Median wage
1999,Yorkshire & Humber,3,27.23994827270508,Cost: hours worked
2000,East Anglia,1,201.8099994659424,Basket cost
2000,East Anglia,2,8.649999618530273,Median wage
2000,East Anglia,3,23.33063697814941,Cost: hours worked
2000,East Midlands,1,187.0099998116493,Basket cost
2000,East Midlands,2,7.909999847412109,Median wage
2000,East Midlands,3,23.64222526550293,Cost: hours worked
2000,London,1,210.5500008165836,Basket cost
2000,London,2,11.72999954223633,Median wage
2000,London,3,17.94970321655273,Cost: hours worked
2000,North,1,198.190000385046,Basket cost
2000,North,2,8.0,Median wage
2000,North,3,24.77375030517578,Cost: hours worked
2000,North West,1,193.3649996817112,Basket cost
2000,North West,2,8.289999961853027,Median wage
2000,North West,3,23.3250904083252,Cost: hours worked
2000,Northern Ireland,1,197.3049989938736,Basket cost
2000,Northern Ireland,2,7.78000020980835,Median wage
2000,Northern Ireland,3,25.36053848266602,Cost: hours worked
2000,Scotland,1,188.4199989438057,Basket cost
2000,Scotland,2,8.229999542236328,Median wage
2000,Scotland,3,22.89429092407227,Cost: hours worked
2000,South East,1,195.2649992108345,Basket cost
2000,South East,2,9.220000267028809,Median wage
2000,South East,3,21.17841529846191,Cost: hours worked
2000,South West,1,211.9400012493134,Basket cost
2000,South West,2,8.079999923706055,Median wage
2000,South West,3,26.23019790649414,Cost: hours worked
2000,Wales,1,190.76999771595,Basket cost
2000,Wales,2,8.010000228881836,Median wage
2000,Wales,3,23.81647872924805,Cost: hours worked
2000,West Midlands,1,197.9749998152256,Basket cost
2000,West Midlands,2,8.25,Median wage
2000,West Midlands,3,23.99696922302246,Cost: hours worked
2000,Yorkshire & Humber,1,202.8149982690811,Basket cost
2000,Yorkshire & Humber,2,7.949999809265137,Median wage
2000,Yorkshire & Humber,3,25.51132202148438,Cost: hours worked
2001,East Anglia,1,235.8549990653992,Basket cost
2001,East Anglia,2,9.109999656677246,Median wage
2001,East Anglia,3,25.88968276977539,Cost: hours worked
2001,East Midlands,1,219.3300018012524,Basket cost
2001,East Midlands,2,8.210000038146973,Median wage
2001,East Midlands,3,26.71498107910156,Cost: hours worked
2001,London,1,227.970000565052,Basket cost
2001,London,2,12.39999961853027,Median wage
2001,London,3,18.38467788696289,Cost: hours worked
2001,North,1,199.3550019264221,Basket cost
2001,North,2,8.170000076293945,Median wage
2001,North,3,24.40085601806641,Cost: hours worked
2001,North West,1,209.3799991607666,Basket cost
2001,North West,2,8.640000343322754,Median wage
2001,North West,3,24.23379516601563,Cost: hours worked
2001,Northern Ireland,1,196.5749995112419,Basket cost
2001,Northern Ireland,2,8.0,Median wage
2001,Northern Ireland,3,24.57187461853027,Cost: hours worked
2001,Scotland,1,213.0549999475479,Basket cost
2001,Scotland,2,8.640000343322754,Median wage
