Date,Value,Detail
1997-01-01,5257,GDP: Real GDP per capita (CVM SA)
1997-04-01,5309,
1997-07-01,5348,
1997-10-01,5416,
1998-01-01,5454,
1998-04-01,5503,
1998-07-01,5535,
1998-10-01,5582,
1999-01-01,5605,
1999-04-01,5602,
1999-07-01,5695,
1999-10-01,5769,
2000-01-01,5815,
2000-04-01,5844,
2000-07-01,5848,
2000-10-01,5843,
2001-01-01,5913,
2001-04-01,5952,
2001-07-01,5987,
2001-10-01,5989,
2002-01-01,6010,
2002-04-01,6033,
2002-07-01,6063,
2002-10-01,6096,
2003-01-01,6126,
2003-04-01,6191,
2003-07-01,6257,
2003-10-01,6304,
2004-01-01,6316,
2004-04-01,6332,
2004-07-01,6325,
2004-10-01,6321,
2005-01-01,6360,
2005-04-01,6429,
2005-07-01,6485,
2005-10-01,6558,
2006-01-01,6583,
2006-04-01,6590,
2006-07-01,6572,
2006-10-01,6573,
2007-01-01,6637,
2007-04-01,6664,
2007-07-01,6701,
2007-10-01,6708,
2008-01-01,6736,
2008-04-01,6673,
2008-07-01,6527,
2008-10-01,6334,
2009-01-01,6208,
2009-04-01,6190,
2009-07-01,6183,
2009-10-01,6184,
2010-01-01,6223,
2010-04-01,6290,
2010-07-01,6332,
2010-10-01,6324,
2011-01-01,6322,
2011-04-01,6308,
2011-07-01,6314,
2011-10-01,6301,
2012-01-01,6338,
2012-04-01,6317,
2012-07-01,6392,
2012-10-01,6352,
2013-01-01,6387,
2013-04-01,6439,
2013-07-01,6492,
2013-10-01,6517,
2014-01-01,6567,
2014-04-01,6604,
2014-07-01,6628,
2014-10-01,6647,
2015-01-01,6678,
2015-04-01,6721,
2015-07-01,6730,
2015-10-01,6755,
2016-01-01,6756,
2016-04-01,6772,
2016-07-01,6775,
2016-10-01,6794,
2017-01-01,6824,
2017-04-01,6832,
2017-07-01,6844,
2017-10-01,6842,
2018-01-01,6840,
2018-04-01,6856,
2018-07-01,6889,
2018-10-01,6887,
2019-01-01,6917,
2019-04-01,6916,
2019-07-01,6942,
2019-10-01,6929,
2020-01-01,6668,
2020-04-01,5184,
2020-07-01,6197,
