env_step,rew,rew_std,Agent
0,130.0823,15.1427,PPO
30720,350.9917,24.4802,PPO
61440,425.4232,23.1423,PPO
92160,465.9451,49.5543,PPO
122880,493.9147,26.3191,PPO
153600,490.4975,42.5076,PPO
184320,501.0533,44.1211,PPO
215040,511.8286,45.6841,PPO
245760,510.9731,39.5026,PPO
276480,521.749,45.4886,PPO
307200,541.7495,33.5348,PPO
337920,551.0738,41.6129,PPO
368640,558.4841,42.2806,PPO
399360,559.4836,61.2039,PPO
430080,567.995,38.5396,PPO
460800,550.0916,39.8131,PPO
491520,582.7719,64.735,PPO
522240,579.7875,48.9013,PPO
552960,606.7364,78.9236,PPO
583680,609.9051,50.6975,PPO
614400,631.2371,77.1233,PPO
645120,648.6753,92.364,PPO
675840,634.2489,73.4048,PPO
706560,628.1442,72.5634,PPO
737280,663.1003,80.5057,PPO
768000,676.9848,73.3874,PPO
798720,656.3851,78.3265,PPO
829440,712.8563,67.9891,PPO
860160,701.9783,119.4269,PPO
890880,727.9524,98.1045,PPO
921600,716.8859,90.7377,PPO
952320,739.1209,132.9358,PPO
983040,787.0681,193.5017,PPO
1013760,732.3068,105.6359,PPO
1044480,747.3812,144.6905,PPO
1075200,753.0065,150.7269,PPO
1105920,767.1866,177.7926,PPO
1136640,745.1658,115.0446,PPO
1167360,775.4483,129.888,PPO
1198080,784.5837,148.4,PPO
1228800,825.0454,157.0856,PPO
1259520,829.8744,171.9486,PPO
1290240,826.0339,164.3613,PPO
1320960,804.6047,151.2456,PPO
1351680,815.0404,188.6186,PPO
1382400,835.5702,150.8863,PPO
1413120,842.724,188.133,PPO
1443840,860.3203,198.2533,PPO
1474560,841.7917,155.3849,PPO
1505280,800.4889,148.3306,PPO
1536000,935.7042,249.8531,PPO
1566720,888.7137,174.3786,PPO
1597440,832.1629,155.7721,PPO
1628160,986.3306,285.295,PPO
1658880,853.313,158.3305,PPO
1689600,877.4147,171.3564,PPO
1720320,925.5333,274.6513,PPO
1751040,920.2305,239.9945,PPO
1781760,927.6438,268.7642,PPO
1812480,965.5925,252.3835,PPO
1843200,977.3575,338.2636,PPO
1873920,1062.624,421.2998,PPO
1904640,1017.8632,357.3262,PPO
1935360,1045.3381,363.1296,PPO
1966080,988.6769,293.54,PPO
1996800,1039.9539,317.9886,PPO
2027520,1000.3818,267.0232,PPO
2058240,932.8863,172.0988,PPO
2088960,1063.8193,356.9004,PPO
2119680,1007.1344,293.2305,PPO
2150400,1118.3303,434.818,PPO
2181120,1040.4434,270.6467,PPO
2211840,1104.2401,395.4114,PPO
2242560,1083.2706,306.5721,PPO
2273280,1027.5872,275.1138,PPO
2304000,1177.9164,353.1948,PPO
2334720,1087.1684,305.1818,PPO
2365440,1177.7415,304.9442,PPO
2396160,1058.5766,268.4139,PPO
2426880,1219.0824,504.7934,PPO
2457600,1138.8759,339.5198,PPO
2488320,1154.2304,377.9643,PPO
2519040,1290.3548,410.5781,PPO
2549760,1251.92,435.415,PPO
2580480,1235.0206,365.7419,PPO
2611200,1273.9936,443.1518,PPO
2641920,1222.3642,409.0311,PPO
2672640,1348.982,560.3245,PPO
2703360,1274.8993,312.1054,PPO
2734080,1359.7101,572.6597,PPO
2764800,1323.7258,509.658,PPO
2795520,1181.5144,341.507,PPO
