data,classificacao,faixa_etaria,feminino,masculino,total,ultima_atualizacao
2020-04-13,confirmados,00 a 19,0,3,3,False
2020-04-13,confirmados,20 a 29,12,2,14,False
2020-04-13,confirmados,30 a 39,19,19,38,False
2020-04-13,confirmados,40 a 49,11,16,27,False
2020-04-13,confirmados,50 a 59,12,10,22,False
2020-04-13,confirmados,60 a 69,3,8,11,False
2020-04-13,confirmados,70 a 79,2,3,5,False
2020-04-13,confirmados,80 ou mais,12,4,15,False
2020-04-21,confirmados,00 a 19,2,3,5,False
2020-04-21,confirmados,20 a 29,18,8,26,False
2020-04-21,confirmados,30 a 39,38,39,77,False
2020-04-21,confirmados,40 a 49,26,33,59,False
2020-04-21,confirmados,50 a 59,21,17,38,False
2020-04-21,confirmados,60 a 69,3,17,20,False
2020-04-21,confirmados,70 a 79,5,8,13,False
2020-04-21,confirmados,80 ou mais,17,8,25,False
2020-04-28,confirmados,00 a 19,7,5,12,False
2020-04-28,confirmados,20 a 29,27,23,50,False
2020-04-28,confirmados,30 a 39,62,59,121,False
2020-04-28,confirmados,40 a 49,56,49,105,False
2020-04-28,confirmados,50 a 59,37,30,67,False
2020-04-28,confirmados,60 a 69,5,26,31,False
2020-04-28,confirmados,70 a 79,11,14,25,False
2020-04-28,confirmados,80 ou mais,18,15,33,False
2020-05-05,confirmados,00 a 09,0,0,0,False
2020-05-05,confirmados,10 a 19,7,7,14,False
2020-05-05,confirmados,20 a 29,53,42,95,False
2020-05-05,confirmados,30 a 39,93,90,183,False
2020-05-05,confirmados,40 a 49,73,76,149,False
2020-05-05,confirmados,50 a 59,53,56,109,False
2020-05-05,confirmados,60 a 69,20,35,55,False
2020-05-05,confirmados,70 a 79,13,21,34,False
2020-05-05,confirmados,80 ou mais,20,14,34,False
2020-06-19,confirmados,00 a 09,365,403,768,False
2020-06-19,confirmados,10 a 19,831,752,1583,False
2020-06-19,confirmados,20 a 29,3308,2819,6127,False
2020-06-19,confirmados,30 a 39,4853,4239,9092,False
2020-06-19,confirmados,40 a 49,4028,3390,7418,False
2020-06-19,confirmados,50 a 59,2689,2340,5029,False
2020-06-19,confirmados,60 a 69,1360,1220,2580,False
2020-06-19,confirmados,70 a 79,764,711,1475,False
2020-06-19,confirmados,80 ou mais,573,448,1021,False
2020-06-22,confirmados,00 a 09,404,458,862,False
2020-06-22,confirmados,10 a 19,925,817,1742,False
2020-06-22,confirmados,20 a 29,3601,2962,6563,False
2020-06-22,confirmados,30 a 39,5338,4395,9733,False
2020-06-22,confirmados,40 a 49,4291,3654,7945,False
2020-06-22,confirmados,50 a 59,2854,2483,5337,False
2020-06-22,confirmados,60 a 69,1413,1269,2682,False
2020-06-22,confirmados,70 a 79,696,771,1467,False
2020-06-22,confirmados,80 ou mais,404,518,922,False
2020-06-24,confirmados,00 a 09,440,456,896,False
2020-06-24,confirmados,10 a 19,983,865,1848,False
2020-06-24,confirmados,20 a 29,3713,3198,6911,False
2020-06-24,confirmados,30 a 39,5488,4799,10287,False
2020-06-24,confirmados,40 a 49,4558,3831,8389,False
2020-06-24,confirmados,50 a 59,3083,2690,5773,False
2020-06-24,confirmados,60 a 69,1556,1374,2930,False
2020-06-24,confirmados,70 a 79,891,809,1700,False
2020-06-24,confirmados,80 ou mais,664,514,1178,False
2020-06-26,confirmados,00 a 09,484,505,989,False
2020-06-26,confirmados,10 a 19,1071,950,2021,False
2020-06-26,confirmados,20 a 29,4025,3442,7467,False
2020-06-26,confirmados,30 a 39,5847,5141,10998,False
2020-06-26,confirmados,40 a 49,4899,4091,8990,False
2020-06-26,confirmados,50 a 59,3316,2862,6178,False
2020-06-26,confirmados,60 a 69,1677,1463,3140,False
2020-06-26,confirmados,70 a 79,967,842,1809,False
2020-06-26,confirmados,80 ou mais,711,539,1250,False
2020-07-01,confirmados,00 a 09,564,574,1138,False
2020-07-01,confirmados,10 a 19,1263,1097,2360,False
2020-07-01,confirmados,20 a 29,4497,3878,8375,False
2020-07-01,confirmados,30 a 39,6485,5783,12268,False
2020-07-01,confirmados,40 a 49,5500,4615,11115,False
2020-07-01,confirmados,50 a 59,3736,3223,6959,False
2020-07-01,confirmados,60 a 69,1916,1639,3555,False
2020-07-01,confirmados,70 a 79,1099,932,2031,False
2020-07-01,confirmados,80 ou mais,783,591,1374,False
2020-07-03,confirmados,00 a 09,618,622,1240,False
2020-07-03,confirmados,10 a 19,1321,1144,2465,False
2020-07-03,confirmados,20 a 29,4601,4028,8629,False
2020-07-03,confirmados,30 a 39,6794,6006,12800,False
2020-07-03,confirmados,40 a 49,5753,4813,10566,False
2020-07-03,confirmados,50 a 59,4015,3434,7449,False
2020-07-03,confirmados,60 a 69,2090,1764,3854,False
2020-07-03,confirmados,70 a 79,1183,1023,2206,False
2020-07-03,confirmados,80 ou mais,887,669,1556,False
2020-07-06,confirmados,00 a 09,637,626,1263,False
2020-07-06,confirmados,10 a 19,1456,1250,2706,False
2020-07-06,confirmados,20 a 29,4942,4313,9255,False
2020-07-06,confirmados,30 a 39,7151,6319,13470,False
2020-07-06,confirmados,40 a 49,6043,5042,11085,False
2020-07-06,confirmados,50 a 59,4112,3510,7622,False
2020-07-06,confirmados,60 a 69,2124,1829,3953,False
2020-07-06,confirmados,70 a 79,1233,1041,2274,False
2020-07-06,confirmados,80 ou mais,870,653,1523,False
2020-07-08,confirmados,00 a 09,694,680,1374,False
2020-07-08,confirmados,10 a 19,1569,1335,2904,False
2020-07-08,confirmados,20 a 29,5243,4559,9802,False
2020-07-08,confirmados,30 a 39,7557,6635,14192,False
2020-07-08,confirmados,40 a 49,6423,5317,11740,False
2020-07-08,confirmados,50 a 59,4370,3730,8100,False
2020-07-08,confirmados,60 a 69,2250,1932,4182,False
2020-07-08,confirmados,70 a 79,1317,1107,2424,False
2020-07-08,confirmados,80 ou mais,923,703,1626,False
2020-07-10,confirmados,00 a 09,737,722,1459,False
2020-07-10,confirmados,10 a 19,1669,1414,3083,False
2020-07-10,confirmados,20 a 29,5534,4772,10306,False
2020-07-10,confirmados,30 a 39,7900,6919,14819,False
2020-07-10,confirmados,40 a 49,6729,5538,12267,False
2020-07-10,confirmados,50 a 59,4582,3910,8492,False
2020-07-10,confirmados,60 a 69,2380,2044,4424,False
2020-07-10,confirmados,70 a 79,1404,1145,2549,False
2020-07-10,confirmados,80 ou mais,978,741,1719,False
2020-07-13,confirmados,00 a 09,761,753,1514,False
2020-07-13,confirmados,10 a 19,1749,1476,3225,False
2020-07-13,confirmados,20 a 29,5728,4905,10633,False
2020-07-13,confirmados,30 a 39,8135,7114,15249,False
2020-07-13,confirmados,40 a 49,6961,5716,12677,False
2020-07-13,confirmados,50 a 59,4772,4042,8814,False
2020-07-13,confirmados,60 a 69,2465,2127,4592,False
2020-07-13,confirmados,70 a 79,1447,1189,2636,False
