Year,Sector,Patents Filed
2016,Biotechnology,320
2017,Biotechnology,350
2018,Biotechnology,375
2019,Biotechnology,400
2020,Biotechnology,420
2016,AI & Robotics,210
2017,AI & Robotics,260
2018,AI & Robotics,300
2019,AI & Robotics,340
2020,AI & Robotics,390
2016,Nanotechnology,120
2017,Nanotechnology,140
2018,Nanotechnology,160
2019,Nanotechnology,180
2020,Nanotechnology,200
2016,Renewable Energy,150
2017,Renewable Energy,165
2018,Renewable Energy,180
2019,Renewable Energy,200
2020,Renewable Energy,220
