Day,Happiness Level,Exercise Duration
2023-04-01,60,30
2023-04-02,70,45
2023-04-03,65,50
2023-04-04,80,40
2023-04-05,55,35
2023-04-06,75,60
2023-04-07,85,55
2023-04-08,90,70
2023-04-09,68,45
2023-04-10,72,50
2023-04-11,78,65
2023-04-12,62,35
2023-04-13,66,40
2023-04-14,77,60
2023-04-15,83,55
2023-04-16,88,70
2023-04-17,90,75
2023-04-18,75,65
2023-04-19,80,50
2023-04-20,85,60
2023-04-21,70,45
2023-04-22,65,40
2023-04-23,78,55
2023-04-24,82,60
2023-04-25,85,65
2023-04-26,88,70
2023-04-27,90,75
2023-04-28,80,60
2023-04-29,75,55
2023-04-30,70,50
