Field,Year,Funding,Papers
Astrophysics,2000,3.5,1200
Biology,2000,4.0,1500
Chemistry,2000,2.8,800
Computer Science,2000,5.0,900
Ecology,2000,2.2,500
Material Science,2000,3.4,700
Mathematics,2000,3.1,950
Medicine,2000,7.2,3000
Neuroscience,2000,4.8,1200
Physics,2000,3.3,1000
Astrophysics,2005,4.0,1400
Biology,2005,4.5,1800
Chemistry,2005,3.1,850
Computer Science,2005,6.0,1200
Ecology,2005,2.4,550
Material Science,2005,3.8,800
Mathematics,2005,3.6,1000
Medicine,2005,8.0,3500
Neuroscience,2005,5.2,1300
Physics,2005,3.7,1100
