Quarter,Company,Revenue
Q1 2016,TechCorp,220
Q2 2016,TechCorp,240
Q3 2016,TechCorp,260
Q4 2016,TechCorp,280
Q1 2017,TechCorp,300
Q2 2017,TechCorp,320
Q3 2017,TechCorp,340
Q4 2017,TechCorp,360
Q1 2016,Innova,100
Q2 2016,Innova,150
Q3 2016,Innova,200
Q4 2016,Innova,250
Q1 2017,Innova,300
Q2 2017,Innova,350
Q3 2017,Innova,400
Q4 2017,Innova,450
Q1 2016,Softify,180
Q2 2016,Softify,200
Q3 2016,Softify,220
Q4 2016,Softify,240
Q1 2017,Softify,260
Q2 2017,Softify,280
Q3 2017,Softify,300
Q4 2017,Softify,320
Q1 2016,DataX,150
Q2 2016,DataX,165
Q3 2016,DataX,180
Q4 2016,DataX,200
Q1 2017,DataX,220
Q2 2017,DataX,240
Q3 2017,DataX,260
Q4 2017,DataX,280
