areaName,incomeDeprevation,employmentDeprivation,childPoverty,femaleLE,maleLE,disabilityRate
"Anniesland, Jordanhill and Whiteinch",0.14,0.15,0.14,80.8,75.8,0.19
Arden and Carnwadric,0.26,0.25,0.34,76.0,72.8,0.22
Baillieston and Garrowhill,0.12,0.12,0.14,81.6,76.0,0.21
Balornock and Barmulloch,0.29,0.27,0.38,78.2,70.8,0.3
"Bellahouston, Craigton and Mosspark",0.2,0.18,0.22,80.5,73.9,0.29
Blackhill and Hogganfield,0.24,0.23,0.33,77.5,75.0,0.25
Blairdardie,0.18,0.16,0.2,79.4,75.0,0.25
Broomhill and Partick West,0.12,0.11,0.19,79.7,75.4,0.17
Calton and Bridgeton,0.25,0.21,0.47,76.6,67.8,0.24
Carmunnock,0.15,0.1,0.18,81.2,75.4,0.21
Castlemilk,0.36,0.33,0.44,76.8,68.9,0.31
Cathcart and Simshill,0.07,0.08,0.07,84.3,81.7,0.17
City Centre and Merchant City,0.14,0.12,0.37,76.4,69.7,0.15
Corkerhill and North Pollok,0.29,0.26,0.37,76.7,70.7,0.24
Croftfoot,0.14,0.12,0.25,79.4,75.6,0.16
Crookston and South Cardonald,0.2,0.17,0.27,79.8,75.3,0.24
Dennistoun,0.19,0.15,0.41,76.7,70.8,0.19
Drumchapel,0.36,0.31,0.48,73.9,68.9,0.27
Easterhouse,0.32,0.29,0.42,77.5,69.7,0.27
Glasgow,0.21,0.19,0.32,78.2,72.3,0.23
Glasgow North East,0.25,0.22,0.37,78.0,72.5,0.25
Glasgow North West,0.19,0.17,0.32,77.6,71.3,0.21
Glasgow South,0.21,0.19,0.29,78.8,72.9,0.22
Govanhill,0.24,0.22,0.33,78.1,71.4,0.23
Greater Gorbals,0.3,0.27,0.45,77.9,68.7,0.29
Greater Govan,0.28,0.27,0.36,74.6,66.7,0.27
Haghill and Carntyne,0.28,0.26,0.43,75.4,69.9,0.31
Hillhead and Woodlands,0.15,0.12,0.31,79.3,72.4,0.15
"Hyndland, Dowanhill and Partick East",0.08,0.08,0.11,80.9,76.7,0.14
Ibrox and Kingston,0.21,0.19,0.38,74.0,70.2,0.2
Kelvindale and Kelvinside,0.06,0.05,0.11,84.3,79.9,0.14
Kingspark and Mount Florida,0.12,0.11,0.16,82.8,74.4,0.17
Knightswood,0.23,0.23,0.3,77.6,71.6,0.29
Lambhill and Milton,0.29,0.28,0.39,77.0,69.8,0.3
Langside and Battlefield,0.13,0.11,0.24,81.4,74.6,0.16
Maryhill Road Corridor,0.22,0.19,0.39,76.1,70.1,0.22
Mount Vernon and East Shettleston,0.17,0.19,0.17,79.7,77.1,0.29
Newlands and Cathcart,0.09,0.08,0.11,81.8,79.2,0.17
North Cardonald and Penilee,0.23,0.19,0.33,78.5,73.5,0.25
North Maryhill and Summerston,0.21,0.19,0.31,79.5,72.0,0.23
Parkhead and Dalmarnock,0.38,0.36,0.52,75.8,67.6,0.32
Pollok,0.17,0.16,0.25,80.6,73.8,0.21
Pollokshaws and Mansewood,0.22,0.2,0.29,80.0,73.1,0.24
Pollokshields East,0.21,0.16,0.34,80.9,74.4,0.18
Pollokshields West,0.08,0.06,0.1,82.3,80.6,0.16
Priesthill and Househillwood,0.32,0.29,0.43,79.4,71.3,0.29
Riddrie and Cranhill,0.28,0.27,0.4,78.8,71.4,0.32
Robroyston and Millerston,0.07,0.07,0.09,80.0,75.9,0.13
Ruchazie and Garthamlock,0.3,0.27,0.41,78.6,70.4,0.25
Ruchill and Possilpark,0.35,0.33,0.47,73.1,66.2,0.3
Scotland,0.13,0.13,0.18,80.6,76.2,0.2
Shawlands and Strathbungo,0.1,0.09,0.16,80.3,76.1,0.14
"Sighthill, Roystonhill and Germiston",0.32,0.29,0.49,74.2,69.9,0.24
South Nitshill and Darnley,0.14,0.12,0.17,76.3,71.4,0.17
Springboig and Barlanark,0.31,0.29,0.43,78.3,71.5,0.3
Springburn,0.3,0.28,0.46,76.4,69.1,0.28
Temple and Anniesland,0.19,0.17,0.31,78.8,72.4,0.24
Tollcross and West Shettleston,0.27,0.26,0.37,76.2,69.8,0.27
Toryglen,0.3,0.28,0.38,77.9,72.5,0.29
Yoker and Scotstoun,0.24,0.21,0.35,80.2,74.0,0.21
Yorkhill and Anderston,0.12,0.1,0.34,75.9,67.4,0.12
