Unnamed: 0,index,Year,Country,GDP_CAP,refugees_asylum,continent
0,18,2020,Afghanistan,516.8665522,72445,Asia
1,48,2020,Albania,5332.160475,105,Europe
2,80,2020,Algeria,3337.252512,99775,Africa
3,112,2020,Angola,1603.993477,56069,Africa
4,146,2020,Argentina,8496.424142,13141,South America
5,176,2020,Armenia,4505.867364,108046,Asia
6,216,2020,Australia,51720.37076,138212,Oceania
7,248,2020,Austria,48809.22688,162526,Europe
8,278,2020,Azerbaijan,4229.910649,1620,Asia
9,297,2020,Bahrain,23501.91946,360,Asia
10,329,2020,Bangladesh,2233.305524,866552,Asia
11,333,2020,Barbados,16643.80658,5,North America
12,361,2020,Belarus,6542.797491,3043,Europe
13,393,2020,Belgium,45517.79493,94278,Europe
14,425,2020,Belize,5266.87616,2278,North America
15,457,2020,Benin,1237.949295,1860,Africa
16,482,2020,Bosnia and Herzegovina,6012.062767,5488,Europe
17,514,2020,Botswana,5863.203241,1039,Africa
18,546,2020,Brazil,6794.489159,261753,South America
19,576,2020,Bulgaria,10129.81296,23051,Europe
20,608,2020,Burkina Faso,833.2443426,20282,Africa
21,640,2020,Burundi,216.8267413,80375,Africa
22,669,2020,Cambodia,1577.911747,12,Asia
23,701,2020,Cameroon,1539.130559,443205,Africa
24,733,2020,Canada,43258.26387,194566,North America
25,744,2020,Cayman Islands,83329.45877,66,North America
26,774,2020,Chad,643.7722213,483217,Africa
27,806,2020,Chile,13094.45953,10122,South America
28,838,2020,China,10408.66976,304148,Asia
29,870,2020,Colombia,5307.215228,20890,South America
30,906,2020,Costa Rica,12132.87688,99337,North America
31,938,2020,Cote d'Ivoire,2288.119498,2310,
32,965,2020,Croatia,14198.75396,1523,Europe
33,996,2020,Cuba,9499.590202,232,North America
34,1027,2020,Cyprus,28036.18945,34480,Asia
35,1058,2020,Czechia,22992.87938,3456,
36,1090,2020,Denmark,60915.4244,37974,Europe
37,1122,2020,Djibouti,2917.996281,32004,Africa
38,1154,2020,Ecuador,5645.19929,130583,South America
39,1186,2020,El Salvador,3903.395839,101,North America
40,1226,2020,Estonia,23595.24368,282,Europe
41,1258,2020,Eswatini,3372.895601,2049,
42,1290,2020,Ethiopia,918.6525941,802355,Africa
43,1306,2020,Fiji,4864.117047,19,
44,1338,2020,Finland,49170.75215,29744,Europe
45,1370,2020,France,39055.28293,554192,Europe
46,1401,2020,Gabon,6680.08267,547,Africa
47,1428,2020,Georgia,4255.742993,3062,Asia
48,1460,2020,Germany,46772.82535,1453753,Europe
49,1492,2020,Ghana,2176.579459,13917,Africa
50,1524,2020,Greece,17658.9473,163974,Europe
51,1558,2020,Guatemala,4604.576679,1226,North America
52,1590,2020,Guinea,1073.659337,9572,Africa
53,1622,2020,Guinea-Bissau,710.2581385,1876,Africa
54,1634,2020,Guyana,6863.074346,95,South America
55,1646,2020,Haiti,1283.14083,5,North America
56,1677,2020,Honduras,2354.119614,201,North America
57,1708,2020,Hungary,16120.98905,5876,Europe
58,1740,2020,Iceland,59200.17794,1641,Europe
59,1772,2020,India,1910.421473,206590,Asia
60,1804,2020,Indonesia,3894.272202,13711,Asia
61,1836,2020,Iraq,4332.304125,283047,Asia
62,1868,2020,Ireland,85420.19086,16428,Europe
63,1892,2020,Israel,44846.7916,34361,Asia
64,1924,2020,Italy,31911.03579,181934,Europe
65,1947,2020,Jamaica,4897.265897,32,North America
66,1979,2020,Japan,39918.16756,24897,Asia
67,2011,2020,Jordan,4042.76935,752147,Asia
68,2040,2020,Kazakhstan,9121.637138,663,Asia
69,2072,2020,Kenya,1936.424589,504832,Africa
70,2103,2020,Kuwait,24300.32944,1786,Asia
71,2125,2020,Latvia,18207.13964,710,Europe
72,2157,2020,Lebanon,5599.957523,880666,Asia
73,2174,2020,Lesotho,989.8471707,450,Africa
74,2196,2020,Liberia,597.5296919,18881,Africa
75,2225,2020,Libya,7568.042011,44188,
76,2247,2020,Liechtenstein,157754.9544,149,Europe
77,2271,2020,Lithuania,20339.52127,2002,Europe
78,2303,2020,Luxembourg,117370.4969,6558,Europe
79,2318,2020,Madagascar,462.4042237,301,Africa
80,2350,2020,Malawi,628.699482,48021,Africa
81,2382,2020,Malaysia,10160.78325,179724,Asia
82,2414,2020,Mali,822.906144,48349,Africa
83,2443,2020,Malta,28977.56557,13215,Europe
84,2475,2020,Mauritania,1868.466574,95567,Africa
85,2483,2020,Mauritius,9007.419102,20,Africa
86,2515,2020,Mexico,8655.000682,129226,North America
87,2526,2020,Monaco,182538.6383,22,Europe
88,2542,2020,Mongolia,4041.174196,10,Asia
89,2558,2020,Montenegro,7677.152226,359,Europe
90,2590,2020,Morocco,3258.121338,13516,Africa
91,2621,2020,Mozambique,449.9552098,27199,Africa
92,2652,2020,Namibia,4251.172766,5792,Africa
93,2662,2020,Nauru,9307.886768,1164,Oceania
94,2694,2020,Nepal,1139.190277,19597,Asia
95,2726,2020,Netherlands,52162.57012,107779,Europe
96,2758,2020,New Zealand,41596.5055,2439,Oceania
97,2790,2020,Nicaragua,1863.109257,437,North America
