Continent,Height,Weight
Oceania,184.0,87.0
Oceania,178.0,66.0
Oceania,169.0,74.0
Oceania,197.0,92.0
Oceania,179.0,68.0
Oceania,187.0,81.0
Oceania,177.0,70.0
Oceania,178.0,64.0
Oceania,189.0,70.0
Oceania,169.0,68.0
Oceania,185.0,98.0
Oceania,163.0,93.0
Oceania,193.0,120.0
Oceania,178.0,72.0
Oceania,168.0,59.0
Oceania,170.0,59.0
Oceania,162.0,60.0
Oceania,184.0,84.0
Oceania,169.0,61.0
Oceania,188.0,73.0
Oceania,175.0,60.0
Oceania,173.0,65.0
Oceania,175.0,89.0
Oceania,165.0,74.0
Oceania,168.0,66.0
Oceania,169.0,64.0
Oceania,182.0,71.0
Oceania,166.0,55.0
Oceania,174.0,70.0
Oceania,190.0,91.0
Oceania,183.0,75.0
Oceania,171.0,58.0
Oceania,175.0,61.0
Oceania,185.0,80.0
Oceania,165.0,64.0
Oceania,194.0,91.0
Oceania,168.0,59.0
Oceania,170.0,75.0
Oceania,180.0,73.0
Oceania,180.0,72.0
Oceania,177.0,68.0
Oceania,170.0,65.0
Oceania,185.0,74.0
Oceania,190.0,84.0
Oceania,157.0,46.0
Oceania,170.0,59.0
Oceania,178.0,72.0
Oceania,177.0,63.0
Oceania,179.0,80.0
Oceania,173.0,73.0
Oceania,184.0,83.0
Oceania,178.0,73.0
Oceania,171.0,79.0
Oceania,168.0,63.0
Oceania,165.0,55.0
Oceania,171.0,70.0
Oceania,163.0,55.0
Oceania,211.0,102.0
Oceania,189.0,74.0
Oceania,187.0,86.0
Oceania,194.0,80.0
Oceania,173.0,66.0
Oceania,181.0,75.0
Oceania,183.0,89.0
Oceania,187.0,72.0
Oceania,183.0,89.0
Oceania,168.0,51.0
Oceania,188.0,95.0
Oceania,162.0,54.0
Oceania,188.0,74.0
Oceania,196.0,122.0
Oceania,176.0,76.0
Oceania,168.0,59.0
Oceania,173.0,62.0
Oceania,175.0,80.0
Oceania,174.0,67.0
Oceania,188.0,127.0
Oceania,162.0,65.0
Oceania,188.0,88.0
Oceania,183.0,67.0
Oceania,173.0,73.0
Oceania,165.0,63.0
Oceania,213.0,112.0
Oceania,187.0,81.0
Oceania,183.0,82.0
Oceania,173.0,78.0
Oceania,170.0,70.0
Oceania,169.0,75.0
Oceania,182.0,79.0
Oceania,177.0,68.0
Oceania,186.0,78.0
Oceania,185.0,78.0
Oceania,168.0,64.0
Oceania,163.0,53.0
Oceania,199.0,95.0
Oceania,187.0,74.0
Oceania,171.0,59.0
Oceania,178.0,80.0
Oceania,180.0,80.0
Oceania,179.0,76.0
Oceania,166.0,63.0
Oceania,175.0,66.0
Oceania,162.0,60.0
Oceania,191.0,80.0
Oceania,200.0,92.0
Oceania,172.0,72.0
Oceania,170.0,76.0
Oceania,187.0,87.0
Oceania,188.0,70.0
Oceania,173.0,64.0
Oceania,177.0,82.0
Oceania,189.0,89.0
Oceania,165.0,55.0
Oceania,176.0,68.0
Oceania,184.0,71.0
Oceania,161.0,59.0
Oceania,153.0,65.0
Oceania,185.0,78.0
Oceania,184.0,82.0
Oceania,174.0,65.0
Oceania,166.0,63.0
Oceania,153.0,53.0
Oceania,188.0,120.0
Oceania,167.0,58.0
Oceania,159.0,52.0
Oceania,186.0,88.0
Oceania,175.0,65.0
Oceania,164.0,66.0
Oceania,193.0,85.0
Oceania,165.0,57.0
Oceania,167.0,66.0
Oceania,165.0,60.0
Oceania,190.0,70.0
Oceania,177.0,58.0
Oceania,193.0,90.0
Oceania,188.0,77.0
Oceania,178.0,73.0
Oceania,186.0,78.0
Oceania,179.0,69.0
Oceania,178.0,69.0
Oceania,165.0,66.0
Oceania,177.0,61.0
Oceania,169.0,65.0
Oceania,195.0,91.0
Oceania,181.0,67.0
Oceania,183.0,70.0
Oceania,176.0,69.0
Oceania,185.0,74.0
Oceania,184.0,78.0
Oceania,206.0,118.0
Oceania,181.0,80.0
Oceania,175.0,70.0
Oceania,179.0,66.0
Oceania,160.0,100.0
Oceania,172.0,89.0
Oceania,186.0,70.0
Oceania,172.0,62.0
Oceania,159.0,54.0
Oceania,188.0,74.0
Oceania,191.0,83.0
Oceania,190.0,112.0
Oceania,187.0,77.0
Oceania,185.0,71.0
Oceania,178.0,70.0
Oceania,163.0,48.0
Oceania,166.0,85.0
Oceania,172.0,75.0
Oceania,169.0,64.0
Oceania,193.0,73.0
Oceania,184.0,89.0
Oceania,160.0,48.0
Oceania,175.0,75.0
Oceania,167.0,69.0
Oceania,190.0,100.0
Oceania,165.0,60.0
Oceania,170.0,74.0
Oceania,163.0,52.0
Oceania,166.0,68.0
Oceania,179.0,98.0
Oceania,166.0,67.0
Oceania,190.0,90.0
Oceania,153.0,58.0
Oceania,205.0,97.0
Oceania,171.0,57.0
Oceania,185.0,82.0
Oceania,175.0,75.0
Oceania,161.0,54.0
Oceania,177.0,72.0
Oceania,160.0,57.0
Oceania,174.0,75.0
Oceania,198.0,86.0
Oceania,193.0,75.0
Oceania,171.0,59.0
Oceania,183.0,70.0
Oceania,174.0,66.0
Oceania,185.0,110.0
Oceania,181.0,73.0
Oceania,187.0,80.0
Oceania,160.0,57.0
Oceania,175.0,67.0
Oceania,165.0,67.0
Oceania,189.0,85.0
Oceania,181.0,80.0
Oceania,173.0,68.0
Oceania,162.0,62.0
Oceania,185.0,82.0
Oceania,165.0,86.0
Oceania,176.0,76.0
Oceania,194.0,97.0
Oceania,185.0,74.0
Oceania,176.0,69.0
Oceania,174.0,75.0
Oceania,195.0,89.0
Oceania,171.0,71.0
Oceania,185.0,85.0
Oceania,195.0,90.0
Oceania,163.0,52.0
Oceania,190.0,80.0
Oceania,190.0,87.0
Oceania,168.0,60.0
Oceania,180.0,80.0
Oceania,183.0,72.0
Oceania,169.0,57.0
Oceania,167.0,74.0
Oceania,182.0,90.0
Oceania,173.0,56.0
Oceania,157.0,41.0
Oceania,208.0,115.0
Oceania,192.0,94.0
Oceania,180.0,78.0
Oceania,193.0,110.0
Oceania,188.0,93.0
Oceania,184.0,74.0
Oceania,170.0,82.0
Oceania,196.0,95.0
Oceania,181.0,87.0
Oceania,175.0,71.0
Oceania,170.0,65.0
Oceania,175.0,70.0
Oceania,168.0,66.0
Oceania,182.0,72.0
Oceania,183.0,94.0
Oceania,188.0,100.0
Oceania,162.0,59.0
Oceania,181.0,74.0
Oceania,151.0,51.0
Oceania,163.0,64.0
Oceania,183.0,78.0
Oceania,173.0,65.0
Oceania,186.0,84.0
Oceania,186.0,79.0
Oceania,183.0,73.0
Oceania,169.0,67.0
Oceania,182.0,72.0
Oceania,173.0,62.0
Oceania,180.0,72.0
Oceania,170.0,65.0
Oceania,172.0,59.0
Oceania,167.0,57.0
Oceania,174.0,60.0
Oceania,193.0,87.0
Oceania,165.0,60.0
Oceania,185.0,84.0
Oceania,173.0,70.0
Oceania,187.0,90.0
Oceania,180.0,70.0
Oceania,213.0,105.0
Oceania,158.0,50.0
Oceania,182.0,59.0
Oceania,151.0,66.0
Oceania,181.0,58.0
Oceania,178.0,69.0
Oceania,168.0,63.0
Oceania,179.0,70.0
Oceania,183.0,78.0
Oceania,168.0,60.0
Oceania,195.0,100.0
Oceania,180.0,68.0
Oceania,183.0,65.0
Oceania,182.0,83.0
Oceania,173.0,73.0
Oceania,167.0,55.0
Oceania,184.0,84.0
Oceania,175.0,70.0
Oceania,185.0,78.0
Oceania,164.0,58.0
Oceania,166.0,60.0
Oceania,185.0,72.0
Oceania,185.0,92.0
Oceania,186.0,86.0
Oceania,174.0,83.0
Oceania,169.0,56.0
Oceania,172.0,71.0
Oceania,188.0,86.0
Oceania,174.0,55.0
Oceania,178.0,77.0
Oceania,185.0,74.0
Oceania,174.0,70.0
Oceania,165.0,66.0
Oceania,192.0,80.0
Oceania,171.0,55.0
Oceania,178.0,65.0
Oceania,173.0,64.0
Oceania,185.0,80.0
Oceania,180.0,80.0
Oceania,178.0,68.0
Oceania,165.0,60.0
Oceania,173.0,67.0
Oceania,170.0,63.0
Oceania,180.0,70.0
Oceania,183.0,78.0
Oceania,175.0,57.0
Oceania,167.0,50.0
Oceania,189.0,86.0
Oceania,187.0,72.0
Oceania,190.0,140.0
Oceania,189.0,71.0
Oceania,171.0,68.0
Oceania,162.0,59.0
Oceania,189.0,85.0
Oceania,180.0,72.0
Oceania,187.0,81.0
Oceania,163.0,60.0
Oceania,175.0,59.0
Oceania,165.0,55.0
Oceania,165.0,60.0
Oceania,181.0,82.0
Oceania,178.0,78.0
Oceania,179.0,78.0
Oceania,178.0,65.0
Oceania,150.0,54.0
Oceania,166.0,49.0
Oceania,166.0,62.0
Oceania,180.0,81.0
Oceania,167.0,62.0
Oceania,175.0,100.0
Oceania,171.0,72.0
Oceania,163.0,70.0
Oceania,175.0,63.0
Oceania,183.0,109.0
Oceania,183.0,214.0
Oceania,171.0,64.0
Oceania,191.0,81.0
Oceania,180.0,60.0
Oceania,173.0,69.0
Oceania,180.0,66.0
Oceania,163.0,49.0
Oceania,165.0,60.0
Oceania,173.0,58.0
Oceania,179.0,75.0
Oceania,180.0,65.0
Oceania,191.0,79.0
Oceania,178.0,66.0
Oceania,173.0,68.0
Oceania,174.0,66.0
Oceania,213.0,122.0
Oceania,167.0,54.0
Oceania,178.0,73.0
Oceania,177.0,63.0
Oceania,180.0,78.0
Oceania,177.0,79.0
Oceania,189.0,83.0
Oceania,191.0,82.0
Oceania,175.0,90.0
Oceania,167.0,60.0
Oceania,173.0,68.0
Oceania,186.0,71.0
Oceania,177.0,73.0
Oceania,189.0,89.0
Oceania,170.0,70.0
Oceania,160.0,49.0
Oceania,183.0,75.0
Oceania,210.0,115.0
Oceania,179.0,73.0
Oceania,190.0,93.0
Oceania,169.0,78.0
Oceania,187.0,92.0
Oceania,166.0,56.0
Oceania,180.0,75.0
Oceania,208.0,117.0
Oceania,185.0,89.0
Oceania,183.0,104.0
Oceania,165.0,70.0
Oceania,174.0,69.0
Oceania,174.0,69.0
Oceania,186.0,78.0
Oceania,185.0,85.0
Oceania,191.0,83.0
Oceania,166.0,58.0
Oceania,167.0,58.0
Oceania,196.0,98.0
Oceania,171.0,61.0
Oceania,187.0,75.0
Oceania,175.0,65.0
Oceania,186.0,86.0
Oceania,180.0,73.0
Oceania,172.0,56.0
Oceania,167.0,67.0
Oceania,157.0,50.0
Oceania,191.0,89.0
Oceania,165.0,57.0
Oceania,175.0,53.0
Oceania,190.0,95.0
Oceania,169.0,60.0
Oceania,175.0,68.0
Oceania,189.0,83.0
Oceania,171.0,59.0
Oceania,185.0,80.0
Oceania,185.0,79.0
Oceania,160.0,54.0
Oceania,181.0,70.0
Oceania,191.0,92.0
Oceania,185.0,86.0
Oceania,171.0,78.0
Oceania,183.0,67.0
Oceania,168.0,57.0
Oceania,180.0,79.0
Oceania,178.0,76.0
Oceania,182.0,82.0
Oceania,180.0,75.0
Oceania,178.0,80.0
Oceania,178.0,74.0
Oceania,208.0,106.0
Oceania,172.0,69.0
Oceania,158.0,48.0
Oceania,209.0,120.0
