Unnamed: 0,Type,GHG emissions covered [MtCO2e],Year of implementation,Value [billion US$],Proportion of global GHG emissions covered,Value 1,Value 2
0,ETS,140.36,2007,6.365888747,0.27,-0.0505383741816785,0.7482888868096143
1,Carbon tax,0.0,2017,1.070971867,0.0,-0.4285245263509383,-0.4852627444870652
2,Carbon tax,79.46122723,2018,0.001622049,0.16,-0.2773233022542831,-0.6344601670579766
3,ETS,0.0,2012,0.0,0.0,-0.4961989997393223,0.0872743539880935
4,ETS,34.41238328,2022,0.0,0.07,-0.3461361285918107,-1.0972350568582074
5,ETS,0.0,2016,0.0,0.0,-0.4665283890103774,-0.3839241492204615
6,Carbon tax,46.41,2008,1.562100384,0.09,-0.3813495177761626,0.5739080202607355
8,ETS,31.888584,2013,0.228478644,0.06,-0.4146263202689756,-0.0328177630970077
12,ETS,309.468,2012,9.47715,0.6,0.440585890476699,0.1757695509771276
13,ETS,53.34974168,2019,2.131943002,0.1,-0.2704538974456019,-0.7142471439159818
14,Carbon tax,167.6706167,2019,3.421115729,0.33,0.0170569662708101,-0.715948598262609
17,Carbon tax,36.93137551,2017,0.1655,0.07,-0.3757765133104684,-0.5059264469042876
18,ETS,4500.0,2021,41.39932063,8.79,10.47520013454504,-1.1710307114889789
19,ETS,67.139766,2014,0.566144556,0.13,-0.3207726503671623,-0.1520182369748592
21,Carbon tax,44.67561579,2017,0.125855396,0.09,-0.3574824867791804,-0.5082033348462469
23,Carbon tax,17.20838193,1992,0.542291292,0.03,-0.5938840542972015,2.448582792914181
24,ETS,1626.615082,2005,136.0190418,3.18,6.852289275539271,2.7007625744990835
25,Carbon tax,1.40975991,2000,0.002775157,0.0,-0.5836085855811701,1.5007819604105193
26,Carbon tax,26.92882366,1990,1.43468775,0.05,-0.561671962995012,2.6960477795925457
27,Carbon tax,157.7754771,2014,9.06264,0.31,0.1193367982498298,-0.0383724868401926
28,ETS,125.128704,2016,0.365163238,0.24,-0.1882006928208174,-0.401303883495783
30,ETS,349.4383534,2021,9.979956,0.68,0.6091252772256045,-0.8842019134506215
31,ETS,259.2336,2013,5.817253255,0.51,0.2394402784115437,0.0106454318029311
33,ETS,63.801135,2014,1.95489715,0.12,-0.290247630516666,-0.1298884942273687
34,Carbon tax,2.723247608,2010,0.051805729,0.01,-0.5010827935217691,0.3229424944479489
37,Carbon tax,27.04608349,2010,0.585756,0.05,-0.4374371303932187,0.3269961701809753
41,Carbon tax,952.6586723,2012,2.146481178,1.86,1.6228580633522636,-0.0563420338127262
