Unnamed: 0,ConstituencyName,RegionName,MedianHPrice,MedianWeeklyWage,YearlySalary,Housepriceincreaseover5years,%Growth5years,%affordability,Component 1,Component 2
0,Aldershot,South East,335000,576,29968,7000,2,9,1.2496118035031694,-0.5133032835863713
1,Aldridge-Brownhills,West Midlands,222175,508,26411,6835,4,12,-0.5727613090138901,0.152777220475444
2,Altrincham and Sale West,North West,405000,475,24695,16810,5,6,0.4982674780167358,2.953512697193307
3,Amber Valley,East Midlands,175000,505,26270,6000,4,15,-1.082667102489435,-0.2892040587723956
4,Arundel and South Downs,South East,470000,491,25537,16000,4,5,1.115634974310911,2.622898621996008
5,Ashfield,East Midlands,165000,496,25813,6800,5,16,-1.420630292488968,0.0644244225997916
6,Ashford,South East,315000,526,27336,7500,3,9,0.4142826787076818,0.2404085655120798
7,Ashton-under-Lyne,North West,175000,433,22511,8600,7,13,-2.122955819741132,1.7080900982732423
8,Aylesbury,South East,330000,508,26411,4000,1,8,0.4264752646064219,-0.5165132632062929
9,Banbury,South East,303000,525,27305,200,0,9,0.4222912052047838,-1.604910132490658
10,Barking,London,345000,458,23795,8750,3,7,-0.1311806275378226,1.248723447899263
11,Barnsley Central,Yorkshire and The Humber,141000,482,25038,2700,2,18,-1.6628205707885764,-1.414888269456689
12,Barnsley East,Yorkshire and The Humber,136500,499,25948,3700,3,19,-1.6314320508958189,-1.255814342542369
13,Barrow and Furness,North West,154475,573,29806,2950,2,19,-0.5041864066616085,-2.258244517423198
14,Basildon and Billericay,East of England,340000,439,22823,7000,2,7,-0.3421883539286679,0.8920184160434111
15,Basingstoke,South East,295000,579,30108,1000,0,10,1.0461392820361304,-2.07484679546903
16,Bassetlaw,East Midlands,175000,480,24944,5001,3,14,-1.233657084264706,-0.3845588403074537
17,Bath,South West,400000,535,27830,3100,1,7,1.066147594243545,-0.678813834446529
18,Batley and Spen,Yorkshire and The Humber,155000,495,25735,5000,4,17,-1.5124308049121218,-0.5546082422941536
19,Battersea,London,765000,577,29994,10402,1,4,3.4639741999418185,0.8324899018578239
20,Beaconsfield,South East,595000,614,31928,14000,3,5,3.183328643978691,1.1848056492258474
21,Beckenham,London,535000,628,32635,8000,2,6,2.920677282639736,-0.2350480922637685
22,Bedford,East of England,270000,512,26629,5100,2,10,0.0120569103167662,-0.4076114582356872
23,Bermondsey and Old Southwark,London,515000,653,33966,-10000,-2,7,2.7803415438243326,-4.183188262501517
24,Berwick-upon-Tweed,North East,195000,371,19266,3010,2,10,-2.184773146605776,0.4301536075097914
25,Bethnal Green and Bow,London,500000,786,40867,-4000,-1,8,4.521650517094268,-4.364475956323669
26,Beverley and Holderness,Yorkshire and The Humber,195000,452,23504,5010,3,12,-1.3466711133821885,0.0783869436578807
27,Bexhill and Battle,South East,325000,431,22386,8650,3,7,-0.5566073937595677,1.4420275180226678
28,Bexleyheath and Crayford,London,387500,767,39863,8600,2,10,3.9002406345339913,-1.983943719988615
