Country,Air emissions,Population
Belgium,9.53,11.55
Bulgaria,8.16,6.92
Czechia,10.37,10.49
Denmark,12.27,5.84
Germany (until 1990 former territory of the FRG),9.55,83.16
Estonia,10.01,1.33
Ireland,13.21,5.01
Greece,8.57,10.68
Spain,6.22,47.4
France,6.21,67.66
Croatia,5.94,4.04
Italy,7.04,59.24
Cyprus,9.54,0.9
Latvia,6.35,1.89
Lithuania,9.83,2.8
Luxembourg,16.01,0.63
Hungary,6.92,9.73
Malta,4.46,0.52
Netherlands,10.46,17.48
Austria,8.06,8.93
Poland,11.12,37.84
Portugal,5.67,10.3
Romania,6.29,19.2
Slovenia,7.64,2.11
Slovakia,7.57,5.46
Finland,8.9,5.53
Sweden,4.66,10.38
Iceland,14.61,0.37
Norway,12.61,5.39
