longitude,latitude,country
-76.4813,44.2307,Canada
-81.2496,42.9837,Canada
-66.058,45.2788,Canada
-73.2533,45.3057,Canada
-67.9245,47.1652,Canada
-120.3394,50.6758,Canada
-106.65100000000001,35.0841,USA
-79.6902,44.3893,Canada
-84.3201,46.5239,Canada
-98.4951,29.4246,USA
-77.0366,38.895,USA
-93.3968,48.6114,Canada
-67.2799,45.2004,Canada
-122.8565,49.3144,Canada
-63.571999999999996,44.68,Canada
-68.3219,47.3556,USA
-97.1385,49.8955,Canada
-122.3295,49.0521,Canada
-87.6244,41.8756,USA
-68.5897,47.2587,USA
-73.4467,45.5172,Canada
-63.5859,44.6486,Canada
-97.7437,30.2711,USA
-79.0247,43.8504,Canada
-111.9639,49.0017,Canada
-129.9912,55.9383,Canada
-78.9186,42.9131,Canada
-71.7985,45.0126,Canada
-95.9929,36.1557,USA
-123.0833,49.0167,Canada
-94.5648,48.7227,Canada
-118.7148,50.4165,Canada
-97.2049,48.9988,USA
-122.7933,49.2843,Canada
-97.1056,32.7019,USA
-72.5565,46.3327,Canada
-75.1635,39.9527,USA
-110.9748,32.2229,USA
-67.2781,45.18899999999999,USA
-83.0466,42.3316,USA
-79.7599,43.6858,Canada
-84.3201,46.5239,Canada
-106.6608,52.1318,Canada
-83.0007,39.9623,USA
-75.7106,45.4284,Canada
-52.7151,47.5617,Canada
-113.508,53.5354,Canada
-76.6108,39.2909,USA
-97.5533,48.7531,USA
-66.9843,44.8607,USA
-113.8184,52.2698,Canada
-113.2966,53.5257,Canada
-79.4394,43.8801,Canada
-66.9905,44.9065,USA
-112.0741,33.4484,USA
-130.0437,55.9773,USA
-75.7887,45.3113,Canada
-80.8431,35.2272,USA
-79.6667,43.4474,Canada
-121.8906,37.3362,USA
-85.7039,38.2092,USA
-73.6515,45.7081,Canada
-122.4199,37.779,USA
-79.4109,43.7615,Canada
-67.9245,47.1652,Canada
-111.9626,48.9971,USA
-79.0359,43.1726,USA
-73.6875,45.5089,Canada
-111.8315,33.4151,USA
-114.0626,51.0534,Canada
-73.6289,45.468,Canada
-75.9774,36.853,USA
-79.3839,43.6535,Canada
-87.9225,43.035,USA
-72.7218,45.398999999999994,Canada
-117.1628,32.7174,USA
-67.4297,45.5634,USA
-83.0466,42.3316,USA
-123.1374,49.1632,Canada
-119.4983,49.8893,Canada
-79.8729,43.2561,Canada
-122.5997,49.2197,Canada
-80.2632,43.1408,Canada
-79.2441,43.158,Canada
-97.2089,49.0061,Canada
-94.6002,48.7124,USA
-102.5496,48.9959,USA
-83.0353,42.3171,Canada
-71.889,45.4033,Canada
-66.6458,45.9664,Canada
-71.0692,48.406000000000006,Canada
-84.3902,33.7491,USA
-122.7436,48.9881,USA
-102.54799999999999,49.0014,Canada
-104.6173,50.4488,Canada
-122.3301,47.6038,USA
-123.11399999999999,49.2609,Canada
-71.0583,42.3603,USA
-134.4197,58.3019,USA
-75.4864,44.6943,USA
-82.4405,42.9816,USA
-71.3998,46.8884,Canada
-122.6742,45.5202,USA
-67.9353,47.1575,USA
-69.265,47.5052,Canada
-97.3327,32.7532,USA
-123.365,48.4283,Canada
-68.3281,47.3644,Canada
-78.8784,42.8867,USA
-79.5268,43.7942,Canada
-79.6457,43.5903,Canada
-79.4608,46.3092,Canada
-95.9384,41.2587,USA
-79.0615,43.0844,USA
-79.7967,43.3249,Canada
-69.2275,47.4562,USA
-123.0833,49.0833,Canada
-90.0516,35.149,USA
-122.2714,37.8045,USA
-119.7848,36.7394,USA
-104.8253,38.834,USA
-74.0132,45.7754,Canada
-79.3377,43.8564,Canada
-93.2655,44.9773,USA
-95.3677,29.7589,USA
-80.3123,43.3601,Canada
-79.1153,43.101000000000006,Canada
-79.7599,43.6858,Canada
-75.5192,44.7184,Canada
-68.6034,47.2527,Canada
-83.0353,42.3171,Canada
-73.7344,45.6056,Canada
-72.0968,45.0072,Canada
-67.5735,46.1503,Canada
-80.4944,43.4532,Canada
-79.1153,43.101000000000006,Canada
-110.679,50.043,Canada
-78.3199,44.3048,Canada
-79.2506,42.9931,Canada
-96.7969,32.7763,USA
-122.3295,49.0521,Canada
-123.07799999999999,48.9854,USA
-97.5171,35.473,USA
-104.9849,39.7392,USA
-94.5781,39.1001,USA
-122.9109,49.2068,Canada
-89.2598,48.4064,Canada
-82.4584,27.9478,USA
-71.1473,48.382,Canada
-71.1753,46.791000000000004,Canada
-73.6104,45.4972,Canada
-79.8828,43.5137,Canada
-118.2428,34.0537,USA
-118.1916,33.769,USA
-86.1584,39.7683,USA
-72.9406,45.6275,Canada
-75.6903,45.4211,Canada
-76.3019,44.211000000000006,Canada
-115.1485,36.1673,USA
-122.8491,49.1913,Canada
-67.4253,45.5672,Canada
-122.8491,49.1913,Canada
-76.3305,44.1255,USA
-74.7287,45.0184,Canada
-121.4944,38.5816,USA
-79.5656,43.6436,Canada
-66.9195,44.8938,Canada
