sample_id,taxon,TSNE 1,TSNE 2
Cancer1,Acinetobacter,18.419960022,-7.0045485497
Cancer1,Actinomyces,18.2789115906,3.1150007248
Cancer1,Akkermansia,-28.6494579315,-8.2044992447
Cancer1,Alistipes,-5.3994007111,26.8193073273
Cancer1,Anaerostipes,-28.2344856262,-1.6000401974
Cancer1,Atopobium,15.6390228271,-16.5520496368
Cancer1,Bacillus,23.005531311,-4.7356939316
Cancer1,Bacteroides,-28.5949516296,32.0616378784
Cancer1,Bifidobacterium,-12.3578615189,24.7185382843
Cancer1,Bilophila,22.9938392639,-26.9536323547
Cancer1,Blautia,-29.5719795227,17.5581531525
Cancer1,Butyricicoccus,-8.6917276382,-4.9501094818
Cancer1,Butyricimonas,11.1030960083,-5.2811141014
Cancer1,Collinsella,13.1992340088,4.3187403679
Cancer1,Desulfovibrio,7.3652896881,-6.0225429535
Cancer1,Dorea,-6.9793248177,5.0521073341
Cancer1,Enterococcus,20.960773468,-2.9550373554
Cancer1,Erysipelatoclostridium,17.0992794037,-15.246465683
Cancer1,Faecalibacterium,-11.9325504303,0.7537255287
Cancer1,Gemella,18.9403305054,-20.053106308
Cancer1,Haemophilus,14.3673124313,11.5812091827
Cancer1,Lachnoclostridium,4.0051579475,12.8620223999
Cancer1,Lachnospira,1.6264470816,-2.8328328133
Cancer1,Listeria,8.9538803101,-10.8067083359
Cancer1,Mogibacterium,20.6116333008,-22.4098949432
Cancer1,Neisseria,11.6467981339,-9.2644081116
Cancer1,Odoribacter,4.9176435471,7.3701281548
Cancer1,Parabacteroides,7.0086531639,25.1441822052
Cancer1,Parasutterella,27.9661045074,-33.514591217
Cancer1,Phascolarctobacterium,14.2711992264,28.998916626
Cancer1,Pseudomonas,21.9917583466,-5.3781652451
Cancer1,Roseburia,-20.4189052582,-6.9906964302
Cancer1,Staphylococcus,8.7707691193,13.1696529388
Cancer1,Streptococcus,-12.0856666565,17.7726306915
Cancer1,Subdoligranulum,-22.1314506531,-10.5276079178
Cancer1,Veillonella,1.1635875702,18.9054145813
Cancer2,Acinetobacter,19.1987304688,-7.7885513306
Cancer2,Actinomyces,18.6760349274,2.3961741924
Cancer2,Alistipes,-3.9174478054,26.1222991943
Cancer2,Anaerostipes,-26.4301891327,-0.357116878
Cancer2,Bacteroides,-23.2192573547,32.4349555969
Cancer2,Bilophila,22.1486949921,-25.4567070007
Cancer2,Blautia,-29.6074867249,20.4083938599
Cancer2,Butyricicoccus,-6.9918270111,-6.9973311424
Cancer2,Collinsella,13.2855710983,6.3840813637
Cancer2,Dorea,-13.3600435257,7.9517254829
Cancer2,Enterococcus,20.9108848572,-3.3562426567
Cancer2,Erysipelatoclostridium,18.3680973053,-17.1166629791
Cancer2,Faecalibacterium,-23.5220184326,9.3897504807
Cancer2,Haemophilus,16.1690921783,13.5523014069
Cancer2,Lachnoclostridium,3.8056066036,14.6884012222
Cancer2,Lachnospira,2.4883394241,-3.0122756958
Cancer2,Lactobacillus,22.2022972107,-14.1173458099
Cancer2,Listeria,9.3489313126,-11.2021350861
Cancer2,Methanobrevibacter,-33.2157058716,11.7965526581
Cancer2,Neisseria,12.6006679535,-10.0608415604
Cancer2,Odoribacter,4.8208751678,7.8392472267
Cancer2,Parabacteroides,5.6548395157,27.3948707581
Cancer2,Phascolarctobacterium,-5.3328032494,-21.2218761444
Cancer2,Porphyromonas,2.2958118916,6.9017767906
Cancer2,Pseudomonas,21.1095981598,-7.2890219688
Cancer2,Roseburia,-16.4583969116,-6.470515728
Cancer2,Staphylococcus,8.8229207993,13.0794372559
Cancer2,Streptococcus,-16.3289661407,20.0935630798
Cancer2,Subdoligranulum,-24.1160297394,-12.8497629166
Cancer2,Veillonella,14.1565151215,-1.2467941046
Cancer3,Acidaminococcus,14.0094451904,-9.7743873596
Cancer3,Actinomyces,18.3261299133,1.0706022978
Cancer3,Akkermansia,-28.0264358521,-8.2182092667
Cancer3,Alistipes,-2.9735331535,23.6579208374
Cancer3,Anaerostipes,-29.8953666687,0.7615689635
Cancer3,Bacteroides,-19.4421787262,31.7056846619
Cancer3,Barnesiella,23.9282455444,-17.0645942688
Cancer3,Bifidobacterium,-14.2903060913,25.2967147827
Cancer3,Blautia,-33.0427970886,26.3412265778
Cancer3,Butyricicoccus,-10.5768957138,-3.4800395966
Cancer3,Collinsella,-6.896900177,34.5212669373
Cancer3,Dorea,-12.8045368195,8.6032514572
Cancer3,Erysipelatoclostridium,17.0483207703,-13.5841169357
Cancer3,Faecalibacterium,-20.8228588104,11.5327806473
Cancer3,Faecalitalea,7.6244735718,-17.9638118744
Cancer3,Fusobacterium,16.1234798431,-4.010453701
Cancer3,Haemophilus,20.3067245483,-19.563659668
Cancer3,Holdemanella,-17.3277683258,2.8473844528
Cancer3,Lachnoclostridium,2.8956401348,13.6504926682
Cancer3,Lachnospira,28.5320606232,-17.9078960419
Cancer3,Lactobacillus,21.9478969574,-14.4342823029
Cancer3,Marvinbryantia,-13.9425058365,-17.0244541168
Cancer3,Megamonas,-1.0060266256,6.6741471291
Cancer3,Megasphaera,-5.5378160477,19.172328949
Cancer3,Mogibacterium,24.6311302185,-20.4011516571
Cancer3,Parabacteroides,6.4711875916,24.1425037384
Cancer3,Paraprevotella,-2.8297333717,29.8947238922
Cancer3,Phascolarctobacterium,-6.3954138756,-20.3146820068
Cancer3,Pseudomonas,22.144405365,-7.6610460281
Cancer3,Roseburia,-19.7730922699,-4.2451572418
Cancer3,Streptococcus,-3.5249371529,13.4029722214
Cancer3,Subdoligranulum,-17.454668045,-15.2778568268
Cancer3,Sutterella,25.3047523499,-23.1866989136
Cancer4,Acidaminococcus,22.3607749939,7.88910532
Cancer4,Actinomyces,17.3500423431,2.3952333927
Cancer4,Akkermansia,16.0283279419,-25.0485687256
Cancer4,Alistipes,-6.2745485306,26.8753967285
Cancer4,Anaerostipes,-33.2755088806,-0.1205203086
Cancer4,Bacteroides,-19.1486263275,32.1167182922
Cancer4,Bifidobacterium,-15.2248106003,25.7049407959
Cancer4,Bilophila,22.0741634369,-26.4706058502
Cancer4,Blautia,-33.3110313416,26.3913059235
Cancer4,Butyricicoccus,-9.6807041168,-3.2884149551
Cancer4,Collinsella,42.6791954041,-44.7242660522
Cancer4,Desulfovibrio,7.3228559494,-5.9492750168
Cancer4,Dorea,-4.1308383942,5.1969742775
Cancer4,Erysipelatoclostridium,0.7091780305,11.2702875137
Cancer4,Eubacterium,20.0179672241,-12.8009929657
Cancer4,Faecalibacterium,-11.5601453781,-0.2172639817
Cancer4,Faecalitalea,5.5506749153,-15.6709537506
Cancer4,Flavonifractor,1.9509272575,-12.7075386047
Cancer4,Intestinibacter,-2.9521942139,-15.5115671158
Cancer4,Lachnoclostridium,-3.9013547897,17.2544078827
Cancer4,Lachnospira,1.6364711523,-3.8829295635
Cancer4,Marvinbryantia,-12.9116125107,-18.453245163
Cancer4,Methanobrevibacter,-30.8652095795,10.9908132553
Cancer4,Odoribacter,5.1001720428,2.0066494942
Cancer4,Parabacteroides,3.9311261177,26.6047725677
Cancer4,Phascolarctobacterium,-4.6094546318,-21.8028526306
Cancer4,Roseburia,-20.9068069458,-3.1584787369
Cancer4,Slackia,2.3423674107,-23.3445167542
Cancer4,Streptococcus,-3.4843811989,12.7349538803
Cancer4,Subdoligranulum,-17.6862163544,-15.17192173
Cancer4,Terrisporobacter,-13.9981451035,3.5878241062
Cancer4,Tyzzerella,1.9406244755,-17.6420917511
Cancer4,Veillonella,16.918422699,-11.3535146713
Cancer5,Akkermansia,-11.6246862411,-13.1470012665
Cancer5,Alistipes,-3.9916951656,24.5733337402
Cancer5,Anaerostipes,-31.2669353485,-0.9604545236
Cancer5,Bacteroides,-23.6948623657,33.792339325
Cancer5,Bifidobacterium,-16.0282344818,25.1188278198
Cancer5,Bilophila,6.2733798027,-32.066116333
Cancer5,Blautia,-30.6004943848,20.0606803894
Cancer5,Butyricimonas,14.6343097687,-13.15467453
Cancer5,Collinsella,-10.1215696335,33.8070983887
Cancer5,Desulfovibrio,-6.0348792076,10.5410385132
Cancer5,Faecalibacterium,-20.3274593353,8.4774723053
Cancer5,Flavonifractor,10.1142454147,-22.445350647
Cancer5,Gemella,19.2264099121,-20.7262744904
Cancer5,Holdemania,17.7265605927,-25.6117305756
Cancer5,Lachnoclostridium,4.3549642563,12.0943365097
Cancer5,Odoribacter,13.9488573074,-14.8967542648
Cancer5,Parabacteroides,4.3011193275,28.9597473145
Cancer5,Paraprevotella,-5.0261650085,30.0976638794
Cancer5,Parasutterella,24.0988121033,-31.8891582489
Cancer5,Phascolarctobacterium,14.5546455383,30.8121986389
Cancer5,Roseburia,-20.2243270874,-6.3975505829
Cancer5,Slackia,11.9295921326,-15.36028862
