Month,CO2 Emission,Waste Generated,Deforestation,Water Usage
Jan 2021,320,450,80,200
Feb 2021,310,460,85,190
Mar 2021,350,470,78,205
Apr 2021,335,480,74,210
May 2021,340,490,70,215
Jun 2021,360,485,65,220
Jul 2021,370,500,60,230
Aug 2021,365,510,55,240
Sep 2021,355,495,58,235
Oct 2021,345,505,62,225
Nov 2021,338,515,66,210
Dec 2021,330,520,72,220
Jan 2022,320,530,75,230
Feb 2022,325,540,70,240
Mar 2022,315,550,65,250
Apr 2022,310,545,60,260
May 2022,305,560,55,270
Jun 2022,300,565,50,280
Jul 2022,295,570,45,290
Aug 2022,290,575,40,300
Sep 2022,285,580,42,310
Oct 2022,280,585,48,320
Nov 2022,275,590,54,330
Dec 2022,270,595,60,340
