Date,Comedy,Action,Drama,Documentary
2021-01-01,30,40,20,10
2021-02-01,35,36,24,12
2021-03-01,40,45,23,13
2021-04-01,38,42,25,15
2021-05-01,45,50,28,17
2021-06-01,47,48,30,18
2021-07-01,50,55,33,22
2021-08-01,55,60,34,21
2021-09-01,46,52,35,23
2021-10-01,53,58,32,20
2021-11-01,48,51,30,19
2021-12-01,50,53,27,18
2022-01-01,55,58,29,20
2022-02-01,52,55,31,22
2022-03-01,49,60,32,23
2022-04-01,47,62,34,24
2022-05-01,35,66,38,26
2022-06-01,42,69,37,28
2022-07-01,50,72,40,30
2022-08-01,48,75,35,32
2022-09-01,55,70,33,31
2022-10-01,51,68,29,25
2022-11-01,47,65,28,22
2022-12-01,45,67,25,20
