Quarter,Agriculture,Manufacturing,Services,Technology,Healthcare
Q1 2020,15000,28000,32000,26000,19000
Q2 2020,17000,26000,34000,27000,20000
Q3 2020,16000,27000,33000,28000,21000
Q4 2020,18000,29000,35000,29000,22000
Q1 2021,15500,28500,32500,26500,19500
Q2 2021,17500,26500,34500,27500,20500
Q3 2021,16500,27500,33500,28500,21500
Q4 2021,18500,29500,35500,29500,22500
Q1 2022,16000,28000,32000,26000,19000
Q2 2022,17000,26500,34500,27500,20500
Q3 2022,16500,27500,33500,28500,21500
Q4 2022,18500,30000,36000,30000,23000
