Year,Transportation,Electricity,Industry,Agriculture,Residential,Commercial
2000,25,50,30,20,10,15
2001,27,52,31,21,11,16
2002,29,55,33,22,12,17
2003,30,58,34,23,12,18
2004,32,61,36,24,12,19
2005,34,63,38,25,13,20
2006,35,65,39,26,13,21
2007,37,67,40,28,14,23
2008,38,70,42,29,15,24
2009,39,72,44,30,15,25
2010,40,75,45,31,16,26
2011,42,78,47,32,16,27
2012,43,80,49,33,17,28
2013,45,82,50,34,18,29
2014,47,85,52,35,19,30
2015,48,87,54,36,19,31
2016,50,90,55,37,20,32
2017,52,93,57,38,21,33
2018,53,95,59,39,21,34
2019,55,98,61,40,22,35
2020,56,100,62,42,23,37
