Month,Yoga,Meditation,Running,Cycling,Swimming,Gymnastics
January,3000,1500,4500,2000,1800,1200
February,3200,1600,4700,2200,1900,1250
March,3500,1700,5000,2400,2000,1300
April,3700,1750,5200,2500,2100,1350
May,4000,1800,5400,2600,2200,1400
June,4500,1900,5700,2800,2300,1450
July,4800,2000,6000,3000,2400,1500
August,5000,2100,6200,3100,2500,1550
September,4700,2050,6100,3050,2450,1520
October,4400,2000,5800,2900,2350,1480
November,4200,1950,5500,2800,2250,1400
December,4000,1900,5300,2700,2200,1300
