sales,weekday,total
Email,Mon,120
Email,Tue,132
Email,Wed,101
Email,Thu,134
Email,Fri,90
Email,Sat,230
Email,Sun,210
Union Ads,Mon,220
Union Ads,Tue,182
Union Ads,Wed,191
Union Ads,Thu,234
Union Ads,Fri,290
Union Ads,Sat,330
Union Ads,Sun,310
Video Ads,Mon,150
Video Ads,Tue,232
Video Ads,Wed,201
Video Ads,Thu,154
Video Ads,Fri,190
Video Ads,Sat,330
Video Ads,Sun,410
Direct,Mon,320
Direct,Tue,332
Direct,Wed,301
Direct,Thu,334
Direct,Fri,390
Direct,Sat,330
Direct,Sun,320
Search Engine,Mon,820
Search Engine,Tue,932
Search Engine,Wed,901
Search Engine,Thu,934
Search Engine,Fri,1290
Search Engine,Sat,1330
Search Engine,Sun,1320
