Date,Beach,Mountains,Cities,Cruises,National Parks
2023-01-01,180,120,90,70,40
2023-01-08,200,130,100,75,45
2023-01-15,220,150,110,80,50
2023-01-22,240,160,120,85,55
2023-01-29,260,170,130,90,60
2023-02-05,280,180,140,95,65
2023-02-12,300,190,150,100,70
2023-02-19,320,200,160,105,75
2023-02-26,340,210,170,110,80
2023-03-05,360,220,180,115,85
2023-03-12,380,230,190,120,90
2023-03-19,400,240,200,125,95
2023-03-26,420,250,210,130,100
2023-04-02,440,260,220,135,105
2023-04-09,460,270,230,140,110
2023-04-16,480,280,240,145,115
2023-04-23,500,290,250,150,120
2023-04-30,520,300,260,155,125
2023-05-07,540,310,270,160,130
