Country ,Year,ODA/GNI
FRA,1960,1.347577
FRA,1961,1.357895
FRA,1962,1.270943
FRA,1963,0.982504
FRA,1964,0.895351
FRA,1965,0.758113
FRA,1966,0.690525
FRA,1967,0.709071
FRA,1968,0.668756
FRA,1969,0.673815
FRA,1970,0.518786
FRA,1971,0.509937
FRA,1972,0.493438
FRA,1973,0.425464
FRA,1974,0.440743
FRA,1975,0.439572
FRA,1976,0.406385
FRA,1977,0.384413
FRA,1978,0.385027
FRA,1979,0.422784
FRA,1980,0.438015
FRA,1981,0.514642
FRA,1982,0.559691
FRA,1983,0.560813
FRA,1984,0.618352
FRA,1985,0.614054
FRA,1986,0.558151
FRA,1987,0.596677
FRA,1988,0.575126
FRA,1989,0.605522
FRA,1990,0.60166
FRA,1991,0.615681
FRA,1992,0.626557
FRA,1993,0.632265
FRA,1994,0.617061
FRA,1995,0.545846
FRA,1996,0.482145
FRA,1997,0.437353
FRA,1998,0.383767
FRA,1999,0.381519
FRA,2000,0.304828
FRA,2001,0.309425
FRA,2002,0.374897
FRA,2003,0.403148
FRA,2004,0.411528
FRA,2005,0.47359
FRA,2006,0.467687
FRA,2007,0.379578
FRA,2008,0.385227
FRA,2009,0.470601
FRA,2010,0.495449
FRA,2011,0.45952
FRA,2012,0.452689
FRA,2013,0.405845
FRA,2014,0.368113
FRA,2015,0.367651
FRA,2016,0.38426
FRA,2017,0.428001
FRA,2018,0.42749
FRA,2019,0.441062
FRA,2020,0.52986
FRA,2021,0.518069
DEU,1960,0.309801
DEU,1961,0.445561
DEU,1962,0.449487
DEU,1963,0.407119
DEU,1964,0.437464
DEU,1965,0.397992
DEU,1966,0.344112
DEU,1967,0.412234
DEU,1968,0.417388
DEU,1969,0.379934
DEU,1970,0.324428
DEU,1971,0.340932
DEU,1972,0.315689
DEU,1973,0.320083
DEU,1974,0.376625
DEU,1975,0.404081
DEU,1976,0.355998
DEU,1977,0.332341
DEU,1978,0.365018
DEU,1979,0.445314
DEU,1980,0.438322
DEU,1981,0.465312
DEU,1982,0.479266
DEU,1983,0.484326
DEU,1984,0.449001
DEU,1985,0.471881
DEU,1986,0.426802
DEU,1987,0.390826
DEU,1988,0.392115
DEU,1989,0.411824
DEU,1990,0.420973
DEU,1991,0.387238
DEU,1992,0.372983
DEU,1993,0.354107
DEU,1994,0.327095
DEU,1995,0.307751
DEU,1996,0.320294
DEU,1997,0.277599
DEU,1998,0.260538
DEU,1999,0.26385
DEU,2000,0.270087
DEU,2001,0.271007
DEU,2002,0.267909
DEU,2003,0.284017
DEU,2004,0.276065
DEU,2005,0.360351
DEU,2006,0.356039
DEU,2007,0.366854
DEU,2008,0.382826
DEU,2009,0.354919
DEU,2010,0.386701
DEU,2011,0.386793
DEU,2012,0.37176
DEU,2013,0.380866
DEU,2014,0.418735
DEU,2015,0.523176
DEU,2016,0.699296
DEU,2017,0.667405
DEU,2018,0.611912
DEU,2019,0.61151
DEU,2020,0.734188
DEU,2021,0.740933
GBR,1960,0.562811
GBR,1961,0.591633
GBR,1962,0.518856
GBR,1963,0.480246
GBR,1964,0.526636
GBR,1965,0.469278
GBR,1966,0.453358
GBR,1967,0.439878
GBR,1968,0.400962
GBR,1969,0.42802
GBR,1970,0.389096
GBR,1971,0.441316
GBR,1972,0.419159
GBR,1973,0.355067
GBR,1974,0.397471
GBR,1975,0.384105
GBR,1976,0.387564
GBR,1977,0.439564
GBR,1978,0.455306
GBR,1979,0.514652
GBR,1980,0.346844
GBR,1981,0.425645
GBR,1982,0.371469
GBR,1983,0.352266
GBR,1984,0.333952
GBR,1985,0.333931
GBR,1986,0.312754
GBR,1987,0.275401
GBR,1988,0.320623
GBR,1989,0.312002
GBR,1990,0.273745
GBR,1991,0.319234
GBR,1992,0.31174
GBR,1993,0.312221
GBR,1994,0.307459
GBR,1995,0.285885
GBR,1996,0.274189
GBR,1997,0.262489
GBR,1998,0.274387
GBR,1999,0.236164
GBR,2000,0.317486
GBR,2001,0.319019
GBR,2002,0.309024
GBR,2003,0.342276
GBR,2004,0.362674
GBR,2005,0.472694
GBR,2006,0.514082
