Unnamed: 0,periodo_ingresso,sexo,contagem,porcentagem
146,2020.1,Masculino,86,82.69
145,2020.1,Feminino,18,17.31
144,2019.2,Masculino,92,81.42
143,2019.2,Feminino,21,18.58
142,2019.1,Masculino,82,86.32
141,2019.1,Feminino,13,13.68
140,2018.2,Masculino,96,88.89
139,2018.2,Feminino,12,11.11
138,2018.1,Masculino,87,88.78
137,2018.1,Feminino,11,11.22
136,2017.2,Masculino,87,82.86
135,2017.2,Feminino,18,17.14
134,2017.1,Masculino,83,86.46
133,2017.1,Feminino,13,13.54
132,2016.2,Masculino,96,78.69
131,2016.2,Feminino,26,21.31
129,2016.1,Feminino,10,9.43
130,2016.1,Masculino,96,90.57
127,2015.2,Feminino,21,19.63
128,2015.2,Masculino,86,80.37
126,2015.1,Masculino,103,88.03
125,2015.1,Feminino,14,11.97
124,2014.2,Masculino,80,85.11
123,2014.2,Feminino,14,14.89
121,2014.1,Feminino,20,16.81
122,2014.1,Masculino,99,83.19
120,2013.2,Masculino,94,82.46
119,2013.2,Feminino,20,17.54
118,2013.1,Masculino,93,84.55
117,2013.1,Feminino,17,15.45
116,2012.2,Masculino,88,76.52
115,2012.2,Feminino,27,23.48
114,2012.1,Masculino,108,89.26
113,2012.1,Feminino,13,10.74
112,2011.2,Masculino,98,88.29
111,2011.2,Feminino,13,11.71
109,2011.1,Feminino,21,20.59
110,2011.1,Masculino,81,79.41
108,2010.2,Masculino,76,80.85
107,2010.2,Feminino,18,19.15
106,2010.1,Masculino,85,87.63
105,2010.1,Feminino,12,12.37
103,2009.2,Feminino,8,11.76
104,2009.2,Masculino,60,88.24
102,2009.1,Masculino,62,79.49
101,2009.1,Feminino,16,20.51
100,2008.2,Masculino,43,86.0
99,2008.2,Feminino,7,14.0
98,2008.1,Masculino,36,87.8
97,2008.1,Feminino,5,12.2
96,2007.2,Masculino,33,80.49
95,2007.2,Feminino,8,19.51
93,2007.1,Feminino,15,36.59
94,2007.1,Masculino,26,63.41
91,2006.2,Feminino,6,16.67
92,2006.2,Masculino,30,83.33
90,2006.1,Masculino,34,87.18
89,2006.1,Feminino,5,12.82
88,2005.2,Masculino,35,89.74
87,2005.2,Feminino,4,10.26
85,2005.1,Feminino,7,18.92
86,2005.1,Masculino,30,81.08
84,2004.2,Masculino,31,83.78
83,2004.2,Feminino,6,16.22
82,2004.1,Masculino,29,80.56
81,2004.1,Feminino,7,19.44
80,2003.2,Masculino,34,89.47
79,2003.2,Feminino,4,10.53
78,2003.1,Masculino,32,86.49
77,2003.1,Feminino,5,13.51
76,2002.2,Masculino,31,81.58
75,2002.2,Feminino,7,18.42
74,2002.1,Masculino,29,82.86
73,2002.1,Feminino,6,17.14
71,2001.2,Feminino,4,10.53
72,2001.2,Masculino,34,89.47
70,2001.1,Masculino,28,80.0
69,2001.1,Feminino,7,20.0
68,2000.2,Masculino,29,80.56
67,2000.2,Feminino,7,19.44
65,2000.1,Feminino,5,14.29
66,2000.1,Masculino,30,85.71
